theta_deg	R
0.001	9.9976885E-001
0.002	9.9971056E-001
0.003	9.9963158E-001
0.004	9.9952191E-001
0.005	9.9936610E-001
0.006	9.9914378E-001
0.007	9.9883044E-001
0.008	9.9840307E-001
0.009	9.9784553E-001
0.01	9.9715543E-001
0.011	9.9634904E-001
0.012	9.9546236E-001
0.013	9.9454492E-001
0.014	9.9365097E-001
0.015	9.9282652E-001
0.016	9.9210107E-001
0.017	9.9148059E-001
0.018	9.9095207E-001
0.019	9.9048740E-001
0.02	9.9005473E-001
0.021	9.8962528E-001
0.022	9.8918086E-001
0.023	9.8871517E-001
0.024	9.8823112E-001
0.025	9.8773694E-001
0.026	9.8724145E-001
0.027	9.8675007E-001
0.028	9.8626471E-001
0.029	9.8578358E-001
0.03	9.8530501E-001
0.031	9.8482597E-001
0.032	9.8434561E-001
0.033	9.8386210E-001
0.034	9.8337406E-001
0.035	9.8287964E-001
0.036	9.8237759E-001
0.037	9.8186809E-001
0.038	9.8135346E-001
0.039	9.8083758E-001
0.04	9.8032480E-001
0.041	9.7981930E-001
0.042	9.7932279E-001
0.043	9.7883499E-001
0.044	9.7835392E-001
0.045	9.7787637E-001
0.046	9.7739941E-001
0.047	9.7692060E-001
0.048	9.7643876E-001
0.049	9.7595292E-001
0.05	9.7546196E-001
0.051	9.7496563E-001
0.052	9.7446328E-001
0.053	9.7395468E-001
0.054	9.7343987E-001
0.055	9.7292119E-001
0.056	9.7240102E-001
0.057	9.7188282E-001
0.058	9.7136962E-001
0.059	9.7086340E-001
0.06	9.7036403E-001
0.061	9.6986943E-001
0.062	9.6937644E-001
0.063	9.6888018E-001
0.064	9.6837658E-001
0.065	9.6786332E-001
0.066	9.6733999E-001
0.067	9.6680862E-001
0.068	9.6627170E-001
0.069	9.6573335E-001
0.07	9.6519589E-001
0.071	9.6466106E-001
0.072	9.6412873E-001
0.073	9.6359831E-001
0.074	9.6306854E-001
0.075	9.6253830E-001
0.076	9.6200740E-001
0.077	9.6147603E-001
0.078	9.6094447E-001
0.079	9.6041268E-001
0.08	9.5988071E-001
0.081	9.5934778E-001
0.082	9.5881212E-001
0.083	9.5827168E-001
0.084	9.5772475E-001
0.085	9.5716935E-001
0.086	9.5660460E-001
0.087	9.5603067E-001
0.088	9.5544833E-001
0.089	9.5485926E-001
0.09	9.5426589E-001
0.091	9.5367038E-001
0.092	9.5307416E-001
0.093	9.5247853E-001
0.094	9.5188427E-001
0.095	9.5129228E-001
0.096	9.5070273E-001
0.097	9.5011544E-001
0.098	9.4953036E-001
0.099	9.4894761E-001
0.1	9.4836682E-001
0.101	9.4778711E-001
0.102	9.4720829E-001
0.103	9.4662911E-001
0.104	9.4604796E-001
0.105	9.4546342E-001
0.106	9.4487309E-001
0.107	9.4427526E-001
0.108	9.4366825E-001
0.109	9.4305098E-001
0.11	9.4242340E-001
0.111	9.4178653E-001
0.112	9.4114172E-001
0.113	9.4049102E-001
0.114	9.3983561E-001
0.115	9.3917692E-001
0.116	9.3851513E-001
0.117	9.3785024E-001
0.118	9.3718135E-001
0.119	9.3650705E-001
0.12	9.3582642E-001
0.121	9.3513882E-001
0.122	9.3444353E-001
0.123	9.3374079E-001
0.124	9.3303144E-001
0.125	9.3231690E-001
0.126	9.3159848E-001
0.127	9.3087679E-001
0.128	9.3015319E-001
0.129	9.2942792E-001
0.13	9.2870080E-001
0.131	9.2797166E-001
0.132	9.2723972E-001
0.133	9.2650443E-001
0.134	9.2576391E-001
0.135	9.2501730E-001
0.136	9.2426336E-001
0.137	9.2350137E-001
0.138	9.2273182E-001
0.139	9.2195505E-001
0.14	9.2117208E-001
0.141	9.2038417E-001
0.142	9.1959137E-001
0.143	9.1879314E-001
0.144	9.1798782E-001
0.145	9.1717321E-001
0.146	9.1634762E-001
0.147	9.1550875E-001
0.148	9.1465592E-001
0.149	9.1378939E-001
0.15	9.1290969E-001
0.151	9.1201830E-001
0.152	9.1111636E-001
0.153	9.1020566E-001
0.154	9.0928698E-001
0.155	9.0836030E-001
0.156	9.0742528E-001
0.157	9.0648139E-001
0.158	9.0552735E-001
0.159	9.0456283E-001
0.16	9.0358698E-001
0.161	9.0259993E-001
0.162	9.0160149E-001
0.163	9.0059209E-001
0.164	8.9957160E-001
0.165	8.9853948E-001
0.166	8.9749545E-001
0.167	8.9643943E-001
0.168	8.9537203E-001
0.169	8.9429301E-001
0.17	8.9320171E-001
0.171	8.9209610E-001
0.172	8.9097178E-001
0.173	8.8982517E-001
0.174	8.8865161E-001
0.175	8.8744998E-001
0.176	8.8622200E-001
0.177	8.8497227E-001
0.178	8.8370806E-001
0.179	8.8243687E-001
0.18	8.8116544E-001
0.181	8.7989712E-001
0.182	8.7863153E-001
0.183	8.7736398E-001
0.184	8.7608618E-001
0.185	8.7478924E-001
0.186	8.7346393E-001
0.187	8.7210375E-001
0.188	8.7070578E-001
0.189	8.6926997E-001
