theta_deg	R_normalised
0.05075	0.394946
0.05225	0.406404
0.05375	0.415416
0.05525	0.425628
0.05675	0.432112
0.05825	0.440573
0.05975	0.447842
0.06125	0.460023
0.06275	0.471695
0.06425	0.487574
0.06575	0.496598
0.06725	0.505412
0.06875	0.512306
0.07025	0.516389
0.07175	0.518739
0.07325	0.525646
0.07475	0.536345
0.07625	0.547159
0.07775	0.556965
0.07925	0.567338
0.08075	0.57429
0.08225	0.57853
0.08375	0.584526
0.08525	0.589927
0.08675	0.600406
0.08825	0.613178
0.08975	0.627501
0.09125	0.640166
0.09275	0.646325
0.09425	0.653405
0.09575	0.652688
0.09725	0.656782
0.09875	0.660653
0.10025	0.665837
0.10175	0.679351
0.10325	0.690895
0.10475	0.699828
0.10625	0.707261
0.10775	0.711607
0.10925	0.71467
0.11075	0.717257
0.11225	0.72905
0.11375	0.741689
0.11525	0.752782
0.11675	0.759338
0.11825	0.767419
0.11975	0.772353
0.12125	0.772724
0.12275	0.772709
0.12425	0.774227
0.12575	0.782742
0.12725	0.793884
0.12875	0.80224
0.13025	0.814783
0.13175	0.817774
0.13325	0.82066
0.13475	0.823279
0.13625	0.829794
0.13775	0.835334
0.13925	0.844403
0.14075	0.857975
0.14225	0.866177
0.14375	0.871722
0.14525	0.875727
0.14675	0.87507
0.14825	0.871156
0.14975	0.873243
0.15125	0.878782
0.15275	0.88651
0.15425	0.897454
0.15575	0.905796
0.15725	0.909748
0.15875	0.912538
0.16025	0.913631
0.16175	0.915068
0.16325	0.920969
0.16475	0.927311
0.16625	0.936343
0.16775	0.945893
0.16925	0.947156
0.17075	0.952405
0.17225	0.948992
0.17375	0.946123
0.17525	0.947818
0.17675	0.95019
0.17825	0.955899
0.17975	0.9641
0.18125	0.969144
0.18275	0.975796
0.18425	0.974476
0.18575	0.977808
0.18725	0.974485
0.18875	0.976157
0.19025	0.981489
0.19175	0.987739
0.19325	0.992106
0.19475	0.995761
0.19625	0.994236
0.19775	0.990572
0.19925	0.988182
0.20075	0.98576
0.20225	0.985079
0.20375	0.988532
0.20525	0.992371
0.20675	0.996347
0.20825	1.0
0.20975	0.999106
0.21125	0.996492
0.21275	0.994246
0.21425	0.992288
0.21575	0.995215
0.21725	0.995253
0.21875	0.998609
0.22025	0.998763
0.22175	0.996536
0.22325	0.9913
0.22475	0.983608
0.22625	0.978498
0.22775	0.977105
0.22925	0.975103
0.23075	0.979058
0.23225	0.97499
0.23375	0.975727
0.23525	0.969408
0.23675	0.96661
0.23825	0.961942
0.23975	0.957602
0.24125	0.95615
0.24275	0.951364
0.24425	0.948839
0.24575	0.948716
0.24725	0.938842
0.24875	0.93235
0.25025	0.921242
0.25175	0.91469
0.25325	0.904758
0.25475	0.901476
0.25625	0.896181
0.25775	0.888911
0.25925	0.881595
0.26075	0.87299
0.26225	0.861258
0.26375	0.849807
0.26525	0.838889
0.26675	0.828513
0.26825	0.818671
0.26975	0.805947
0.27125	0.794226
0.27275	0.777556
0.27425	0.760836
0.27575	0.741599
0.27725	0.722496
0.27875	0.7021
0.28025	0.681385
0.28175	0.660648
0.28325	0.643571
0.28475	0.622443
0.28625	0.59857
0.28775	0.575245
0.28925	0.550058
0.29075	0.524956
0.29225	0.501501
0.29375	0.478736
0.29525	0.456751
0.29675	0.4325
0.29825	0.411747
0.29975	0.39068
0.30125	0.37055
0.30275	0.351075
0.30425	0.334692
0.30575	0.318857
0.30725	0.303848
0.30875	0.289809
0.31025	0.278197
0.31175	0.264707
0.31325	0.253912
0.31475	0.242385
0.31625	0.231965
0.31775	0.222301
0.31925	0.213008
0.32075	0.205728
0.32225	0.19777
0.32375	0.189503
0.32525	0.181373
0.32675	0.173404
0.32825	0.16616
0.32975	0.160806
0.33125	0.15539
0.33275	0.149821
0.33425	0.146316
0.33575	0.142326
0.33725	0.138203
0.33875	0.133351
0.34025	0.128823
0.34175	0.124572
0.34325	0.11927
0.34475	0.115701
0.34625	0.110926
0.34775	0.107668
0.34925	0.103671
0.35075	0.100424
0.35225	0.0976302
0.35375	0.0951467
0.35525	0.0935814
0.35675	0.0914495
0.35825	0.0896263
0.35975	0.0879526
0.36125	0.0862362
0.36275	0.0833979
0.36425	0.0802115
0.36575	0.0777149
0.36725	0.0747978
0.36875	0.0713568
0.37025	0.0683198
0.37175	0.0666428
0.37325	0.0652155
0.37475	0.0628125
0.37625	0.0621193
0.37775	0.0608727
0.37925	0.0602978
0.38075	0.0597328
0.38225	0.0594158
0.38375	0.0590824
0.38525	0.0586931
0.38675	0.0575121
0.38825	0.0556857
0.38975	0.0540399
0.39125	0.05211
0.39275	0.0502178
0.39425	0.047736
0.39575	0.0457814
0.39725	0.0440124
0.39875	0.0424964
0.40025	0.0416637
0.40175	0.0409295
0.40325	0.0406502
0.40475	0.0398881
0.40625	0.0402725
0.40775	0.0398553
0.40925	0.0406272
0.41075	0.041051
0.41225	0.0408227
0.41375	0.0399341
0.41525	0.0391359
0.41675	0.0373751
0.41825	0.0367838
0.41975	0.0351446
0.42125	0.0332705
0.42275	0.0322587
0.42425	0.0304536
0.42575	0.0293498
0.42725	0.0284629
0.42875	0.027075
0.43025	0.0270963
0.43175	0.0266003
0.43325	0.0271867
0.43475	0.0277369
0.43625	0.0280555
0.43775	0.0285039
0.43925	0.0291692
0.44075	0.0296028
0.44225	0.029225
0.44375	0.02911
0.44525	0.0284645
0.44675	0.0273427
0.44825	0.0260845
0.44975	0.0246901
0.45125	0.0233843
0.45275	0.0220424
0.45425	0.0206117
0.45575	0.0195211
0.45725	0.0188707
0.45875	0.0181004
0.46025	0.0182613
0.46175	0.0182613
0.46325	0.0186489
0.46475	0.0190973
0.46625	0.020073
0.46775	0.0204409
0.46925	0.0211915
0.47075	0.0213525
0.47225	0.0216514
0.47375	0.0214494
0.47525	0.0214248
0.47675	0.0209764
0.47825	0.0204228
0.47975	0.0193864
0.48125	0.0180954
0.48275	0.0170951
0.48425	0.0160357
0.48575	0.0147809
0.48725	0.0136114
0.48875	0.0131416
0.49025	0.0128575
0.49175	0.0122645
0.49325	0.0122974
0.49475	0.0126932
0.49625	0.0133782
0.49775	0.0141255
0.49925	0.0150256
0.50075	0.0156859
0.50225	0.0161474
0.50375	0.0170919
0.50525	0.0171641
0.50675	0.0172972
0.50825	0.0168685
0.50975	0.0164513
0.51125	0.0159897
0.51275	0.0152276
0.51425	0.0138463
0.51575	0.0130201
0.51725	0.0117439
0.51875	0.0106467
0.52025	0.0099979
0.52175	0.00931462
0.52325	0.00896312
0.52475	0.00877588
0.52625	0.00893192
0.52775	0.00939017
0.52925	0.0101753
0.53075	0.0109193
0.53225	0.0114154
0.53375	0.0125766
0.53525	0.012846
0.53675	0.0136968
0.53825	0.0142405
0.53975	0.0141025
0.54125	0.0146495
0.54275	0.0140598
0.54425	0.0135276
0.54575	0.0127737
0.54725	0.011826
0.54875	0.0107879
0.55025	0.00989935
0.55175	0.0089894
0.55325	0.0081698
0.55475	0.00738468
0.55625	0.00683937
0.55775	0.0067129
0.55925	0.00663898
0.56075	0.00688372
0.56225	0.00713666
0.56375	0.00784787
0.56525	0.00868554
0.56675	0.00963326
0.56825	0.0104479
0.56975	0.0111164
0.57125	0.0118211
0.57275	0.0121414
0.57425	0.0124863
0.57575	0.0125191
0.57725	0.0123565
0.57875	0.0117915
0.58025	0.0113727
0.58175	0.0103034
0.58325	0.00972196
0.58475	0.00851144
0.58625	0.00766226
0.58775	0.00680324
0.58925	0.00605426
0.59075	0.00548431
0.59225	0.00527243
0.59375	0.00504412
0.59525	0.00531349
0.59675	0.00548266
0.59825	0.00644846
0.59975	0.0070726
0.60125	0.00802526
0.60275	0.00888428
0.60425	0.00986978
0.60575	0.0106828
0.60725	0.0116223
0.60875	0.0117242
0.61025	0.0119475
0.61175	0.0116798
0.61325	0.0115221
0.61475	0.011008
0.61625	0.0102459
0.61775	0.00955771
0.61925	0.00846873
0.62075	0.00752265
0.62225	0.00657985
0.62375	0.00568798
0.62525	0.0048618
0.62675	0.00444625
0.62825	0.00415224
0.62975	0.00419495
0.63125	0.00428036
0.63275	0.00491764
0.63425	0.00541697
0.63575	0.00635647
0.63725	0.00711203
0.63875	0.00839975
0.64025	0.00916679
0.64175	0.0100012
0.64325	0.0109062
0.64475	0.011619
0.64625	0.0118999
0.64775	0.0120872
0.64925	0.0115106
0.65075	0.0112248
0.65225	0.0105974
0.65375	0.00953964
0.65525	0.00880544
0.65675	0.00777724
0.65825	0.00653879
0.65975	0.005596
0.66125	0.00478953
0.66275	0.0043592
0.66425	0.00390586
0.66575	0.00389108
0.66725	0.00385988
0.66875	0.00438055
0.67025	0.00529049
0.67175	0.00614459
0.67325	0.00717937
0.67475	0.00849008
0.67625	0.00967268
0.67775	0.0108208
0.67925	0.0118556
0.68075	0.0125898
0.68225	0.0131351
0.68375	0.0137609
0.68525	0.0134521
0.68675	0.0132057
0.68825	0.0123861
0.68975	0.011532
