theta_deg	R
0.001	9.9952620E-001
0.002	9.9939424E-001
0.003	9.9922037E-001
0.004	9.9899352E-001
0.005	9.9870229E-001
0.006	9.9833626E-001
0.007	9.9788618E-001
0.008	9.9734807E-001
0.009	9.9672216E-001
0.01	9.9601626E-001
0.011	9.9524397E-001
0.012	9.9442476E-001
0.013	9.9358135E-001
0.014	9.9273705E-001
0.015	9.9191225E-001
0.016	9.9112290E-001
0.017	9.9037850E-001
0.018	9.8968101E-001
0.019	9.8902720E-001
0.02	9.8840952E-001
0.021	9.8781818E-001
0.022	9.8724401E-001
0.023	9.8667866E-001
0.024	9.8611677E-001
0.025	9.8555475E-001
0.026	9.8499131E-001
0.027	9.8442650E-001
0.028	9.8386073E-001
0.029	9.8329413E-001
0.03	9.8272711E-001
0.031	9.8215896E-001
0.032	9.8158938E-001
0.033	9.8101759E-001
0.034	9.8044300E-001
0.035	9.7986507E-001
0.036	9.7928441E-001
0.037	9.7870141E-001
0.038	9.7811747E-001
0.039	9.7753352E-001
0.04	9.7695130E-001
0.041	9.7637182E-001
0.042	9.7579581E-001
0.043	9.7522366E-001
0.044	9.7465491E-001
0.045	9.7408879E-001
0.046	9.7352415E-001
0.047	9.7295976E-001
0.048	9.7239441E-001
0.049	9.7182661E-001
0.05	9.7125590E-001
0.051	9.7068179E-001
0.052	9.7010386E-001
0.053	9.6952295E-001
0.054	9.6893954E-001
0.055	9.6835464E-001
0.056	9.6776932E-001
0.057	9.6718508E-001
0.058	9.6660215E-001
0.059	9.6602082E-001
0.06	9.6544111E-001
0.061	9.6486253E-001
0.062	9.6428341E-001
0.063	9.6370304E-001
0.064	9.6312010E-001
0.065	9.6253365E-001
0.066	9.6194321E-001
0.067	9.6134919E-001
0.068	9.6075225E-001
0.069	9.6015304E-001
0.07	9.5955276E-001
0.071	9.5895189E-001
0.072	9.5835161E-001
0.073	9.5775157E-001
0.074	9.5715243E-001
0.075	9.5655423E-001
0.076	9.5595628E-001
0.077	9.5535862E-001
0.078	9.5476079E-001
0.079	9.5416206E-001
0.08	9.5356160E-001
0.081	9.5295906E-001
0.082	9.5235336E-001
0.083	9.5174378E-001
0.084	9.5112938E-001
0.085	9.5050943E-001
0.086	9.4988430E-001
0.087	9.4925326E-001
0.088	9.4861746E-001
