theta_deg	R
0.001	9.9989402E-001
0.001249969	9.9986851E-001
0.001499937	9.9984324E-001
0.001749906	9.9981773E-001
0.001999875	9.9979246E-001
0.002249844	9.9976695E-001
0.002499813	9.9974144E-001
0.002749781	9.9971616E-001
0.00299975	9.9969065E-001
0.003249719	9.9966538E-001
0.003499687	9.9963993E-001
0.003749656	9.9962288E-001
0.003999625	9.9959737E-001
0.004249594	9.9957186E-001
0.004499563	9.9954671E-001
0.004749531	9.9952120E-001
0.0049995	9.9949580E-001
0.005249469	9.9947017E-001
0.005499437	9.9944478E-001
0.005749406	9.9941915E-001
0.005999375	9.9939382E-001
0.006249344	9.9936855E-001
0.006499312	9.9934304E-001
0.006749281	9.9931788E-001
0.00699925	9.9929214E-001
0.007249219	9.9926686E-001
0.007499187	9.9924159E-001
0.007749156	9.9921626E-001
0.007999125	9.9919063E-001
0.008249094	9.9916524E-001
0.008499063	9.9913985E-001
0.008749031	9.9911422E-001
0.008999	9.9908894E-001
0.009248969	9.9906361E-001
0.009498937	9.9903810E-001
0.009748906	9.9901283E-001
0.009998875	9.9898708E-001
0.01024884	9.9896210E-001
0.01049881	9.9893647E-001
0.01074878	9.9891096E-001
0.01099875	9.9888557E-001
0.01124872	9.9886864E-001
0.01149869	9.9884343E-001
0.01174866	9.9881792E-001
0.01199862	9.9879253E-001
0.01224859	9.9876714E-001
0.01249856	9.9874181E-001
0.01274853	9.9871606E-001
0.0129985	9.9869078E-001
0.01324847	9.9866527E-001
0.01349844	9.9864006E-001
0.01374841	9.9861467E-001
0.01399838	9.8940849E-001
0.01424834	9.8938352E-001
0.01449831	9.8935843E-001
0.01474828	9.8933303E-001
0.01499825	9.8930806E-001
0.01524822	9.8928273E-001
0.01549819	9.8925781E-001
0.01574816	9.8923260E-001
0.01599813	9.8920763E-001
0.01624809	9.8918247E-001
0.01649806	9.8915714E-001
0.01674803	9.8913193E-001
0.016998	9.8910666E-001
0.01724797	9.8908180E-001
0.01749794	9.8905647E-001
0.01774791	9.8903131E-001
0.01799788	9.8901492E-001
0.01824784	9.8898965E-001
0.01849781	9.8896444E-001
0.01874778	9.8893934E-001
0.01899775	9.8891401E-001
0.01924772	9.8888928E-001
0.01949769	9.8886400E-001
0.01974766	9.8883855E-001
0.01999762	9.8881370E-001
0.02024759	9.8878843E-001
0.02049756	9.8876333E-001
0.02074753	9.8873824E-001
0.0209975	9.8871326E-001
0.02124747	9.8868799E-001
0.02149744	9.8866290E-001
0.02174741	9.8863780E-001
0.02199738	9.8861259E-001
0.02224734	9.8858738E-001
0.02249731	9.8856229E-001
0.02274728	9.8853725E-001
0.02299725	9.8852062E-001
0.02324722	9.8849541E-001
0.02349719	9.8847014E-001
0.02374716	9.8844492E-001
0.02399712	9.8842007E-001
0.02424709	9.8457879E-001
0.02449706	9.8455358E-001
0.02474703	9.8452848E-001
0.024997	9.8450345E-001
0.02524697	9.8447859E-001
0.02549694	9.8446184E-001
0.02574691	9.8443663E-001
0.02599688	9.8441178E-001
0.02624684	9.8438656E-001
0.02649681	9.8436171E-001
0.02674678	9.8433679E-001
0.02699675	9.8431158E-001
0.02724672	9.8428673E-001
0.02749669	9.8426151E-001
0.02774666	9.8423666E-001
0.02799663	9.8421162E-001
0.02824659	9.8418683E-001
0.02849656	9.8416138E-001
0.02874653	9.8413652E-001
0.0289965	9.8411119E-001
0.02924647	9.8409474E-001
0.02949644	9.8406982E-001
0.02974641	9.8404461E-001
0.02999637	9.8401976E-001
0.03024634	9.8399466E-001
0.03049631	9.8396951E-001
0.03074628	9.8394454E-001
0.03099625	9.8391956E-001
0.03124622	9.8389453E-001
0.03149619	9.8092788E-001
0.03174616	9.8090303E-001
0.03199612	9.8087811E-001
0.03224609	9.8085284E-001
0.03249606	9.8082805E-001
0.03274603	9.8080319E-001
0.032996	9.8077822E-001
0.03324597	9.8075318E-001
0.03349594	9.8073655E-001
0.03374591	9.8071164E-001
0.03399587	9.8068637E-001
0.03424584	9.8066157E-001
0.03449581	9.8063660E-001
0.03474578	9.8061180E-001
0.03499575	9.8058689E-001
0.03524572	9.8056179E-001
0.03549569	9.8053724E-001
0.03574565	9.8051226E-001
0.03599562	9.8048723E-001
0.03624559	9.8046196E-001
0.03649556	9.8043716E-001
0.03674553	9.8042059E-001
0.0369955	9.8039562E-001
0.03724547	9.7787267E-001
0.03749544	9.7784764E-001
0.0377454	9.7782290E-001
0.03799538	9.7779799E-001
0.03824534	9.7777277E-001
0.03849531	9.7774786E-001
0.03874528	9.7773147E-001
0.03899525	9.7770649E-001
0.03924522	9.7768182E-001
0.03949519	9.7765690E-001
0.03974516	9.7763193E-001
0.03999513	9.7760689E-001
0.04024509	9.7758192E-001
0.04049506	9.7755724E-001
0.04074503	9.7753209E-001
0.040995	9.7750747E-001
0.04124497	9.7748244E-001
0.04149494	9.7746593E-001
0.04174491	9.7744107E-001
0.04199487	9.7519779E-001
0.04224484	9.7517276E-001
0.04249481	9.7515631E-001
0.04274478	9.7513157E-001
0.04299475	9.7510678E-001
0.04324472	9.7508210E-001
0.04349469	9.7505707E-001
0.04374466	9.7503215E-001
0.04399462	9.7500747E-001
0.04424459	9.7498238E-001
0.04449456	9.7495764E-001
0.04474453	9.7494119E-001
0.0449945	9.7491640E-001
0.04524447	9.7489154E-001
0.04549444	9.7486657E-001
0.0457444	9.7484189E-001
0.04599437	9.7481674E-001
0.04624434	9.7479182E-001
0.04649431	9.7275794E-001
0.04674428	9.7273302E-001
0.04699425	9.7270823E-001
0.04724422	9.7268319E-001
0.04749419	9.7266680E-001
0.04774415	9.7264206E-001
0.04799413	9.7261715E-001
0.04824409	9.7259253E-001
0.04849406	9.7256768E-001
