theta_deg	R
0.001	9.9952608E-001
0.002	9.9939370E-001
0.003	9.9921936E-001
0.004	9.9899161E-001
0.005	9.9869931E-001
0.006	9.9833143E-001
0.007	9.9787962E-001
0.008	9.9733883E-001
0.009	9.9670982E-001
0.01	9.9600047E-001
0.011	9.9522430E-001
0.012	9.9440092E-001
0.013	9.9355316E-001
0.014	9.9270451E-001
0.015	9.9187529E-001
0.016	9.9108219E-001
0.017	9.9033380E-001
0.018	9.8963284E-001
0.019	9.8897564E-001
0.02	9.8835510E-001
0.021	9.8776108E-001
0.022	9.8718405E-001
0.023	9.8661637E-001
0.024	9.8605144E-001
0.025	9.8548716E-001
0.026	9.8492116E-001
0.027	9.8435342E-001
0.028	9.8378515E-001
0.029	9.8321593E-001
0.03	9.8264623E-001
0.031	9.8207539E-001
0.032	9.8150319E-001
0.033	9.8092890E-001
0.034	9.8035151E-001
0.035	9.7977114E-001
0.036	9.7918761E-001
0.037	9.7860205E-001
0.038	9.7801512E-001
0.039	9.7742867E-001
0.04	9.7684366E-001
0.041	9.7626173E-001
0.042	9.7568315E-001
0.043	9.7510809E-001
0.044	9.7453707E-001
0.045	9.7396815E-001
0.046	9.7340131E-001
0.047	9.7283417E-001
0.048	9.7226620E-001
0.049	9.7169608E-001
0.05	9.7112274E-001
0.051	9.7054601E-001
0.052	9.6996582E-001
0.053	9.6938205E-001
0.054	9.6879613E-001
0.055	9.6820873E-001
0.056	9.6762091E-001
0.057	9.6703386E-001
0.058	9.6644807E-001
0.059	9.6586442E-001
0.06	9.6528232E-001
0.061	9.6470082E-001
0.062	9.6411943E-001
0.063	9.6353644E-001
0.064	9.6295106E-001
0.065	9.6236175E-001
0.066	9.6176904E-001
0.067	9.6117252E-001
0.068	9.6057272E-001
0.069	9.5997113E-001
0.07	9.5936817E-001
0.071	9.5876461E-001
0.072	9.5816183E-001
0.073	9.5755935E-001
0.074	9.5695770E-001
0.075	9.5635700E-001
0.076	9.5575643E-001
0.077	9.5515645E-001
0.078	9.5455593E-001
0.079	9.5395458E-001
0.08	9.5335191E-001
0.081	9.5274693E-001
0.082	9.5213866E-001
0.083	9.5152664E-001
0.084	9.5090944E-001
0.085	9.5028722E-001
0.086	9.4965923E-001
0.087	9.4902599E-001
0.088	9.4838762E-001
0.089	9.4774473E-001
0.09	9.4709885E-001
0.091	9.4645071E-001
0.092	9.4580185E-001
0.093	9.4515252E-001
0.094	9.4450480E-001
0.095	9.4385833E-001
0.096	9.4321418E-001
0.097	9.4257218E-001
0.098	9.4193280E-001
0.099	9.4129556E-001
0.1	9.4065988E-001
0.101	9.4002557E-001
0.102	9.3939161E-001
0.103	9.3875694E-001
0.104	9.3812072E-001
0.105	9.3748140E-001
0.106	9.3683815E-001
0.107	9.3618989E-001
0.108	9.3553597E-001
0.109	9.3487573E-001
0.11	9.3420941E-001
0.111	9.3353665E-001
0.112	9.3285853E-001
0.113	9.3217516E-001
0.114	9.3148738E-001
0.115	9.3079525E-001
0.116	9.3009967E-001
0.117	9.2940032E-001
0.118	9.2869741E-001
0.119	9.2799073E-001
0.12	9.2728007E-001
0.121	9.2656559E-001
0.122	9.2584640E-001
0.123	9.2512357E-001
0.124	9.2439711E-001
0.125	9.2366719E-001
0.126	9.2293447E-001
0.127	9.2219985E-001
0.128	9.2146343E-001
0.129	9.2072541E-001
0.13	9.1998589E-001
0.131	9.1924530E-001
0.132	9.1850269E-001
0.133	9.1775793E-001
0.134	9.1701055E-001
0.135	9.1625994E-001
0.136	9.1550606E-001
0.137	9.1474813E-001
0.138	9.1398603E-001
0.139	9.1321957E-001
0.14	9.1244888E-001
0.141	9.1167361E-001
0.142	9.1089362E-001
0.143	9.1010851E-001
0.144	9.0931749E-001
0.145	9.0852034E-001
0.146	9.0771616E-001
0.147	9.0690452E-001
0.148	9.0608525E-001
0.149	9.0525818E-001
0.15	9.0442359E-001
0.151	9.0358174E-001
0.152	9.0273273E-001
0.153	9.0187770E-001
0.154	9.0101629E-001
0.155	9.0014952E-001
0.156	8.9927715E-001
0.157	8.9839965E-001
0.158	8.9751661E-001
0.159	8.9662826E-001
0.16	8.9573413E-001
0.161	8.9483416E-001
0.162	8.9392811E-001
0.163	8.9301634E-001
0.164	8.9209855E-001
0.165	8.9117455E-001
0.166	8.9024425E-001
0.167	8.8930756E-001
0.168	8.8836360E-001
0.169	8.8741243E-001
0.17	8.8645321E-001
0.171	8.8548481E-001
0.172	8.8450724E-001
0.173	8.8351989E-001
0.174	8.8252270E-001
0.175	8.8151717E-001
0.176	8.8050425E-001
0.177	8.7948644E-001
0.178	8.7846720E-001
0.179	8.7744975E-001
0.18	8.7643909E-001
0.181	8.7544048E-001
0.182	8.7446213E-001
0.183	8.7351471E-001
0.184	8.7261379E-001
0.185	8.7178212E-001
0.186	8.7104815E-001
0.187	8.7044948E-001
0.188	8.7002903E-001
0.189	8.6983114E-001
0.19	8.6989677E-001
0.191	8.7025374E-001
0.192	8.7090856E-001
0.193	8.7183899E-001
0.194	8.7298882E-001
0.195	8.7426919E-001
0.196	8.7556481E-001
0.197	8.7674522E-001
