theta_deg	R
0.001	9.9985355E-001
0.002	9.9978876E-001
0.003	9.9969518E-001
0.004	9.9956459E-001
0.005	9.9938703E-001
0.006	9.9915385E-001
0.007	9.9885750E-001
0.008	9.9849373E-001
0.009	9.9806303E-001
0.01	9.9757040E-001
0.011	9.9702638E-001
0.012	9.9644607E-001
0.013	9.9584705E-001
0.014	9.9524707E-001
0.015	9.9466246E-001
0.016	9.9410564E-001
0.017	9.9358344E-001
0.018	9.9309784E-001
0.019	9.9264640E-001
0.02	9.9222279E-001
0.021	9.9181962E-001
0.022	9.9142933E-001
0.023	9.9104595E-001
0.024	9.9066454E-001
0.025	9.9028289E-001
0.026	9.8989993E-001
0.027	9.8951542E-001
0.028	9.8912990E-001
0.029	9.8874378E-001
0.03	9.8835635E-001
0.031	9.8796797E-001
0.032	9.8757815E-001
0.033	9.8718613E-001
0.034	9.8679137E-001
0.035	9.8639369E-001
0.036	9.8599333E-001
0.037	9.8559082E-001
0.038	9.8518693E-001
0.039	9.8478299E-001
0.04	9.8437953E-001
0.041	9.8397809E-001
0.042	9.8357886E-001
0.043	9.8318219E-001
0.044	9.8278785E-001
0.045	9.8239499E-001
0.046	9.8200291E-001
0.047	9.8161054E-001
0.048	9.8121697E-001
0.049	9.8082095E-001
0.05	9.8042202E-001
0.051	9.8002005E-001
0.052	9.7961468E-001
0.053	9.7920609E-001
0.054	9.7879511E-001
0.055	9.7838265E-001
0.056	9.7796935E-001
0.057	9.7755599E-001
0.058	9.7714329E-001
0.059	9.7673178E-001
0.06	9.7632068E-001
0.061	9.7590965E-001
0.062	9.7549784E-001
0.063	9.7508401E-001
0.064	9.7466749E-001
0.065	9.7424740E-001
0.066	9.7382361E-001
0.067	9.7339600E-001
0.068	9.7296482E-001
0.069	9.7253162E-001
0.07	9.7209626E-001
0.071	9.7166002E-001
0.072	9.7122324E-001
0.073	9.7078627E-001
0.074	9.7034907E-001
0.075	9.6991175E-001
0.076	9.6947402E-001
0.077	9.6903604E-001
0.078	9.6859699E-001
0.079	9.6815664E-001
