theta_deg	R
0.001	9.9985141E-001
0.002	9.9978507E-001
0.003	9.9968958E-001
0.004	9.9955559E-001
0.005	9.9937385E-001
0.006	9.9913490E-001
0.007	9.9883115E-001
0.008	9.9845827E-001
0.009	9.9801636E-001
0.01	9.9751097E-001
0.011	9.9695313E-001
0.012	9.9635792E-001
0.013	9.9574322E-001
0.014	9.9512792E-001
0.015	9.9452847E-001
0.016	9.9395698E-001
0.017	9.9342161E-001
0.018	9.9292362E-001
0.019	9.9246061E-001
0.02	9.9202621E-001
0.021	9.9161297E-001
0.022	9.9121279E-001
0.023	9.9081963E-001
0.024	9.9042886E-001
0.025	9.9003780E-001
0.026	9.8964524E-001
0.027	9.8925149E-001
0.028	9.8885632E-001
0.029	9.8846018E-001
0.03	9.8806345E-001
0.031	9.8766559E-001
0.032	9.8726618E-001
0.033	9.8686445E-001
0.034	9.8646003E-001
0.035	9.8605275E-001
0.036	9.8564255E-001
0.037	9.8523033E-001
0.038	9.8481667E-001
0.039	9.8440278E-001
0.04	9.8398972E-001
0.041	9.8357821E-001
0.042	9.8316962E-001
0.043	9.8276341E-001
0.044	9.8235941E-001
0.045	9.8195744E-001
0.046	9.8155594E-001
0.047	9.8115414E-001
0.048	9.8075134E-001
0.049	9.8034608E-001
0.05	9.7993779E-001
0.051	9.7952640E-001
0.052	9.7911137E-001
0.053	9.7869343E-001
0.054	9.7827303E-001
0.055	9.7785103E-001
0.056	9.7742796E-001
0.057	9.7700530E-001
0.058	9.7658324E-001
0.059	9.7616202E-001
0.06	9.7574174E-001
0.061	9.7532135E-001
0.062	9.7490031E-001
0.063	9.7447729E-001
0.064	9.7405142E-001
0.065	9.7362196E-001
0.066	9.7318870E-001
0.067	9.7275150E-001
0.068	9.7231114E-001
0.069	9.7186810E-001
0.07	9.7142327E-001
0.071	9.7097766E-001
0.072	9.7053134E-001
0.073	9.7008473E-001
0.074	9.6963817E-001
0.075	9.6919143E-001
0.076	9.6874452E-001
0.077	9.6829712E-001
0.078	9.6784896E-001
0.079	9.6739912E-001
0.08	9.6694756E-001
0.081	9.6649337E-001
0.082	9.6603584E-001
0.083	9.6557415E-001
0.084	9.6510750E-001
0.085	9.6463567E-001
0.086	9.6415818E-001
0.087	9.6367502E-001
0.088	9.6318662E-001
0.089	9.6269411E-001
0.09	9.6219736E-001
0.091	9.6169829E-001
0.092	9.6119726E-001
0.093	9.6069521E-001
0.094	9.6019334E-001
0.095	9.5969194E-001
0.096	9.5919120E-001
0.097	9.5869166E-001
0.098	9.5819330E-001
0.099	9.5769578E-001
0.1	9.5719886E-001
0.101	9.5670217E-001
0.102	9.5620465E-001
0.103	9.5570546E-001
0.104	9.5520389E-001
0.105	9.5469856E-001
0.106	9.5418900E-001
0.107	9.5367372E-001
0.108	9.5315242E-001
0.109	9.5262420E-001
0.11	9.5208913E-001
0.111	9.5154768E-001
0.112	9.5099992E-001
0.113	9.5044583E-001
0.114	9.4988608E-001
0.115	9.4932169E-001
0.116	9.4875211E-001
0.117	9.4817716E-001
0.118	9.4759721E-001
0.119	9.4701141E-001
0.12	9.4641876E-001
0.121	9.4581735E-001
0.122	9.4520622E-001
0.123	9.4458234E-001
0.124	9.4394213E-001
0.125	9.4328129E-001
0.126	9.4259429E-001
0.127	9.4187474E-001
0.128	9.4111717E-001
0.129	9.4031680E-001
0.13	9.3947124E-001
0.131	9.3858272E-001
0.132	9.3765795E-001
0.133	9.3670958E-001
0.134	9.3575531E-001
0.135	9.3481672E-001
0.136	9.3391669E-001
0.137	9.3307573E-001
0.138	9.3231064E-001
0.139	9.3163061E-001
0.14	9.3103683E-001
0.141	9.3052232E-001
0.142	9.3007284E-001
0.143	9.2967039E-001
0.144	9.2929453E-001
0.145	9.2892468E-001
0.146	9.2854255E-001
0.147	9.2813295E-001
0.148	9.2768431E-001
0.149	9.2718798E-001
0.15	9.2663908E-001
0.151	9.2603511E-001
0.152	9.2537582E-001
0.153	9.2466336E-001
0.154	9.2390156E-001
0.155	9.2309451E-001
0.156	9.2224890E-001
0.157	9.2137027E-001
0.158	9.2046547E-001
0.159	9.1953957E-001
0.16	9.1859806E-001
0.161	9.1764450E-001
0.162	9.1668212E-001
0.163	9.1571248E-001
0.164	9.1473681E-001
0.165	9.1375530E-001
0.166	9.1276789E-001
0.167	9.1177368E-001
0.168	9.1077161E-001
0.169	9.0976018E-001
0.17	9.0873814E-001
0.171	9.0770346E-001
0.172	9.0665472E-001
0.173	9.0559071E-001
0.174	9.0451068E-001
0.175	9.0341496E-001
0.176	9.0230352E-001
0.177	9.0117824E-001
0.178	9.0004021E-001
0.179	8.9889133E-001
0.18	8.9773196E-001
0.181	8.9656216E-001
0.182	8.9538014E-001
0.183	8.9418310E-001
0.184	8.9296722E-001
0.185	8.9172673E-001
0.186	8.9045495E-001
0.187	8.8914508E-001
0.188	8.8778740E-001
0.189	8.8637125E-001
0.19	8.8488263E-001
0.191	8.8330376E-001
0.192	8.8161248E-001
0.193	8.7978274E-001
0.194	8.7778538E-001
0.195	8.7559199E-001
0.196	8.7317950E-001
0.197	8.7053818E-001
0.198	8.6767626E-001
0.199	8.6462820E-001
0.2	8.6145675E-001
0.201	8.5825127E-001
0.202	8.5512137E-001
0.203	8.5218340E-001
0.204	8.4954625E-001
0.205	8.4729511E-001
0.206	8.4547728E-001
0.207	8.4409732E-001
0.208	8.4311575E-001
0.209	8.4245741E-001
0.21	8.4202427E-001
0.211	8.4171027E-001
0.212	8.4141612E-001
0.213	8.4105879E-001
0.214	8.4057802E-001
0.215	8.3993810E-001
0.216	8.3912337E-001
0.217	8.3813548E-001
0.218	8.3698601E-001
0.219	8.3569229E-001
0.22	8.3427227E-001
0.221	8.3274323E-001
0.222	8.3111942E-001
0.223	8.2941246E-001
0.224	8.2763022E-001
0.225	8.2577878E-001
0.226	8.2386220E-001
0.227	8.2188296E-001
0.228	8.1984270E-001
0.229	8.1774199E-001
0.23	8.1558180E-001
0.231	8.1336182E-001
0.232	8.1108135E-001
0.233	8.0874020E-001
0.234	8.0633712E-001
0.235	8.0387056E-001
0.236	8.0133903E-001
0.237	7.9874003E-001
0.238	7.9607064E-001
0.239	7.9332823E-001
0.24	7.9050934E-001
0.241	7.8761047E-001
0.242	7.8462815E-001
0.243	7.8155929E-001
0.244	7.7840006E-001
0.245	7.7514750E-001
0.246	7.7179819E-001
0.247	7.6834905E-001
0.248	7.6479661E-001
0.249	7.6113695E-001
