theta_deg	R
0.001	9.9984878E-001
0.002	9.9978006E-001
0.003	9.9968135E-001
0.004	9.9954289E-001
0.005	9.9935448E-001
0.006	9.9910659E-001
0.007	9.9879158E-001
0.008	9.9840438E-001
0.009	9.9794590E-001
0.01	9.9742132E-001
0.011	9.9684191E-001
0.012	9.9622381E-001
0.013	9.9558544E-001
0.014	9.9494636E-001
0.015	9.9432379E-001
0.016	9.9373060E-001
0.017	9.9317461E-001
0.018	9.9265784E-001
0.019	9.9217737E-001
0.02	9.9172688E-001
0.021	9.9129808E-001
0.022	9.9088329E-001
0.023	9.9047571E-001
0.024	9.9007046E-001
0.025	9.8966509E-001
0.026	9.8925811E-001
0.027	9.8884988E-001
0.028	9.8844051E-001
0.029	9.8802996E-001
0.03	9.8761886E-001
0.031	9.8720658E-001
0.032	9.8679274E-001
0.033	9.8637670E-001
0.034	9.8595780E-001
0.035	9.8553592E-001
0.036	9.8511124E-001
0.037	9.8468447E-001
0.038	9.8425639E-001
0.039	9.8382777E-001
0.04	9.8340017E-001
0.041	9.8297459E-001
0.042	9.8255175E-001
0.043	9.8213160E-001
0.044	9.8171389E-001
0.045	9.8129797E-001
0.046	9.8088306E-001
0.047	9.8046798E-001
0.048	9.8005146E-001
0.049	9.7963262E-001
0.05	9.7921079E-001
0.051	9.7878563E-001
0.052	9.7835708E-001
0.053	9.7792554E-001
0.054	9.7749138E-001
0.055	9.7705561E-001
0.056	9.7661912E-001
0.057	9.7618276E-001
0.058	9.7574735E-001
0.059	9.7531307E-001
0.06	9.7487926E-001
0.061	9.7444606E-001
0.062	9.7401196E-001
0.063	9.7357613E-001
0.064	9.7313726E-001
0.065	9.7269469E-001
0.066	9.7224844E-001
0.067	9.7179830E-001
0.068	9.7134477E-001
0.069	9.7088885E-001
0.07	9.7043151E-001
0.071	9.6997261E-001
0.072	9.6951342E-001
0.073	9.6905416E-001
0.074	9.6859503E-001
0.075	9.6813613E-001
0.076	9.6767706E-001
0.077	9.6721733E-001
0.078	9.6675664E-001
0.079	9.6629518E-001
0.08	9.6583152E-001
0.081	9.6536559E-001
0.082	9.6489602E-001
0.083	9.6442258E-001
0.084	9.6394396E-001
0.085	9.6346051E-001
0.086	9.6297121E-001
0.087	9.6247607E-001
0.088	9.6197623E-001
0.089	9.6147168E-001
0.09	9.6096343E-001
0.091	9.6045262E-001
0.092	9.5994037E-001
0.093	9.5942700E-001
0.094	9.5891392E-001
0.095	9.5840144E-001
0.096	9.5788985E-001
0.097	9.5737994E-001
0.098	9.5687109E-001
0.099	9.5636332E-001
0.1	9.5585644E-001
0.101	9.5534974E-001
0.102	9.5484245E-001
0.103	9.5433378E-001
0.104	9.5382285E-001
0.105	9.5330840E-001
0.106	9.5278955E-001
0.107	9.5226520E-001
0.108	9.5173460E-001
0.109	9.5119774E-001
0.11	9.5065397E-001
0.111	9.5010376E-001
0.112	9.4954699E-001
0.113	9.4898456E-001
0.114	9.4841665E-001
0.115	9.4784379E-001
0.116	9.4726610E-001
0.117	9.4668359E-001
0.118	9.4609565E-001
0.119	9.4550222E-001
0.12	9.4490200E-001
0.121	9.4429398E-001
0.122	9.4367594E-001
0.123	9.4304532E-001
0.124	9.4239897E-001
0.125	9.4173217E-001
0.126	9.4103956E-001
0.127	9.4031531E-001
0.128	9.3955356E-001
0.129	9.3874973E-001
0.13	9.3790156E-001
0.131	9.3701100E-001
0.132	9.3608510E-001
0.133	9.3513608E-001
0.134	9.3418193E-001
0.135	9.3324363E-001
0.136	9.3234360E-001
0.137	9.3150282E-001
0.138	9.3073744E-001
