theta_deg	R
0.001	9.9985683E-001
0.002	9.9979389E-001
0.003	9.9970382E-001
0.004	9.9957782E-001
0.005	9.9940723E-001
0.006	9.9918330E-001
0.007	9.9889874E-001
0.008	9.9854958E-001
0.009	9.9813592E-001
0.01	9.9766338E-001
0.011	9.9714160E-001
0.012	9.9658489E-001
0.013	9.9601030E-001
0.014	9.9543488E-001
0.015	9.9487424E-001
0.016	9.9433988E-001
0.017	9.9383903E-001
0.018	9.9337298E-001
0.019	9.9293959E-001
0.02	9.9253285E-001
0.021	9.9214554E-001
0.022	9.9177080E-001
0.023	9.9140227E-001
0.024	9.9103588E-001
0.025	9.9066931E-001
0.026	9.9030119E-001
0.027	9.8993182E-001
0.028	9.8956114E-001
0.029	9.8918957E-001
0.03	9.8881727E-001
0.031	9.8844379E-001
0.032	9.8806870E-001
0.033	9.8769164E-001
0.034	9.8731202E-001
0.035	9.8692948E-001
0.036	9.8654437E-001
0.037	9.8615694E-001
0.038	9.8576844E-001
0.039	9.8537940E-001
0.04	9.8499113E-001
0.041	9.8460442E-001
0.042	9.8422015E-001
0.043	9.8383796E-001
0.044	9.8345804E-001
0.045	9.8307955E-001
0.046	9.8270178E-001
0.047	9.8232353E-001
0.048	9.8194408E-001
0.049	9.8156226E-001
0.05	9.8117763E-001
0.051	9.8078978E-001
0.052	9.8039860E-001
0.053	9.8000449E-001
0.054	9.7960806E-001
0.055	9.7920984E-001
0.056	9.7881067E-001
0.057	9.7841167E-001
0.058	9.7801322E-001
0.059	9.7761542E-001
0.06	9.7721821E-001
0.061	9.7682106E-001
0.062	9.7642303E-001
0.063	9.7602296E-001
0.064	9.7562015E-001
0.065	9.7521353E-001
0.066	9.7480333E-001
0.067	9.7438955E-001
0.068	9.7397238E-001
0.069	9.7355264E-001
0.07	9.7313118E-001
0.071	9.7270846E-001
0.072	9.7228521E-001
0.073	9.7186160E-001
0.074	9.7143775E-001
0.075	9.7101349E-001
0.076	9.7058916E-001
0.077	9.7016406E-001
0.078	9.6973801E-001
0.079	9.6931046E-001
0.08	9.6888089E-001
0.081	9.6844858E-001
0.082	9.6801311E-001
0.083	9.6757340E-001
0.084	9.6712875E-001
0.085	9.6667898E-001
0.086	9.6622348E-001
0.087	9.6576273E-001
0.088	9.6529680E-001
0.089	9.6482641E-001
0.09	9.6435207E-001
0.091	9.6387500E-001
0.092	9.6339601E-001
