theta_deg	R
0.001	9.9986291E-001
0.002	9.9980295E-001
0.003	9.9971664E-001
0.004	9.9959671E-001
0.005	9.9943382E-001
0.006	9.9922013E-001
0.007	9.9894869E-001
0.008	9.9861586E-001
0.009	9.9822152E-001
0.01	9.9777067E-001
0.011	9.9727327E-001
0.012	9.9674255E-001
0.013	9.9619448E-001
0.014	9.9564588E-001
0.015	9.9511123E-001
0.016	9.9460179E-001
0.017	9.9412405E-001
0.018	9.9367988E-001
0.019	9.9326676E-001
0.02	9.9287891E-001
0.021	9.9251002E-001
0.022	9.9215263E-001
0.023	9.9180144E-001
0.024	9.9145246E-001
0.025	9.9110311E-001
0.026	9.9075252E-001
0.027	9.9040061E-001
0.028	9.9004751E-001
0.029	9.8969370E-001
0.03	9.8933923E-001
0.031	9.8898369E-001
0.032	9.8862672E-001
0.033	9.8826802E-001
0.034	9.8790640E-001
0.035	9.8754269E-001
0.036	9.8717630E-001
0.037	9.8680800E-001
0.038	9.8643833E-001
0.039	9.8606861E-001
0.04	9.8569947E-001
0.041	9.8533195E-001
0.042	9.8496664E-001
0.043	9.8460382E-001
0.044	9.8424292E-001
0.045	9.8388362E-001
0.046	9.8352498E-001
0.047	9.8316598E-001
0.048	9.8280579E-001
0.049	9.8244375E-001
0.05	9.8207891E-001
0.051	9.8171091E-001
0.052	9.8134017E-001
0.053	9.8096669E-001
0.054	9.8059106E-001
0.055	9.8021376E-001
0.056	9.7983581E-001
0.057	9.7945803E-001
0.058	9.7908080E-001
0.059	9.7870457E-001
0.06	9.7832882E-001
0.061	9.7795314E-001
0.062	9.7757697E-001
0.063	9.7719902E-001
0.064	9.7681832E-001
0.065	9.7643459E-001
0.066	9.7604746E-001
0.067	9.7565663E-001
0.068	9.7526312E-001
0.069	9.7486734E-001
0.07	9.7447002E-001
0.071	9.7407150E-001
0.072	9.7367263E-001
0.073	9.7327375E-001
0.074	9.7287476E-001
0.075	9.7247577E-001
0.076	9.7207636E-001
0.077	9.7167647E-001
0.078	9.7127599E-001
0.079	9.7087401E-001
0.08	9.7047073E-001
0.081	9.7006500E-001
0.082	9.6965623E-001
0.083	9.6924382E-001
0.084	9.6882689E-001
0.085	9.6840531E-001
0.086	9.6797872E-001
0.087	9.6754736E-001
0.088	9.6711111E-001
0.089	9.6667081E-001
0.09	9.6622729E-001
0.091	9.6578145E-001
0.092	9.6533400E-001
0.093	9.6488565E-001
0.094	9.6443725E-001
0.095	9.6398944E-001
0.096	9.6354228E-001
0.097	9.6309590E-001
0.098	9.6265084E-001
0.099	9.6220648E-001
0.1	9.6176273E-001
0.101	9.6131903E-001
0.102	9.6087426E-001
0.103	9.6042842E-001
0.104	9.5998055E-001
0.105	9.5952910E-001
0.106	9.5907384E-001
0.107	9.5861369E-001
0.108	9.5814776E-001
0.109	9.5767605E-001
0.11	9.5719814E-001
0.111	9.5671433E-001
0.112	9.5622480E-001
0.113	9.5572978E-001
0.114	9.5522982E-001
0.115	9.5472515E-001
0.116	9.5421571E-001
0.117	9.5370150E-001
0.118	9.5318162E-001
0.119	9.5265597E-001
0.12	9.5212245E-001
0.121	9.5157844E-001
0.122	9.5102113E-001
0.123	9.5044512E-001
0.124	9.4984370E-001
0.125	9.4920778E-001
0.126	9.4852638E-001
0.127	9.4778675E-001
0.128	9.4697636E-001
0.129	9.4608402E-001
0.13	9.4510263E-001
0.131	9.4403321E-001
0.132	9.4288486E-001
0.133	9.4167763E-001
0.134	9.4044179E-001
0.135	9.3921548E-001
0.136	9.3804002E-001
0.137	9.3695498E-001
0.138	9.3599230E-001
0.139	9.3517280E-001
0.14	9.3450260E-001
0.141	9.3397391E-001
0.142	9.3356645E-001
0.143	9.3325233E-001
0.144	9.3299931E-001
0.145	9.3277705E-001
0.146	9.3255913E-001
0.147	9.3232447E-001
0.148	9.3206006E-001
0.149	9.3175864E-001
0.15	9.3141758E-001
0.151	9.3103826E-001
0.152	9.3062466E-001
0.153	9.3018049E-001
0.154	9.2971075E-001
0.155	9.2921931E-001
0.156	9.2871034E-001
0.157	9.2818695E-001
0.158	9.2765176E-001
0.159	9.2710680E-001
0.16	9.2655385E-001
0.161	9.2599350E-001
0.162	9.2542636E-001
0.163	9.2485195E-001
0.164	9.2426848E-001
0.165	9.2367303E-001
0.166	9.2306137E-001
0.167	9.2242831E-001
0.168	9.2176735E-001
0.169	9.2107213E-001
0.17	9.2033660E-001
0.171	9.1955596E-001
0.172	9.1872716E-001
0.173	9.1784936E-001
0.174	9.1692466E-001
0.175	9.1595769E-001
0.176	9.1495496E-001
0.177	9.1392350E-001
0.178	9.1287148E-001
0.179	9.1180623E-001
0.18	9.1073310E-001
0.181	9.0965623E-001
0.182	9.0857708E-001
0.183	9.0749520E-001
0.184	9.0640938E-001
0.185	9.0531641E-001
0.186	9.0421295E-001
0.187	9.0309590E-001
0.188	9.0196234E-001
0.189	9.0081042E-001
0.19	8.9963979E-001
0.191	8.9844871E-001
0.192	8.9723748E-001
0.193	8.9600629E-001
0.194	8.9475483E-001
0.195	8.9348203E-001
0.196	8.9218658E-001
0.197	8.9086616E-001
0.198	8.8951772E-001
0.199	8.8813674E-001
0.2	8.8671869E-001
0.201	8.8525701E-001
0.202	8.8374460E-001
0.203	8.8217187E-001
0.204	8.8052839E-001
0.205	8.7879962E-001
0.206	8.7696850E-001
0.207	8.7501526E-001
0.208	8.7291795E-001
0.209	8.7065607E-001
0.21	8.6821401E-001
0.211	8.6558747E-001
0.212	8.6278921E-001
0.213	8.5985374E-001
0.214	8.5684037E-001
0.215	8.5383034E-001
0.216	8.5092175E-001
0.217	8.4821570E-001
0.218	8.4580457E-001
0.219	8.4375709E-001
0.22	8.4210628E-001
0.221	8.4084523E-001
0.222	8.3992821E-001
0.223	8.3927780E-001
0.224	8.3879840E-001
0.225	8.3838934E-001
0.226	8.3795810E-001
0.227	8.3742982E-001
0.228	8.3675206E-001
0.229	8.3589494E-001
0.23	8.3484858E-001
0.231	8.3361787E-001
0.232	8.3221686E-001
0.233	8.3066386E-001
0.234	8.2897800E-001
0.235	8.2717657E-001
0.236	8.2527333E-001
0.237	8.2327873E-001
0.238	8.2120067E-001
0.239	8.1904334E-001
0.24	8.1680971E-001
0.241	8.1450063E-001
