theta_deg	R
0.001	9.9985784E-001
0.002	9.9979514E-001
0.003	9.9970502E-001
0.004	9.9957883E-001
0.005	9.9940819E-001
0.006	9.9918365E-001
0.007	9.9889851E-001
0.008	9.9854845E-001
0.009	9.9813408E-001
0.01	9.9766010E-001
0.011	9.9713677E-001
0.012	9.9657857E-001
0.013	9.9600226E-001
0.014	9.9542516E-001
0.015	9.9486291E-001
0.016	9.9432731E-001
0.017	9.9382496E-001
0.018	9.9335790E-001
0.019	9.9292350E-001
0.02	9.9251586E-001
0.021	9.9212807E-001
0.022	9.9175239E-001
0.023	9.9138337E-001
0.024	9.9101663E-001
0.025	9.9064940E-001
0.026	9.9028099E-001
0.027	9.8991120E-001
0.028	9.8954010E-001
0.029	9.8916829E-001
0.03	9.8879570E-001
0.031	9.8842198E-001
0.032	9.8804706E-001
0.033	9.8766989E-001
0.034	9.8729014E-001
0.035	9.8690760E-001
0.036	9.8652256E-001
0.037	9.8613548E-001
0.038	9.8574716E-001
0.039	9.8535830E-001
0.04	9.8497039E-001
0.041	9.8458415E-001
0.042	9.8420024E-001
0.043	9.8381883E-001
0.044	9.8343951E-001
0.045	9.8306185E-001
0.046	9.8268491E-001
0.047	9.8230743E-001
0.048	9.8192883E-001
0.049	9.8154819E-001
0.05	9.8116475E-001
0.051	9.8077834E-001
0.052	9.8038846E-001
0.053	9.7999591E-001
0.054	9.7960097E-001
0.055	9.7920448E-001
0.056	9.7880703E-001
0.057	9.7841001E-001
0.058	9.7801346E-001
0.059	9.7761774E-001
0.06	9.7722268E-001
0.061	9.7682792E-001
0.062	9.7643238E-001
0.063	9.7603482E-001
0.064	9.7563452E-001
0.065	9.7523099E-001
0.066	9.7482395E-001
0.067	9.7441310E-001
0.068	9.7399944E-001
0.069	9.7358322E-001
0.07	9.7316539E-001
0.071	9.7274637E-001
0.072	9.7232687E-001
0.073	9.7190744E-001
0.074	9.7148764E-001
0.075	9.7106797E-001
0.076	9.7064799E-001
0.077	9.7022748E-001
0.078	9.6980619E-001
0.079	9.6938372E-001
0.08	9.6895915E-001
0.081	9.6853226E-001
0.082	9.6810228E-001
0.083	9.6766824E-001
0.084	9.6722984E-001
0.085	9.6678603E-001
0.086	9.6633744E-001
0.087	9.6588326E-001
0.088	9.6542412E-001
0.089	9.6496093E-001
0.09	9.6449429E-001
0.091	9.6402520E-001
0.092	9.6355426E-001
0.093	9.6308231E-001
0.094	9.6261054E-001
0.095	9.6213901E-001
0.096	9.6166831E-001
0.097	9.6119869E-001
0.098	9.6073037E-001
0.099	9.6026260E-001
0.1	9.5979542E-001
0.101	9.5932800E-001
0.102	9.5886028E-001
0.103	9.5839089E-001
0.104	9.5791918E-001
0.105	9.5744431E-001
0.106	9.5696491E-001
0.107	9.5648026E-001
0.108	9.5599002E-001
0.109	9.5549327E-001
0.11	9.5499003E-001
0.111	9.5448059E-001
0.112	9.5396519E-001
0.113	9.5344400E-001
0.114	9.5291752E-001
0.115	9.5238620E-001
0.116	9.5185006E-001
0.117	9.5130885E-001
0.118	9.5076257E-001
0.119	9.5020992E-001
0.12	9.4965005E-001
0.121	9.4908077E-001
0.122	9.4849968E-001
0.123	9.4790268E-001
0.124	9.4728452E-001
0.125	9.4663829E-001
0.126	9.4595563E-001
0.127	9.4522679E-001
0.128	9.4444239E-001
0.129	9.4359446E-001
0.13	9.4267821E-001
0.131	9.4169444E-001
0.132	9.4065142E-001
0.133	9.3956578E-001
0.134	9.3846184E-001
0.135	9.3736929E-001
0.136	9.3632102E-001
0.137	9.3534774E-001
0.138	9.3447399E-001
0.139	9.3371493E-001
0.14	9.3307447E-001
0.141	9.3254554E-001
0.142	9.3211097E-001
0.143	9.3174809E-001
0.144	9.3143129E-001
0.145	9.3113625E-001
0.146	9.3084180E-001
0.147	9.3053263E-001
0.148	9.3019801E-001
0.149	9.2983305E-001
0.15	9.2943603E-001
0.151	9.2900848E-001
0.152	9.2855299E-001
0.153	9.2807180E-001
0.154	9.2756695E-001
0.155	9.2703944E-001
0.156	9.2648870E-001
0.157	9.2591268E-001
0.158	9.2530847E-001
0.159	9.2467272E-001
0.16	9.2400140E-001
0.161	9.2329198E-001
0.162	9.2254210E-001
0.163	9.2175150E-001
0.164	9.2092079E-001
0.165	9.2005265E-001
0.166	9.1915089E-001
0.167	9.1821951E-001
0.168	9.1726345E-001
0.169	9.1628623E-001
0.17	9.1529155E-001
0.171	9.1428161E-001
0.172	9.1325831E-001
0.173	9.1222256E-001
0.174	9.1117519E-001
0.175	9.1011703E-001
0.176	9.0904886E-001
0.177	9.0797251E-001
0.178	9.0688914E-001
0.179	9.0580034E-001
0.18	9.0470636E-001
0.181	9.0360796E-001
0.182	9.0250367E-001
0.183	9.0139163E-001
0.184	9.0026921E-001
0.185	8.9913255E-001
0.186	8.9797837E-001
0.187	8.9680326E-001
0.188	8.9560443E-001
0.189	8.9437985E-001
0.19	8.9312744E-001
0.191	8.9184582E-001
0.192	8.9053309E-001
0.193	8.8918668E-001
0.194	8.8780224E-001
0.195	8.8637304E-001
0.196	8.8488895E-001
0.197	8.8333547E-001
0.198	8.8169324E-001
0.199	8.7993771E-001
0.2	8.7804085E-001
0.201	8.7597197E-001
0.202	8.7370360E-001
0.203	8.7121427E-001
0.204	8.6849815E-001
0.205	8.6556923E-001
0.206	8.6246812E-001
0.207	8.5926312E-001
0.208	8.5604799E-001
0.209	8.5293418E-001
0.21	8.5003752E-001
0.211	8.4746271E-001
