theta_deg	R
0.001	9.9984109E-001
0.002	9.9976850E-001
0.003	9.9966407E-001
0.004	9.9951768E-001
0.005	9.9931860E-001
0.006	9.9905628E-001
0.007	9.9872315E-001
0.008	9.9831349E-001
0.009	9.9782825E-001
0.01	9.9727309E-001
0.011	9.9665993E-001
0.012	9.9600577E-001
0.013	9.9533039E-001
0.014	9.9465394E-001
0.015	9.9399501E-001
0.016	9.9336731E-001
0.017	9.9277890E-001
0.018	9.9223191E-001
0.019	9.9172324E-001
0.02	9.9124646E-001
0.021	9.9079245E-001
0.022	9.9035352E-001
0.023	9.8992193E-001
0.024	9.8949301E-001
0.025	9.8906344E-001
0.026	9.8863274E-001
0.027	9.8820019E-001
0.028	9.8776639E-001
0.029	9.8733169E-001
0.03	9.8689604E-001
0.031	9.8645926E-001
0.032	9.8602062E-001
0.033	9.8557943E-001
0.034	9.8513538E-001
0.035	9.8468828E-001
0.036	9.8423785E-001
0.037	9.8378515E-001
0.038	9.8333079E-001
0.039	9.8287618E-001
0.04	9.8242247E-001
0.041	9.8197073E-001
0.042	9.8152202E-001
0.043	9.8107570E-001
0.044	9.8063225E-001
0.045	9.8019058E-001
0.046	9.7974986E-001
0.047	9.7930837E-001
0.048	9.7886580E-001
0.049	9.7842038E-001
0.05	9.7797221E-001
0.051	9.7751975E-001
0.052	9.7706395E-001
0.053	9.7660458E-001
0.054	9.7614241E-001
0.055	9.7567838E-001
0.056	9.7521359E-001
0.057	9.7474897E-001
0.058	9.7428495E-001
0.059	9.7382206E-001
0.06	9.7335994E-001
0.061	9.7289771E-001
0.062	9.7243464E-001
0.063	9.7196960E-001
0.064	9.7150117E-001
0.065	9.7102892E-001
0.066	9.7055215E-001
0.067	9.7007114E-001
0.068	9.6958667E-001
0.069	9.6909928E-001
0.07	9.6860987E-001
0.071	9.6811920E-001
0.072	9.6762788E-001
0.073	9.6713650E-001
0.074	9.6664482E-001
0.075	9.6615314E-001
0.076	9.6566105E-001
0.077	9.6516836E-001
0.078	9.6467465E-001
0.079	9.6417952E-001
0.08	9.6368194E-001
0.081	9.6318156E-001
0.082	9.6267754E-001
0.083	9.6216875E-001
0.084	9.6165448E-001
0.085	9.6113449E-001
0.086	9.6060812E-001
0.087	9.6007550E-001
0.088	9.5953697E-001
0.089	9.5899355E-001
0.09	9.5844609E-001
0.091	9.5789534E-001
0.092	9.5734262E-001
0.093	9.5678902E-001
0.094	9.5623535E-001
0.095	9.5568192E-001
0.096	9.5512944E-001
0.097	9.5457822E-001
0.098	9.5402801E-001
0.099	9.5347893E-001
0.1	9.5293027E-001
0.101	9.5238155E-001
0.102	9.5183223E-001
0.103	9.5128113E-001
0.104	9.5072722E-001
0.105	9.5016938E-001
0.106	9.4960600E-001
0.107	9.4903678E-001
0.108	9.4846076E-001
0.109	9.4787741E-001
0.11	9.4728631E-001
0.111	9.4668770E-001
0.112	9.4608223E-001
0.113	9.4547009E-001
0.114	9.4485193E-001
0.115	9.4422817E-001
0.116	9.4359887E-001
0.117	9.4296455E-001
0.118	9.4232434E-001
0.119	9.4167858E-001
0.12	9.4102633E-001
0.121	9.4036686E-001
0.122	9.3969870E-001
0.123	9.3902075E-001
0.124	9.3833113E-001
0.125	9.3762726E-001
0.126	9.3690622E-001
0.127	9.3616456E-001
0.128	9.3539876E-001
0.129	9.3460613E-001
0.13	9.3378448E-001
0.131	9.3293381E-001
0.132	9.3205667E-001
0.133	9.3115860E-001
0.134	9.3024731E-001
0.135	9.2933303E-001
0.136	9.2842644E-001
0.137	9.2753780E-001
0.138	9.2667532E-001
0.139	9.2584360E-001
0.14	9.2504376E-001
0.141	9.2427272E-001
0.142	9.2352456E-001
0.143	9.2279071E-001
0.144	9.2206204E-001
0.145	9.2133027E-001
0.146	9.2058730E-001
0.147	9.1982770E-001
0.148	9.1904783E-001
0.149	9.1824657E-001
0.15	9.1742295E-001
0.151	9.1657817E-001
0.152	9.1571367E-001
0.153	9.1483086E-001
0.154	9.1393125E-001
0.155	9.1301632E-001
0.156	9.1208678E-001
0.157	9.1114318E-001
0.158	9.1018569E-001
0.159	9.0921444E-001
0.16	9.0822917E-001
0.161	9.0722978E-001
0.162	9.0621573E-001
0.163	9.0518683E-001
0.164	9.0414226E-001
0.165	9.0308148E-001
0.166	9.0200353E-001
0.167	9.0090644E-001
0.168	8.9978832E-001
0.169	8.9864600E-001
0.17	8.9747488E-001
0.171	8.9626902E-001
0.172	8.9502031E-001
0.173	8.9371824E-001
0.174	8.9234769E-001
0.175	8.9088947E-001
0.176	8.8931930E-001
0.177	8.8760692E-001
0.178	8.8571805E-001
0.179	8.8361657E-001
0.18	8.8126969E-001
0.181	8.7865609E-001
0.182	8.7577218E-001
0.183	8.7264144E-001
0.184	8.6932081E-001
0.185	8.6589903E-001
0.186	8.6249334E-001
0.187	8.5923725E-001
0.188	8.5626256E-001
0.189	8.5368299E-001
0.19	8.5157514E-001
0.191	8.4996992E-001
0.192	8.4884733E-001
0.193	8.4814346E-001
0.194	8.4776121E-001
0.195	8.4758770E-001
0.196	8.4750974E-001
0.197	8.4742665E-001
0.198	8.4726053E-001
0.199	8.4695786E-001
0.2	8.4648937E-001
0.201	8.4584600E-001
0.202	8.4503251E-001
0.203	8.4406275E-001
0.204	8.4295553E-001
0.205	8.4173042E-001
0.206	8.4040487E-001
0.207	8.3899516E-001
0.208	8.3751398E-001
0.209	8.3597088E-001
0.21	8.3437258E-001
0.211	8.3272290E-001
0.212	8.3102375E-001
0.213	8.2927501E-001
0.214	8.2747620E-001
0.215	8.2562608E-001
0.216	8.2372355E-001
0.217	8.2176816E-001
0.218	8.1975943E-001
0.219	8.1769711E-001
0.22	8.1558168E-001
0.221	8.1341290E-001
0.222	8.1119096E-001
0.223	8.0891448E-001
0.224	8.0658329E-001
0.225	8.0419552E-001
0.226	8.0175012E-001
0.227	7.9924542E-001
0.228	7.9667932E-001
0.229	7.9405028E-001
0.23	7.9135638E-001
0.231	7.8859556E-001
0.232	7.8576565E-001
0.233	7.8286445E-001
0.234	7.7988970E-001
0.235	7.7683818E-001
0.236	7.7370626E-001
0.237	7.7049088E-001
0.238	7.6718736E-001
0.239	7.6379067E-001
0.24	7.6029670E-001
0.241	7.5669974E-001
0.242	7.5299460E-001
0.243	7.4917597E-001
0.244	7.4523902E-001
0.245	7.4117857E-001
0.246	7.3698920E-001
0.247	7.3266602E-001
0.248	7.2820359E-001
0.249	7.2359651E-001
0.25	7.1883816E-001
0.251	7.1392137E-001
0.252	7.0883793E-001
0.253	7.0357811E-001
0.254	6.9813138E-001
0.255	6.9248563E-001
0.256	6.8662852E-001
0.257	6.8054622E-001
0.258	6.7422587E-001
0.259	6.6765428E-001
0.26	6.6081864E-001
0.261	6.5370846E-001
0.262	6.4631295E-001
0.263	6.3862348E-001
0.264	6.3063222E-001
0.265	6.2233287E-001
0.266	6.1371946E-001
0.267	6.0478663E-001
0.268	5.9552962E-001
0.269	5.8594388E-001
0.27	5.7602638E-001
0.271	5.6577504E-001
0.272	5.5519056E-001
0.273	5.4427749E-001
0.274	5.3304559E-001
0.275	5.2151006E-001
0.276	5.0969326E-001
0.277	4.9762425E-001
0.278	4.8533985E-001
0.279	4.7288299E-001
0.28	4.6030101E-001
0.281	4.4764531E-001
0.282	4.3496743E-001
0.283	4.2231834E-001
0.284	4.0974593E-001
0.285	3.9729390E-001
0.286	3.8500130E-001
0.287	3.7290239E-001
0.288	3.6102664E-001
0.289	3.4939978E-001
0.29	3.3804330E-001
0.291	3.2697606E-001
0.292	3.1621301E-001
0.293	3.0576703E-001
0.294	2.9564771E-001
0.295	2.8586301E-001
0.296	2.7641851E-001
0.297	2.6731935E-001
0.298	2.5856903E-001
0.299	2.5016981E-001
0.3	2.4212280E-001
0.301	2.3442659E-001
0.302	2.2707722E-001
0.303	2.2006707E-001
0.304	2.1338509E-001
0.305	2.0701647E-001
0.306	2.0094338E-001
0.307	1.9514537E-001
0.308	1.8960065E-001
0.309	1.8428703E-001
0.31	1.7918283E-001
0.311	1.7426795E-001
0.312	1.6952480E-001
0.313	1.6493887E-001
0.314	1.6049927E-001
0.315	1.5619889E-001
0.316	1.5203445E-001
0.317	1.4800601E-001
0.318	1.4411631E-001
0.319	1.4036989E-001
0.32	1.3677166E-001
0.321	1.3332604E-001
0.322	1.3003553E-001
0.323	1.2689975E-001
0.324	1.2391454E-001
0.325	1.2107193E-001
0.326	1.1835986E-001
0.327	1.1576274E-001
0.328	1.1326229E-001
0.329	1.1083874E-001
0.33	1.0847216E-001
0.331	1.0614406E-001
0.332	1.0383866E-001
0.333	1.0154436E-001
0.334	9.9254481E-002
0.335	9.6967913E-002
0.336	9.4689019E-002
0.337	9.2427209E-002
0.338	9.0196028E-002
0.339	8.8011831E-002
0.34	8.5892387E-002
0.341	8.3855025E-002
0.342	8.1915401E-002
0.343	8.0085799E-002
0.344	7.8374289E-002
0.345	7.6783903E-002
0.346	7.5312197E-002
0.347	7.3951587E-002
0.348	7.2689578E-002
0.349	7.1509704E-002
0.35	7.0392549E-002
0.351	6.9317035E-002
0.352	6.8261780E-002
0.353	6.7206390E-002
0.354	6.6132784E-002
0.355	6.5026157E-002
0.356	6.3876010E-002
0.357	6.2676497E-002
0.358	6.1426770E-002
0.359	6.0130902E-002
0.36	5.8797505E-002
0.361	5.7439059E-002
0.362	5.6071114E-002
0.363	5.4711256E-002
0.364	5.3378057E-002
0.365	5.2089952E-002
0.366	5.0864182E-002
0.367	4.9715675E-002
0.368	4.8656341E-002
0.369	4.7694158E-002
0.37	4.6832766E-002
0.371	4.6071142E-002
0.372	4.5403637E-002
0.373	4.4820271E-002
0.374	4.4307288E-002
0.375	4.3847974E-002
0.376	4.3423597E-002
0.377	4.3014519E-002
0.378	4.2601258E-002
0.379	4.2165585E-002
0.38	4.1691508E-002
0.381	4.1166045E-002
0.382	4.0579922E-002
0.383	3.9928019E-002
0.384	3.9209541E-002
0.385	3.8428035E-002
0.386	3.7591122E-002
0.387	3.6710076E-002
0.388	3.5799142E-002
0.389	3.4874830E-002
0.39	3.3954926E-002
0.391	3.3057641E-002
0.392	3.2200646E-002
0.393	3.1400129E-002
0.394	3.0670062E-002
0.395	3.0021442E-002
0.396	2.9461853E-002
0.397	2.8995022E-002
0.398	2.8620753E-002
0.399	2.8334906E-002
0.4	2.8129639E-002
0.401	2.7993819E-002
0.402	2.7913522E-002
0.403	2.7872752E-002
0.404	2.7854133E-002
0.405	2.7839758E-002
0.406	2.7811965E-002
0.407	2.7754167E-002
0.408	2.7651571E-002
0.409	2.7491827E-002
0.41	2.7265569E-002
0.411	2.6966810E-002
0.412	2.6593221E-002
0.413	2.6146200E-002
0.414	2.5630806E-002
0.415	2.5055565E-002
0.416	2.4432003E-002
0.417	2.3774160E-002
0.418	2.3097893E-002
0.419	2.2420125E-002
0.42	2.1758035E-002
0.421	2.1128260E-002
0.422	2.0546131E-002
0.423	2.0024983E-002
0.424	1.9575575E-002
0.425	1.9205621E-002
0.426	1.8919507E-002
0.427	1.8718112E-002
0.428	1.8598799E-002
0.429	1.8555565E-002
0.43	1.8579347E-002
0.431	1.8658426E-002
0.432	1.8778978E-002
0.433	1.8925715E-002
0.434	1.9082509E-002
0.435	1.9233128E-002
0.436	1.9361911E-002
0.437	1.9454392E-002
0.438	1.9497916E-002
0.439	1.9482115E-002
0.44	1.9399317E-002
0.441	1.9244814E-002
0.442	1.9017018E-002
0.443	1.8717499E-002
0.444	1.8350886E-002
0.445	1.7924592E-002
0.446	1.7448546E-002
0.447	1.6934706E-002
0.448	1.6396616E-002
0.449	1.5848801E-002
0.45	1.5306229E-002
0.451	1.4783688E-002
0.452	1.4295213E-002
0.453	1.3853542E-002
0.454	1.3469603E-002
0.455	1.3152077E-002
0.456	1.2907070E-002
0.457	1.2737859E-002
0.458	1.2644788E-002
0.459	1.2625264E-002
0.46	1.2673889E-002
0.461	1.2782687E-002
0.462	1.2941479E-002
0.463	1.3138287E-002
0.464	1.3359851E-002
0.465	1.3592148E-002
0.466	1.3820968E-002
0.467	1.4032442E-002
0.468	1.4213562E-002
0.469	1.4352652E-002
0.47	1.4439782E-002
0.471	1.4467100E-002
0.472	1.4429105E-002
0.473	1.4322818E-002
0.474	1.4147894E-002
0.475	1.3906605E-002
0.476	1.3603765E-002
0.477	1.3246542E-002
0.478	1.2844195E-002
0.479	1.2407711E-002
0.48	1.1949410E-002
0.481	1.1482424E-002
0.482	1.1020230E-002
0.483	1.0576100E-002
0.484	1.0162621E-002
0.485	9.7911796E-003
0.486	9.4715795E-003
0.487	9.2116809E-003
0.488	9.0171220E-003
0.489	8.8911625E-003
0.49	8.8345874E-003
0.491	8.8457242E-003
0.492	8.9205354E-003
0.493	9.0527888E-003
0.494	9.2343297E-003
0.495	9.4553670E-003
0.496	9.7048311E-003
0.497	9.9707665E-003
0.498	1.0240766E-002
0.499	1.0502379E-002
0.5	1.0743551E-002
0.501	1.0953047E-002
0.502	1.1120828E-002
0.503	1.1238401E-002
0.504	1.1299113E-002
0.505	1.1298371E-002
0.506	1.1233776E-002
0.507	1.1105205E-002
0.508	1.0914790E-002
0.509	1.0666821E-002
0.51	1.0367584E-002
