theta_deg	R
0.001	9.9984699E-001
0.002	9.9977803E-001
0.003	9.9967861E-001
0.004	9.9953955E-001
0.005	9.9935049E-001
0.006	9.9910200E-001
0.007	9.9878579E-001
0.008	9.9839783E-001
0.009	9.9793810E-001
0.01	9.9741209E-001
0.011	9.9683130E-001
0.012	9.9621165E-001
0.013	9.9557179E-001
0.014	9.9493122E-001
0.015	9.9430698E-001
0.016	9.9371231E-001
0.017	9.9315470E-001
0.018	9.9263656E-001
0.019	9.9215472E-001
0.02	9.9170280E-001
0.021	9.9127245E-001
0.022	9.9085635E-001
0.023	9.9044728E-001
0.024	9.9004060E-001
0.025	9.8963356E-001
0.026	9.8922503E-001
0.027	9.8881507E-001
0.028	9.8840392E-001
0.029	9.8799187E-001
0.03	9.8757881E-001
0.031	9.8716491E-001
0.032	9.8674875E-001
0.033	9.8633069E-001
0.034	9.8590982E-001
0.035	9.8548579E-001
0.036	9.8505902E-001
0.037	9.8462957E-001
0.038	9.8419905E-001
0.039	9.8376811E-001
0.04	9.8333818E-001
0.041	9.8290986E-001
0.042	9.8248422E-001
0.043	9.8206145E-001
0.044	9.8164076E-001
0.045	9.8122209E-001
0.046	9.8080426E-001
0.047	9.8038602E-001
0.048	9.7996634E-001
0.049	9.7954428E-001
0.05	9.7911918E-001
0.051	9.7869068E-001
0.052	9.7825837E-001
0.053	9.7782296E-001
0.054	9.7738504E-001
0.055	9.7694534E-001
0.056	9.7650468E-001
0.057	9.7606421E-001
0.058	9.7562444E-001
0.059	9.7518557E-001
0.06	9.7474754E-001
0.061	9.7430956E-001
0.062	9.7387069E-001
0.063	9.7342986E-001
0.064	9.7298586E-001
0.065	9.7253829E-001
0.066	9.7208649E-001
0.067	9.7163075E-001
0.068	9.7117150E-001
0.069	9.7070980E-001
0.07	9.7024602E-001
0.071	9.6978104E-001
0.072	9.6931559E-001
0.073	9.6885002E-001
0.074	9.6838409E-001
0.075	9.6791828E-001
0.076	9.6745223E-001
0.077	9.6698523E-001
0.078	9.6651751E-001
0.079	9.6604818E-001
0.08	9.6557695E-001
0.081	9.6510315E-001
