theta_deg	R
0.001	9.9985468E-001
0.002	9.9978942E-001
0.003	9.9969608E-001
0.004	9.9956512E-001
0.005	9.9938720E-001
0.006	9.9915338E-001
0.007	9.9885619E-001
0.008	9.9849147E-001
0.009	9.9805915E-001
0.01	9.9756473E-001
0.011	9.9701905E-001
0.012	9.9643677E-001
0.013	9.9583560E-001
0.014	9.9523365E-001
0.015	9.9464720E-001
0.016	9.9408835E-001
0.017	9.9356461E-001
0.018	9.9307787E-001
0.019	9.9262500E-001
0.02	9.9220037E-001
0.021	9.9179620E-001
0.022	9.9140519E-001
0.023	9.9102098E-001
0.024	9.9063903E-001
0.025	9.9025691E-001
0.026	9.8987341E-001
0.027	9.8948854E-001
0.028	9.8910278E-001
0.029	9.8871589E-001
0.03	9.8832858E-001
0.031	9.8794019E-001
0.032	9.8755044E-001
0.033	9.8715842E-001
0.034	9.8676401E-001
0.035	9.8636693E-001
0.036	9.8596698E-001
0.037	9.8556507E-001
0.038	9.8516214E-001
0.039	9.8475909E-001
0.04	9.8435658E-001
0.041	9.8395622E-001
0.042	9.8355824E-001
0.043	9.8316300E-001
0.044	9.8277009E-001
0.045	9.8237860E-001
0.046	9.8198819E-001
0.047	9.8159772E-001
0.048	9.8120582E-001
0.049	9.8081183E-001
0.05	9.8041511E-001
0.051	9.8001510E-001
0.052	9.7961217E-001
0.053	9.7920603E-001
0.054	9.7879755E-001
0.055	9.7838777E-001
0.056	9.7797710E-001
0.057	9.7756660E-001
0.058	9.7715688E-001
0.059	9.7674811E-001
0.06	9.7634006E-001
0.061	9.7593230E-001
0.062	9.7552371E-001
0.063	9.7511357E-001
0.064	9.7470093E-001
0.065	9.7428441E-001
0.066	9.7386497E-001
0.067	9.7344184E-001
0.068	9.7301584E-001
0.069	9.7258765E-001
0.07	9.7215754E-001
0.071	9.7172707E-001
0.072	9.7129619E-001
0.073	9.7086519E-001
0.074	9.7043437E-001
0.075	9.7000372E-001
0.076	9.6957266E-001
0.077	9.6914172E-001
0.078	9.6870983E-001
