theta_deg	R
0.001	9.9985361E-001
0.002	9.9978811E-001
0.003	9.9969411E-001
0.004	9.9956244E-001
0.005	9.9938351E-001
0.006	9.9914855E-001
0.007	9.9884957E-001
0.008	9.9848300E-001
0.009	9.9804860E-001
0.01	9.9755162E-001
0.011	9.9700314E-001
0.012	9.9641782E-001
0.013	9.9581343E-001
0.014	9.9520832E-001
0.015	9.9461877E-001
0.016	9.9405706E-001
0.017	9.9353051E-001
0.018	9.9304086E-001
0.019	9.9258560E-001
0.02	9.9215859E-001
0.021	9.9175227E-001
0.022	9.9135906E-001
0.023	9.9097246E-001
0.024	9.9058843E-001
0.025	9.9020386E-001
0.026	9.8981798E-001
0.027	9.8943073E-001
0.028	9.8904258E-001
0.029	9.8865342E-001
0.03	9.8826361E-001
0.031	9.8787260E-001
0.032	9.8748010E-001
0.033	9.8708564E-001
0.034	9.8668838E-001
0.035	9.8628837E-001
0.036	9.8588556E-001
0.037	9.8548055E-001
0.038	9.8507440E-001
0.039	9.8466784E-001
0.04	9.8426241E-001
0.041	9.8385853E-001
0.042	9.8345733E-001
0.043	9.8305863E-001
0.044	9.8266226E-001
0.045	9.8226774E-001
0.046	9.8187393E-001
0.047	9.8148006E-001
0.048	9.8108488E-001
0.049	9.8068780E-001
0.05	9.8028761E-001
0.051	9.7988445E-001
0.052	9.7947782E-001
0.053	9.7906852E-001
0.054	9.7865635E-001
0.055	9.7824270E-001
0.056	9.7782826E-001
0.057	9.7741413E-001
0.058	9.7700065E-001
0.059	9.7658783E-001
0.06	9.7617590E-001
0.061	9.7576386E-001
0.062	9.7535115E-001
0.063	9.7493684E-001
0.064	9.7451961E-001
0.065	9.7409922E-001
0.066	9.7367495E-001
0.067	9.7324705E-001
0.068	9.7281611E-001
0.069	9.7238284E-001
0.07	9.7194785E-001
0.071	9.7151184E-001
0.072	9.7107571E-001
0.073	9.7063935E-001
0.074	9.7020304E-001
0.075	9.6976680E-001
0.076	9.6933013E-001
0.077	9.6889317E-001
0.078	9.6845526E-001
0.079	9.6801639E-001
0.08	9.6757549E-001
0.081	9.6713209E-001
0.082	9.6668547E-001
0.083	9.6623486E-001
0.084	9.6577966E-001
0.085	9.6531916E-001
0.086	9.6485329E-001
0.087	9.6438223E-001
0.088	9.6390593E-001
0.089	9.6342534E-001
0.09	9.6294123E-001
0.091	9.6245444E-001
0.092	9.6196628E-001
0.093	9.6147734E-001
0.094	9.6098834E-001
0.095	9.6049994E-001
0.096	9.6001279E-001
0.097	9.5952672E-001
0.098	9.5904183E-001
0.099	9.5855808E-001
0.1	9.5807511E-001
0.101	9.5759249E-001
0.102	9.5710945E-001
0.103	9.5662522E-001
0.104	9.5613843E-001
0.105	9.5564878E-001
0.106	9.5515472E-001
0.107	9.5465547E-001
0.108	9.5415032E-001
0.109	9.5363897E-001
0.11	9.5312095E-001
0.111	9.5259660E-001
0.112	9.5206636E-001
0.113	9.5153046E-001
0.114	9.5098907E-001
0.115	9.5044327E-001
0.116	9.4989276E-001
0.117	9.4933742E-001
0.118	9.4877714E-001
0.119	9.4821131E-001
0.12	9.4763893E-001
0.121	9.4705880E-001
0.122	9.4646877E-001
0.123	9.4586635E-001
0.124	9.4524771E-001
0.125	9.4460893E-001
0.126	9.4394410E-001
0.127	9.4324714E-001
0.128	9.4251293E-001
0.129	9.4173598E-001
0.13	9.4091451E-001
0.131	9.4005054E-001
0.132	9.3915087E-001
0.133	9.3822777E-001
0.134	9.3729931E-001
0.135	9.3638712E-001
0.136	9.3551338E-001
0.137	9.3469900E-001
0.138	9.3396062E-001
0.139	9.3330759E-001
0.14	9.3274075E-001
0.141	9.3225330E-001
0.142	9.3183160E-001
0.143	9.3145728E-001
0.144	9.3111002E-001
0.145	9.3076956E-001
0.146	9.3041760E-001
0.147	9.3003917E-001
0.148	9.2962277E-001
0.149	9.2915940E-001
0.15	9.2864442E-001
0.151	9.2807519E-001
0.152	9.2745167E-001
0.153	9.2677587E-001
0.154	9.2605084E-001
0.155	9.2528218E-001
0.156	9.2447555E-001
0.157	9.2363673E-001
0.158	9.2277241E-001
0.159	9.2188817E-001
0.16	9.2098916E-001
0.161	9.2007875E-001
0.162	9.1916060E-001
0.163	9.1823596E-001
0.164	9.1730595E-001
0.165	9.1637105E-001
0.166	9.1543049E-001
0.167	9.1448426E-001
0.168	9.1353083E-001
0.169	9.1256899E-001
0.17	9.1159737E-001
0.171	9.1061455E-001
0.172	9.0961897E-001
0.173	9.0860945E-001
0.174	9.0758562E-001
0.175	9.0654731E-001
0.176	9.0549535E-001
0.177	9.0443063E-001
0.178	9.0335464E-001
0.179	9.0226847E-001
0.18	9.0117335E-001
0.181	9.0006870E-001
0.182	8.9895284E-001
0.183	8.9782333E-001
0.184	8.9667577E-001
0.185	8.9550495E-001
0.186	8.9430428E-001
0.187	8.9306599E-001
0.188	8.9178044E-001
0.189	8.9043576E-001
0.19	8.8901567E-001
0.191	8.8749981E-001
0.192	8.8586235E-001
0.193	8.8407129E-001
0.194	8.8209146E-001
0.195	8.7988704E-001
0.196	8.7742770E-001
0.197	8.7469655E-001
0.198	8.7169784E-001
0.199	8.6846584E-001
0.2	8.6506748E-001
0.201	8.6160278E-001
0.202	8.5819632E-001
0.203	8.5498536E-001
0.204	8.5210067E-001
0.205	8.4964788E-001
0.206	8.4769279E-001
0.207	8.4625107E-001
0.208	8.4528792E-001
0.209	8.4472597E-001
0.21	8.4445822E-001
0.211	8.4436619E-001
0.212	8.4433538E-001
0.213	8.4426862E-001
0.214	8.4409320E-001
0.215	8.4376299E-001
0.216	8.4325665E-001
0.217	8.4257102E-001
0.218	8.4171659E-001
0.219	8.4071058E-001
0.22	8.3957219E-001
0.221	8.3832026E-001
0.222	8.3697110E-001
0.223	8.3553797E-001
0.224	8.3403033E-001
0.225	8.3245647E-001
0.226	8.3082128E-001
0.227	8.2912815E-001
0.228	8.2738012E-001
