theta_deg	R
0.001	9.9985123E-001
0.002	9.9978513E-001
0.003	9.9969018E-001
0.004	9.9955732E-001
0.005	9.9937713E-001
0.006	9.9914020E-001
0.007	9.9883932E-001
0.008	9.9847001E-001
0.009	9.9803251E-001
0.01	9.9753231E-001
0.011	9.9697995E-001
0.012	9.9639064E-001
0.013	9.9578220E-001
0.014	9.9517310E-001
0.015	9.9457937E-001
0.016	9.9401367E-001
0.017	9.9348313E-001
0.018	9.9298984E-001
0.019	9.9253094E-001
0.02	9.9210054E-001
0.021	9.9169052E-001
0.022	9.9129367E-001
0.023	9.9090344E-001
0.024	9.9051553E-001
0.025	9.9012738E-001
0.026	9.8973769E-001
0.027	9.8934656E-001
0.028	9.8895389E-001
0.029	9.8856056E-001
0.03	9.8816645E-001
0.031	9.8777121E-001
0.032	9.8737407E-001
0.033	9.8697478E-001
0.034	9.8657274E-001
0.035	9.8616755E-001
0.036	9.8575974E-001
0.037	9.8534918E-001
0.038	9.8493767E-001
0.039	9.8452562E-001
0.04	9.8411423E-001
0.041	9.8370457E-001
0.042	9.8329729E-001
0.043	9.8289233E-001
0.044	9.8248959E-001
0.045	9.8208833E-001
0.046	9.8168778E-001
0.047	9.8128676E-001
0.048	9.8088413E-001
0.049	9.8047894E-001
0.05	9.8007065E-001
0.051	9.7965902E-001
0.052	9.7924352E-001
0.053	9.7882509E-001
0.054	9.7840387E-001
0.055	9.7798073E-001
0.056	9.7755659E-001
0.057	9.7713226E-001
0.058	9.7670841E-001
0.059	9.7628528E-001
0.06	9.7586298E-001
0.061	9.7544026E-001
0.062	9.7501653E-001
0.063	9.7459090E-001
0.064	9.7416192E-001
0.065	9.7372949E-001
0.066	9.7329295E-001
0.067	9.7285247E-001
0.068	9.7240835E-001
0.069	9.7196162E-001
0.07	9.7151309E-001
0.071	9.7106308E-001
0.072	9.7061247E-001
0.073	9.7016162E-001
0.074	9.6971023E-001
0.075	9.6925884E-001
0.076	9.6880656E-001
0.077	9.6835357E-001
0.078	9.6789956E-001
0.079	9.6744335E-001
0.08	9.6698499E-001
0.081	9.6652383E-001
0.082	9.6605873E-001
0.083	9.6558893E-001
0.084	9.6511364E-001
0.085	9.6463251E-001
0.086	9.6414530E-001
0.087	9.6365196E-001
0.088	9.6315277E-001
0.089	9.6264881E-001
0.09	9.6214056E-001
0.091	9.6162915E-001
0.092	9.6111572E-001
0.093	9.6060085E-001
0.094	9.6008557E-001
0.095	9.5957053E-001
0.096	9.5905608E-001
0.097	9.5854235E-001
0.098	9.5802951E-001
0.099	9.5751733E-001
0.1	9.5700514E-001
0.101	9.5649254E-001
0.102	9.5597905E-001
0.103	9.5546365E-001
0.104	9.5494491E-001
0.105	9.5442206E-001
0.106	9.5389408E-001
0.107	9.5335984E-001
0.108	9.5281869E-001
0.109	9.5227027E-001
0.11	9.5171434E-001
0.111	9.5115107E-001
0.112	9.5058054E-001
0.113	9.5000350E-001
0.114	9.4942021E-001
0.115	9.4883114E-001
0.116	9.4823617E-001
0.117	9.4763535E-001
0.118	9.4702822E-001
0.119	9.4641447E-001
0.12	9.4579279E-001
0.121	9.4516176E-001
0.122	9.4451928E-001
0.123	9.4386297E-001
0.124	9.4318926E-001
0.125	9.4249332E-001
0.126	9.4177002E-001
0.127	9.4101292E-001
0.128	9.4021648E-001
0.129	9.3937576E-001
0.13	9.3848825E-001
0.131	9.3755621E-001
0.132	9.3658626E-001
0.133	9.3559074E-001
0.134	9.3458831E-001
0.135	9.3360019E-001
0.136	9.3264967E-001
0.137	9.3175793E-001
0.138	9.3094182E-001
0.139	9.3021071E-001
0.14	9.2956579E-001
0.141	9.2900014E-001
0.142	9.2849958E-001
0.143	9.2804581E-001
0.144	9.2761767E-001
0.145	9.2719424E-001
0.146	9.2675728E-001
0.147	9.2629063E-001
0.148	9.2578268E-001
0.149	9.2522478E-001
0.15	9.2461175E-001
0.151	9.2394084E-001
0.152	9.2321217E-001
0.153	9.2242759E-001
0.154	9.2159069E-001
0.155	9.2070663E-001
0.156	9.1978103E-001
0.157	9.1882044E-001
0.158	9.1783100E-001
0.159	9.1681838E-001
0.16	9.1578782E-001
0.161	9.1474283E-001
0.162	9.1368645E-001
0.163	9.1262060E-001
0.164	9.1154605E-001
0.165	9.1046292E-001
0.166	9.0937096E-001
0.167	9.0826917E-001
0.168	9.0715647E-001
0.169	9.0603137E-001
0.17	9.0489185E-001
0.171	9.0373641E-001
0.172	9.0256327E-001
0.173	9.0137100E-001
0.174	9.0015918E-001
0.175	8.9892745E-001
0.176	8.9767694E-001
0.177	8.9640874E-001
0.178	8.9512461E-001
0.179	8.9382625E-001
0.18	8.9251441E-001
0.181	8.9118898E-001
0.182	8.8984811E-001
0.183	8.8848859E-001
0.184	8.8710588E-001
