theta_deg	R
0.001	9.9985182E-001
0.002	9.9978572E-001
0.003	9.9969101E-001
0.004	9.9955839E-001
0.005	9.9937826E-001
0.006	9.9914157E-001
0.007	9.9884081E-001
0.008	9.9847156E-001
0.009	9.9803412E-001
0.01	9.9753392E-001
0.011	9.9698180E-001
0.012	9.9639267E-001
0.013	9.9578428E-001
0.014	9.9517518E-001
0.015	9.9458188E-001
0.016	9.9401635E-001
0.017	9.9348611E-001
0.018	9.9299324E-001
0.019	9.9253482E-001
0.02	9.9210477E-001
0.021	9.9169546E-001
0.022	9.9129915E-001
0.023	9.9090993E-001
0.024	9.9052262E-001
0.025	9.9013501E-001
0.026	9.8974627E-001
0.027	9.8935574E-001
0.028	9.8896408E-001
0.029	9.8857164E-001
0.03	9.8817819E-001
0.031	9.8778355E-001
0.032	9.8738730E-001
0.033	9.8698872E-001
0.034	9.8658758E-001
0.035	9.8618340E-001
0.036	9.8577654E-001
0.037	9.8536754E-001
0.038	9.8495704E-001
0.039	9.8454612E-001
0.04	9.8413604E-001
0.041	9.8372775E-001
0.042	9.8332167E-001
0.043	9.8291838E-001
0.044	9.8251736E-001
0.045	9.8211765E-001
0.046	9.8171866E-001
0.047	9.8131955E-001
0.048	9.8091865E-001
0.049	9.8051548E-001
0.05	9.8010939E-001
0.051	9.7969961E-001
0.052	9.7928643E-001
0.053	9.7887015E-001
0.054	9.7845107E-001
0.055	9.7803038E-001
0.056	9.7760874E-001
0.057	9.7718710E-001
0.058	9.7676593E-001
0.059	9.7634578E-001
0.06	9.7592616E-001
0.061	9.7550637E-001
0.062	9.7508574E-001
0.063	9.7466326E-001
0.064	9.7423780E-001
0.065	9.7380883E-001
0.066	9.7337586E-001
0.067	9.7293890E-001
0.068	9.7249883E-001
0.069	9.7205621E-001
0.07	9.7161204E-001
0.071	9.7116631E-001
0.072	9.7072041E-001
0.073	9.7027403E-001
0.074	9.6982771E-001
0.075	9.6938103E-001
0.076	9.6893400E-001
0.077	9.6848613E-001
0.078	9.6803719E-001
0.079	9.6758664E-001
0.08	9.6713400E-001
0.081	9.6667844E-001
0.082	9.6621901E-001
0.083	9.6575552E-001
0.084	9.6528661E-001
0.085	9.6481240E-001
0.086	9.6433210E-001
0.087	9.6384627E-001
0.088	9.6335477E-001
0.089	9.6285856E-001
0.09	9.6235842E-001
0.091	9.6185541E-001
0.092	9.6135026E-001
0.093	9.6084428E-001
0.094	9.6033823E-001
0.095	9.5983225E-001
0.096	9.5932680E-001
0.097	9.5882249E-001
0.098	9.5831913E-001
0.099	9.5781654E-001
0.1	9.5731413E-001
0.101	9.5681185E-001
0.102	9.5630872E-001
0.103	9.5580339E-001
0.104	9.5529556E-001
0.105	9.5478398E-001
0.106	9.5426732E-001
0.107	9.5374501E-001
0.108	9.5321637E-001
0.109	9.5268053E-001
0.11	9.5213783E-001
0.111	9.5158815E-001
0.112	9.5103186E-001
0.113	9.5046937E-001
0.114	9.4990104E-001
0.115	9.4932741E-001
0.116	9.4874859E-001
0.117	9.4816411E-001
0.118	9.4757402E-001
0.119	9.4697756E-001
0.12	9.4637376E-001
0.121	9.4576091E-001
0.122	9.4513750E-001
0.123	9.4450063E-001
0.124	9.4384682E-001
0.125	9.4317162E-001
0.126	9.4246936E-001
0.127	9.4173431E-001
0.128	9.4096005E-001
0.129	9.4014239E-001
0.13	9.3927896E-001
0.131	9.3837136E-001
0.132	9.3742675E-001
0.133	9.3645781E-001
0.134	9.3548238E-001
0.135	9.3452179E-001
0.136	9.3359941E-001
0.137	9.3273604E-001
0.138	9.3194878E-001
0.139	9.3124640E-001
0.14	9.3063045E-001
0.141	9.3009359E-001
0.142	9.2962211E-001
0.143	9.2919755E-001
0.144	9.2879933E-001
0.145	9.2840654E-001
0.146	9.2800087E-001
0.147	9.2756712E-001
0.148	9.2709321E-001
0.149	9.2657048E-001
0.15	9.2599410E-001
0.151	9.2536157E-001
0.152	9.2467260E-001
0.153	9.2392933E-001
0.154	9.2313528E-001
0.155	9.2229527E-001
0.156	9.2141503E-001
0.157	9.2050070E-001
0.158	9.1955894E-001
0.159	9.1859508E-001
0.16	9.1761428E-001
0.161	9.1662008E-001
0.162	9.1561562E-001
0.163	9.1460294E-001
0.164	9.1358298E-001
0.165	9.1255569E-001
0.166	9.1152132E-001
0.167	9.1047901E-001
0.168	9.0942758E-001
0.169	9.0836543E-001
0.17	9.0729129E-001
0.171	9.0620309E-001
0.172	9.0509957E-001
0.173	9.0397912E-001
0.174	9.0284127E-001
0.175	9.0168589E-001
0.176	9.0051389E-001
0.177	8.9932621E-001
0.178	8.9812458E-001
0.179	8.9691067E-001
0.18	8.9568496E-001
0.181	8.9444739E-001
0.182	8.9319628E-001
0.183	8.9192873E-001
0.184	8.9064014E-001
0.185	8.8932478E-001
0.186	8.8797683E-001
0.187	8.8658834E-001
0.188	8.8515109E-001
0.189	8.8365507E-001
0.19	8.8208848E-001
0.191	8.8043612E-001
0.192	8.7868023E-001
0.193	8.7679952E-001
0.194	8.7477207E-001
0.195	8.7257636E-001
0.196	8.7019747E-001
0.197	8.6763144E-001
0.198	8.6489153E-001
0.199	8.6201245E-001
0.2	8.5905218E-001
0.201	8.5608965E-001
0.202	8.5321820E-001
0.203	8.5053426E-001
0.204	8.4812403E-001
0.205	8.4605134E-001
0.206	8.4434581E-001
0.207	8.4299999E-001
0.208	8.4196955E-001
0.209	8.4118217E-001
0.21	8.4054852E-001
0.211	8.3997577E-001
0.212	8.3937877E-001
0.213	8.3868909E-001
0.214	8.3785951E-001
0.215	8.3686316E-001
0.216	8.3569169E-001
0.217	8.3434993E-001
0.218	8.3285087E-001
0.219	8.3121139E-001
0.22	8.2944876E-001
0.221	8.2757854E-001
0.222	8.2561296E-001
0.223	8.2356125E-001
0.224	8.2143015E-001
0.225	8.1922376E-001
0.226	8.1694472E-001
0.227	8.1459355E-001
0.228	8.1217122E-001
0.229	8.0967683E-001
0.23	8.0710936E-001
0.231	8.0446804E-001
0.232	8.0175102E-001
0.233	7.9895627E-001
0.234	7.9608196E-001
0.235	7.9312468E-001
0.236	7.9008180E-001
0.237	7.8694916E-001
0.238	7.8372240E-001
0.239	7.8039664E-001
0.24	7.7696669E-001
0.241	7.7342689E-001
0.242	7.6977170E-001
0.243	7.6599544E-001
0.244	7.6209205E-001
0.245	7.5805604E-001
0.246	7.5388145E-001
0.247	7.4956220E-001
0.248	7.4509209E-001
0.249	7.4046469E-001
0.25	7.3567224E-001
0.251	7.3070616E-001
0.252	7.2555685E-001
0.253	7.2021323E-001
0.254	7.1466261E-001
0.255	7.0889074E-001
0.256	7.0288289E-001
0.257	6.9662374E-001
0.258	6.9009686E-001
0.259	6.8328643E-001
0.26	6.7617738E-001
0.261	6.6875541E-001
0.262	6.6100740E-001
0.263	6.5292180E-001
0.264	6.4448851E-001
0.265	6.3569832E-001
0.266	6.2654364E-001
0.267	6.1701757E-001
0.268	6.0711461E-001
0.269	5.9682989E-001
