theta_deg	R
0.001	9.9985254E-001
0.002	9.9978685E-001
0.003	9.9969238E-001
0.004	9.9956006E-001
0.005	9.9938035E-001
0.006	9.9914449E-001
0.007	9.9884433E-001
0.008	9.9847615E-001
0.009	9.9803996E-001
0.01	9.9754095E-001
0.011	9.9698997E-001
0.012	9.9640214E-001
0.013	9.9579561E-001
0.014	9.9518794E-001
0.015	9.9459594E-001
0.016	9.9403191E-001
0.017	9.9350321E-001
0.018	9.9301147E-001
0.019	9.9255431E-001
0.02	9.9212551E-001
0.021	9.9171716E-001
0.022	9.9132204E-001
0.023	9.9093378E-001
0.024	9.9054778E-001
0.025	9.9016166E-001
0.026	9.8977399E-001
0.027	9.8938477E-001
0.028	9.8899472E-001
0.029	9.8860359E-001
0.03	9.8821175E-001
0.031	9.8781854E-001
0.032	9.8742402E-001
0.033	9.8702717E-001
0.034	9.8662770E-001
0.035	9.8622549E-001
0.036	9.8582041E-001
0.037	9.8541284E-001
0.038	9.8500431E-001
0.039	9.8459542E-001
0.04	9.8418730E-001
0.041	9.8378098E-001
0.042	9.8337716E-001
0.043	9.8297578E-001
0.044	9.8257661E-001
0.045	9.8217934E-001
0.046	9.8178267E-001
0.047	9.8138589E-001
0.048	9.8098779E-001
0.049	9.8058712E-001
0.05	9.8018372E-001
0.051	9.7977710E-001
0.052	9.7936702E-001
0.053	9.7895378E-001
0.054	9.7853827E-001
0.055	9.7812116E-001
0.056	9.7770327E-001
0.057	9.7728515E-001
0.058	9.7686791E-001
0.059	9.7645175E-001
0.06	9.7603619E-001
0.061	9.7562039E-001
0.062	9.7520423E-001
0.063	9.7478586E-001
0.064	9.7436494E-001
0.065	9.7394013E-001
0.066	9.7351158E-001
0.067	9.7307938E-001
0.068	9.7264379E-001
0.069	9.7220564E-001
0.07	9.7176594E-001
0.071	9.7132486E-001
0.072	9.7088331E-001
0.073	9.7044176E-001
0.074	9.6999997E-001
0.075	9.6955818E-001
0.076	9.6911585E-001
0.077	9.6867329E-001
0.078	9.6822959E-001
0.079	9.6778476E-001
0.08	9.6733785E-001
0.081	9.6688843E-001
0.082	9.6643531E-001
0.083	9.6597844E-001
0.084	9.6551675E-001
0.085	9.6504933E-001
0.086	9.6457678E-001
0.087	9.6409839E-001
0.088	9.6361506E-001
0.089	9.6312702E-001
0.09	9.6263546E-001
0.091	9.6214110E-001
0.092	9.6164489E-001
0.093	9.6114796E-001
0.094	9.6065080E-001
0.095	9.6015412E-001
0.096	9.5965832E-001
0.097	9.5916325E-001
0.098	9.5866948E-001
0.099	9.5817655E-001
0.1	9.5768416E-001
0.101	9.5719194E-001
0.102	9.5669907E-001
0.103	9.5620430E-001
0.104	9.5570731E-001
0.105	9.5520663E-001
0.106	9.5470113E-001
0.107	9.5419049E-001
0.108	9.5367372E-001
0.109	9.5315015E-001
0.11	9.5261997E-001
0.111	9.5208293E-001
0.112	9.5153975E-001
0.113	9.5099050E-001
0.114	9.5043588E-001
0.115	9.4987637E-001
0.116	9.4931173E-001
0.117	9.4874227E-001
0.118	9.4816774E-001
0.119	9.4758826E-001
0.12	9.4700301E-001
0.121	9.4641149E-001
0.122	9.4581300E-001
0.123	9.4520700E-001
0.124	9.4459236E-001
0.125	9.4396842E-001
0.126	9.4333380E-001
0.127	9.4268721E-001
0.128	9.4202834E-001
0.129	9.4135678E-001
0.13	9.4067335E-001
0.131	9.3998021E-001
0.132	9.3928075E-001
0.133	9.3858016E-001
0.134	9.3788475E-001
0.135	9.3720144E-001
0.136	9.3653697E-001
0.137	9.3589646E-001
0.138	9.3528259E-001
0.139	9.3469644E-001
0.14	9.3413520E-001
0.141	9.3359339E-001
0.142	9.3306476E-001
0.143	9.3254113E-001
0.144	9.3201399E-001
0.145	9.3147641E-001
0.146	9.3092179E-001
0.147	9.3034518E-001
0.148	9.2974299E-001
0.149	9.2911315E-001
0.15	9.2845500E-001
0.151	9.2776805E-001
0.152	9.2705357E-001
0.153	9.2631209E-001
0.154	9.2554605E-001
0.155	9.2475748E-001
0.156	9.2394912E-001
0.157	9.2312300E-001
0.158	9.2228222E-001
0.159	9.2142814E-001
0.16	9.2056316E-001
0.161	9.1968834E-001
0.162	9.1880512E-001
0.163	9.1791403E-001
0.164	9.1701519E-001
0.165	9.1610897E-001
0.166	9.1519493E-001
0.167	9.1427243E-001
0.168	9.1334122E-001
0.169	9.1239983E-001
0.17	9.1144735E-001
0.171	9.1048229E-001
0.172	9.0950358E-001
0.173	9.0851027E-001
0.174	9.0750229E-001
0.175	9.0647912E-001
0.176	9.0544254E-001
0.177	9.0439367E-001
0.178	9.0333390E-001
0.179	9.0226525E-001
0.18	9.0118861E-001
0.181	9.0010464E-001
0.182	8.9901245E-001
0.183	8.9790922E-001
0.184	8.9679229E-001
0.185	8.9565694E-001
0.186	8.9449823E-001
0.187	8.9330906E-001
0.188	8.9208132E-001
0.189	8.9080316E-001
0.19	8.8945991E-001
0.191	8.8802922E-001
0.192	8.8648212E-001
0.193	8.8478076E-001
0.194	8.8287896E-001
0.195	8.8072532E-001
