theta_deg	R
0.001	9.9985248E-001
0.002	9.9978685E-001
0.003	9.9969232E-001
0.004	9.9956000E-001
0.005	9.9938035E-001
0.006	9.9914426E-001
0.007	9.9884421E-001
0.008	9.9847591E-001
0.009	9.9803954E-001
0.01	9.9754035E-001
0.011	9.9698943E-001
0.012	9.9640167E-001
0.013	9.9579483E-001
0.014	9.9518692E-001
0.015	9.9459487E-001
0.016	9.9403054E-001
0.017	9.9350172E-001
0.018	9.9300987E-001
0.019	9.9255246E-001
0.02	9.9212360E-001
0.021	9.9171501E-001
0.022	9.9131995E-001
0.023	9.9093151E-001
0.024	9.9054539E-001
0.025	9.9015886E-001
0.026	9.8977113E-001
0.027	9.8938179E-001
0.028	9.8899138E-001
0.029	9.8859996E-001
0.03	9.8820776E-001
0.031	9.8781443E-001
0.032	9.8741955E-001
0.033	9.8702258E-001
0.034	9.8662281E-001
0.035	9.8622018E-001
0.036	9.8581481E-001
0.037	9.8540729E-001
0.038	9.8499840E-001
0.039	9.8458910E-001
0.04	9.8418063E-001
0.041	9.8377419E-001
0.042	9.8337018E-001
0.043	9.8296839E-001
0.044	9.8256916E-001
0.045	9.8217136E-001
0.046	9.8177457E-001
0.047	9.8137730E-001
0.048	9.8097879E-001
0.049	9.8057795E-001
0.05	9.8017430E-001
0.051	9.7976726E-001
0.052	9.7935683E-001
0.053	9.7894341E-001
0.054	9.7852761E-001
0.055	9.7811002E-001
0.056	9.7769177E-001
0.057	9.7727364E-001
0.058	9.7685593E-001
0.059	9.7643942E-001
0.06	9.7602361E-001
0.061	9.7560751E-001
0.062	9.7519100E-001
0.063	9.7477245E-001
0.064	9.7435117E-001
0.065	9.7392607E-001
0.066	9.7349709E-001
0.067	9.7306466E-001
0.068	9.7262877E-001
0.069	9.7219032E-001
0.07	9.7175026E-001
0.071	9.7130895E-001
0.072	9.7086716E-001
0.073	9.7042525E-001
0.074	9.6998328E-001
0.075	9.6954113E-001
0.076	9.6909857E-001
0.077	9.6865565E-001
0.078	9.6821189E-001
0.079	9.6776682E-001
0.08	9.6731961E-001
0.081	9.6686995E-001
0.082	9.6641672E-001
0.083	9.6595961E-001
0.084	9.6549773E-001
0.085	9.6503025E-001
0.086	9.6455753E-001
0.087	9.6407920E-001
0.088	9.6359563E-001
0.089	9.6310747E-001
0.09	9.6261573E-001
0.091	9.6212125E-001
0.092	9.6162510E-001
0.093	9.6112800E-001
0.094	9.6063083E-001
0.095	9.6013409E-001
0.096	9.5963830E-001
0.097	9.5914328E-001
0.098	9.5864946E-001
0.099	9.5815653E-001
0.1	9.5766425E-001
0.101	9.5717192E-001
0.102	9.5667911E-001
0.103	9.5618445E-001
0.104	9.5568746E-001
0.105	9.5518678E-001
0.106	9.5468146E-001
0.107	9.5417082E-001
0.108	9.5365417E-001
0.109	9.5313030E-001
0.11	9.5260006E-001
0.111	9.5206314E-001
0.112	9.5151955E-001
0.113	9.5096987E-001
0.114	9.5041472E-001
0.115	9.4985443E-001
0.116	9.4928890E-001
0.117	9.4871747E-001
0.118	9.4814008E-001
0.119	9.4755554E-001
0.12	9.4696164E-001
0.121	9.4635540E-001
0.122	9.4573259E-001
0.123	9.4508642E-001
0.124	9.4440830E-001
0.125	9.4368643E-001
0.126	9.4290668E-001
0.127	9.4205254E-001
0.128	9.4110769E-001
0.129	9.4005865E-001
0.13	9.3889672E-001
0.131	9.3762350E-001
0.132	9.3625259E-001
0.133	9.3481195E-001
0.134	9.3334264E-001
0.135	9.3189543E-001
0.136	9.3052673E-001
0.137	9.2928946E-001
0.138	9.2822725E-001
0.139	9.2736757E-001
0.14	9.2671931E-001
0.141	9.2627114E-001
0.142	9.2599553E-001
0.143	9.2585278E-001
0.144	9.2579722E-001
0.145	9.2578238E-001
0.146	9.2576534E-001
0.147	9.2571026E-001
0.148	9.2558783E-001
0.149	9.2537791E-001
0.15	9.2506611E-001
0.151	9.2464548E-001
0.152	9.2411411E-001
0.153	9.2347479E-001
0.154	9.2273462E-001
0.155	9.2190427E-001
0.156	9.2099565E-001
0.157	9.2002338E-001
0.158	9.1900092E-001
0.159	9.1794163E-001
0.16	9.1685647E-001
0.161	9.1575462E-001
0.162	9.1464245E-001
0.163	9.1352481E-001
0.164	9.1240406E-001
0.165	9.1128087E-001
0.166	9.1015524E-001
0.167	9.0902603E-001
0.168	9.0789121E-001
0.169	9.0674889E-001
0.17	9.0559673E-001
0.171	9.0443200E-001
0.172	9.0325218E-001
0.173	9.0205580E-001
0.174	9.0084147E-001
0.175	8.9960855E-001
0.176	8.9835715E-001
0.177	8.9708781E-001
0.178	8.9580226E-001
0.179	8.9450091E-001
0.18	8.9318377E-001
0.181	8.9184976E-001
0.182	8.9049637E-001
0.183	8.8911885E-001
0.184	8.8771129E-001
0.185	8.8626611E-001
0.186	8.8477451E-001
0.187	8.8322723E-001
0.188	8.8161343E-001
0.189	8.7992215E-001
0.19	8.7814194E-001
0.191	8.7626189E-001
0.192	8.7427282E-001
0.193	8.7217051E-001
0.194	8.6995828E-001
0.195	8.6765152E-001
0.196	8.6528337E-001
0.197	8.6290699E-001
0.198	8.6059636E-001
0.199	8.5844445E-001
0.2	8.5655427E-001
0.201	8.5502774E-001
0.202	8.5394979E-001
0.203	8.5337305E-001
0.204	8.5330492E-001
0.205	8.5370350E-001
0.206	8.5447693E-001
0.207	8.5549623E-001
0.208	8.5661089E-001
0.209	8.5766995E-001
0.21	8.5853887E-001
0.211	8.5911632E-001
0.212	8.5933864E-001
0.213	8.5918331E-001
0.214	8.5865974E-001
0.215	8.5780251E-001
0.216	8.5666031E-001
0.217	8.5528636E-001
0.218	8.5373092E-001
0.219	8.5203791E-001
0.22	8.5024095E-001
0.221	8.4836578E-001
0.222	8.4642905E-001
0.223	8.4444183E-001
0.224	8.4240943E-001
0.225	8.4033501E-001
0.226	8.3821869E-001
0.227	8.3606029E-001
0.228	8.3385849E-001
0.229	8.3161169E-001
0.23	8.2931817E-001
0.231	8.2697654E-001
0.232	8.2458466E-001
0.233	8.2214051E-001
0.234	8.1964236E-001
0.235	8.1708765E-001
0.236	8.1447381E-001
0.237	8.1179774E-001
0.238	8.0905598E-001
0.239	8.0624521E-001
0.24	8.0336094E-001
0.241	8.0040014E-001
0.242	7.9735810E-001
0.243	7.9423106E-001
0.244	7.9101545E-001
0.245	7.8770739E-001
0.246	7.8430325E-001
0.247	7.8079975E-001
0.248	7.7719259E-001
0.249	7.7347839E-001
0.25	7.6965243E-001
0.251	7.6570958E-001
0.252	7.6164401E-001
0.253	7.5744855E-001
0.254	7.5311524E-001
0.255	7.4863493E-001
0.256	7.4399829E-001
0.257	7.3919517E-001
0.258	7.3421490E-001
0.259	7.2904742E-001
0.26	7.2368246E-001
0.261	7.1811050E-001
0.262	7.1232265E-001
0.263	7.0630956E-001
0.264	7.0006287E-001
0.265	6.9357449E-001
0.266	6.8683451E-001
0.267	6.7983305E-001
0.268	6.7255908E-001
0.269	6.6499978E-001
0.27	6.5714163E-001
0.271	6.4896965E-001
0.272	6.4047009E-001
0.273	6.3162893E-001
0.274	6.2243491E-001
0.275	6.1287981E-001
0.276	6.0295975E-001
0.277	5.9267569E-001
0.278	5.8203518E-001
0.279	5.7105017E-001
0.28	5.5973905E-001
0.281	5.4812503E-001
0.282	5.3623450E-001
0.283	5.2409679E-001
0.284	5.1174319E-001
0.285	4.9920726E-001
0.286	4.8652312E-001
0.287	4.7372746E-001
0.288	4.6085870E-001
0.289	4.4795743E-001
0.29	4.3506649E-001
0.291	4.2222971E-001
0.292	4.0949181E-001
0.293	3.9689630E-001
0.294	3.8448548E-001
0.295	3.7229869E-001
0.296	3.6037198E-001
0.297	3.4873721E-001
0.298	3.3742183E-001
0.299	3.2644874E-001
0.3	3.1583500E-001
0.301	3.0559283E-001
0.302	2.9572898E-001
0.303	2.8624517E-001
0.304	2.7713856E-001
0.305	2.6840299E-001
0.306	2.6002958E-001
0.307	2.5200742E-001
0.308	2.4432421E-001
0.309	2.3696654E-001
0.31	2.2991963E-001
0.311	2.2316752E-001
0.312	2.1669276E-001
0.313	2.1047695E-001
0.314	2.0450050E-001
0.315	1.9874415E-001
0.316	1.9318908E-001
0.317	1.8781845E-001
0.318	1.8261841E-001
0.319	1.7757846E-001
0.32	1.7269237E-001
0.321	1.6795784E-001
0.322	1.6337645E-001
0.323	1.5895262E-001
0.324	1.5469289E-001
0.325	1.5060414E-001
0.326	1.4669259E-001
0.327	1.4296211E-001
0.328	1.3941348E-001
0.329	1.3604330E-001
0.33	1.3284354E-001
0.331	1.2980174E-001
0.332	1.2690166E-001
0.333	1.2412374E-001
0.334	1.2144670E-001
0.335	1.1884876E-001
0.336	1.1630934E-001
0.337	1.1381026E-001
0.338	1.1133691E-001
0.339	1.0887928E-001
0.34	1.0643243E-001
0.341	1.0399658E-001
0.342	1.0157686E-001
0.343	9.9182613E-002
0.344	9.6826546E-002
0.345	9.4523489E-002
0.346	9.2289135E-002
0.347	9.0138629E-002
0.348	8.8085271E-002
0.349	8.6139426E-002
0.35	8.4307462E-002
0.351	8.2591213E-002
0.352	8.0987714E-002
0.353	7.9489060E-002
0.354	7.8083083E-002
0.355	7.6753885E-002
0.356	7.5482927E-002
0.357	7.4250199E-002
0.358	7.3035248E-002
0.359	7.1818724E-002
0.36	7.0583336E-002
0.361	6.9314994E-002
0.362	6.8003595E-002
0.363	6.6643693E-002
0.364	6.5234795E-002
0.365	6.3781336E-002
0.366	6.2292460E-002
0.367	6.0781296E-002
0.368	5.9264150E-002
0.369	5.7759210E-002
0.37	5.6285515E-002
0.371	5.4861546E-002
0.372	5.3504054E-002
0.373	5.2227218E-002
0.374	5.1041719E-002
0.375	4.9954381E-002
0.376	4.8967741E-002
0.377	4.8080117E-002
0.378	4.7285676E-002
0.379	4.6574730E-002
0.38	4.5934282E-002
0.381	4.5348596E-002
0.382	4.4800028E-002
