theta_deg	R
0.001	9.9985236E-001
0.002	9.9978679E-001
0.003	9.9969220E-001
0.004	9.9955994E-001
0.005	9.9938011E-001
0.006	9.9914390E-001
0.007	9.9884361E-001
0.008	9.9847519E-001
0.009	9.9803865E-001
0.01	9.9753922E-001
0.011	9.9698794E-001
0.012	9.9639988E-001
0.013	9.9579257E-001
0.014	9.9518448E-001
0.015	9.9459183E-001
0.016	9.9402714E-001
0.017	9.9349791E-001
0.018	9.9300575E-001
0.019	9.9254793E-001
0.02	9.9211836E-001
0.021	9.9170953E-001
0.022	9.9131393E-001
0.023	9.9092495E-001
0.024	9.9053830E-001
0.025	9.9015111E-001
0.026	9.8976290E-001
0.027	9.8937279E-001
0.028	9.8898178E-001
0.029	9.8858970E-001
0.03	9.8819691E-001
0.031	9.8780298E-001
0.032	9.8740727E-001
0.033	9.8700953E-001
0.034	9.8660904E-001
0.035	9.8620558E-001
0.036	9.8579937E-001
0.037	9.8539096E-001
0.038	9.8498112E-001
0.039	9.8457098E-001
0.04	9.8416167E-001
0.041	9.8375404E-001
0.042	9.8334897E-001
0.043	9.8294634E-001
0.044	9.8254603E-001
0.045	9.8214734E-001
0.046	9.8174930E-001
0.047	9.8135108E-001
0.048	9.8095137E-001
0.049	9.8054940E-001
0.05	9.8014474E-001
0.051	9.7973627E-001
0.052	9.7932482E-001
0.053	9.7891003E-001
0.054	9.7849286E-001
0.055	9.7807395E-001
0.056	9.7765434E-001
0.057	9.7723478E-001
0.058	9.7681588E-001
0.059	9.7639775E-001
0.06	9.7598028E-001
0.061	9.7556299E-001
0.062	9.7514474E-001
0.063	9.7472489E-001
0.064	9.7430170E-001
0.065	9.7387528E-001
0.066	9.7344470E-001
0.067	9.7301036E-001
0.068	9.7257280E-001
0.069	9.7213280E-001
0.07	9.7169071E-001
0.071	9.7124761E-001
0.072	9.7080410E-001
0.073	9.7036022E-001
0.074	9.6991634E-001
0.075	9.6947229E-001
0.076	9.6902794E-001
0.077	9.6858305E-001
0.078	9.6813726E-001
0.079	9.6768993E-001
0.08	9.6724081E-001
0.081	9.6678895E-001
0.082	9.6633357E-001
0.083	9.6587425E-001
0.084	9.6540982E-001
0.085	9.6494043E-001
0.086	9.6446514E-001
0.087	9.6398431E-001
0.088	9.6349823E-001
0.089	9.6300781E-001
0.09	9.6251345E-001
0.091	9.6201634E-001
0.092	9.6151763E-001
0.093	9.6101785E-001
0.094	9.6051800E-001
0.095	9.6001869E-001
0.096	9.5951992E-001
0.097	9.5902228E-001
0.098	9.5852560E-001
0.099	9.5803005E-001
0.1	9.5753479E-001
0.101	9.5703959E-001
0.102	9.5654374E-001
0.103	9.5604616E-001
0.104	9.5554626E-001
0.105	9.5504248E-001
0.106	9.5453423E-001
0.107	9.5402056E-001
0.108	9.5350069E-001
0.109	9.5297408E-001
0.11	9.5244050E-001
0.111	9.5190030E-001
0.112	9.5135373E-001
0.113	9.5080113E-001
0.114	9.5024300E-001
0.115	9.4967961E-001
0.116	9.4911128E-001
0.117	9.4853777E-001
0.118	9.4795895E-001
0.119	9.4737440E-001
0.12	9.4678253E-001
0.121	9.4618255E-001
0.122	9.4557238E-001
0.123	9.4494963E-001
0.124	9.4431031E-001
0.125	9.4365025E-001
0.126	9.4296396E-001
0.127	9.4224524E-001
0.128	9.4148850E-001
0.129	9.4068873E-001
0.13	9.3984365E-001
0.131	9.3895572E-001
0.132	9.3803138E-001
0.133	9.3708342E-001
0.134	9.3612927E-001
0.135	9.3519092E-001
0.136	9.3429077E-001
0.137	9.3345034E-001
0.138	9.3268538E-001
0.139	9.3200558E-001
0.14	9.3141198E-001
0.141	9.3089747E-001
0.142	9.3044841E-001
0.143	9.3004608E-001
0.144	9.2967004E-001
0.145	9.2930043E-001
0.146	9.2891842E-001
0.147	9.2850876E-001
0.148	9.2805982E-001
0.149	9.2756337E-001
0.15	9.2701441E-001
0.151	9.2640990E-001
0.152	9.2575043E-001
0.153	9.2503756E-001
0.154	9.2427492E-001
0.155	9.2346746E-001
0.156	9.2262083E-001
0.157	9.2174160E-001
0.158	9.2083567E-001
0.159	9.1990900E-001
0.16	9.1896617E-001
0.161	9.1801161E-001
0.162	9.1704792E-001
0.163	9.1607684E-001
0.164	9.1509980E-001
0.165	9.1411674E-001
0.166	9.1312754E-001
0.167	9.1213143E-001
0.168	9.1112733E-001
0.169	9.1011405E-001
0.17	9.0908980E-001
0.171	9.0805292E-001
0.172	9.0700155E-001
0.173	9.0593517E-001
0.174	9.0485239E-001
0.175	9.0375346E-001
0.176	9.0263927E-001
0.177	9.0151042E-001
0.178	9.0036929E-001
0.179	8.9921677E-001
0.18	8.9805359E-001
0.181	8.9687973E-001
0.182	8.9569390E-001
0.183	8.9449346E-001
0.184	8.9327437E-001
0.185	8.9203250E-001
0.186	8.9076298E-001
0.187	8.8946205E-001
0.188	8.8812613E-001
0.189	8.8675421E-001
0.19	8.8534737E-001
0.191	8.8391161E-001
0.192	8.8245714E-001
0.193	8.8100219E-001
0.194	8.7957215E-001
0.195	8.7820160E-001
0.196	8.7693280E-001
0.197	8.7581384E-001
0.198	8.7489331E-001
0.199	8.7421381E-001
0.2	8.7380320E-001
0.201	8.7366802E-001
0.202	8.7378627E-001
0.203	8.7410724E-001
0.204	8.7455297E-001
0.205	8.7502754E-001
0.206	8.7542641E-001
0.207	8.7565225E-001
0.208	8.7562424E-001
0.209	8.7528872E-001
0.21	8.7462115E-001
0.211	8.7362623E-001
0.212	8.7233162E-001
0.213	8.7078053E-001
0.214	8.6902279E-001
0.215	8.6710888E-001
0.216	8.6508358E-001
0.217	8.6298305E-001
0.218	8.6083382E-001
0.219	8.5865438E-001
0.22	8.5645515E-001
0.221	8.5424185E-001
0.222	8.5201514E-001
0.223	8.4977341E-001
0.224	8.4751427E-001
0.225	8.4523374E-001
0.226	8.4292823E-001
0.227	8.4059376E-001
0.228	8.3822697E-001
0.229	8.3582467E-001
0.23	8.3338368E-001
0.231	8.3090115E-001
0.232	8.2837486E-001
0.233	8.2580215E-001
0.234	8.2318014E-001
0.235	8.2050580E-001
0.236	8.1777656E-001
0.237	8.1498861E-001
0.238	8.1213832E-001
0.239	8.0922210E-001
0.24	8.0623513E-001
0.241	8.0317390E-001
0.242	8.0003422E-001
0.243	7.9681170E-001
0.244	7.9350239E-001
0.245	7.9010308E-001
0.246	7.8660929E-001
0.247	7.8301835E-001
0.248	7.7932560E-001
0.249	7.7552748E-001
0.25	7.7161944E-001
0.251	7.6759624E-001
0.252	7.6345235E-001
0.253	7.5917995E-001
0.254	7.5477129E-001
0.255	7.5021738E-001
0.256	7.4550855E-001
0.257	7.4063450E-001
0.258	7.3558486E-001
0.259	7.3034894E-001
0.26	7.2491646E-001
0.261	7.1927822E-001
0.262	7.1342415E-001
0.263	7.0734549E-001
0.264	7.0103341E-001
0.265	6.9447905E-001
0.266	6.8767256E-001
0.267	6.8060321E-001
0.268	6.7325896E-001
0.269	6.6562641E-001
0.27	6.5769100E-001
0.271	6.4943683E-001
0.272	6.4084798E-001
0.273	6.3191032E-001
0.274	6.2261009E-001
0.275	6.1293805E-001
0.276	6.0288888E-001
0.277	5.9246218E-001
0.278	5.8166403E-001
0.279	5.7050580E-001
0.28	5.5900532E-001
0.281	5.4718459E-001
0.282	5.3507107E-001
0.283	5.2269387E-001
0.284	5.1008570E-001
0.285	4.9728087E-001
0.286	4.8431578E-001
0.287	4.7122911E-001
0.288	4.5806220E-001
0.289	4.4485846E-001
0.29	4.3166429E-001
0.291	4.1852689E-001
0.292	4.0549397E-001
0.293	3.9261279E-001
0.294	3.7992817E-001
0.295	3.6748216E-001
0.296	3.5531214E-001
0.297	3.4345153E-001
0.298	3.3192825E-001
0.299	3.2076514E-001
0.3	3.0997887E-001
0.301	2.9958093E-001
0.302	2.8957686E-001
0.303	2.7996767E-001
0.304	2.7075034E-001
0.305	2.6191881E-001
0.306	2.5346482E-001
0.307	2.4537894E-001
0.308	2.3765102E-001
0.309	2.3026969E-001
0.31	2.2322257E-001
0.311	2.1649541E-001
0.312	2.1007153E-001
0.313	2.0393218E-001
0.314	1.9805588E-001
0.315	1.9242033E-001
0.316	1.8700252E-001
0.317	1.8178087E-001
0.318	1.7673631E-001
0.319	1.7185371E-001
0.32	1.6712287E-001
0.321	1.6253889E-001
0.322	1.5810175E-001
0.323	1.5381590E-001
0.324	1.4968862E-001
0.325	1.4572848E-001
0.326	1.4194392E-001
0.327	1.3834095E-001
0.328	1.3492206E-001
0.329	1.3168497E-001
0.33	1.2862226E-001
0.331	1.2572078E-001
0.332	1.2296285E-001
0.333	1.2032682E-001
0.334	1.1778879E-001
0.335	1.1532418E-001
0.336	1.1290959E-001
0.337	1.1052448E-001
0.338	1.0815264E-001
0.339	1.0578337E-001
0.34	1.0341201E-001
0.341	1.0104019E-001
0.342	9.8675519E-002
0.343	9.6330605E-002
0.344	9.4022073E-002
0.345	9.1768876E-002
0.346	8.9590862E-002
0.347	8.7506764E-002
0.348	8.5532792E-002
0.349	8.3681174E-002
0.35	8.1958972E-002
0.351	8.0367401E-002
0.352	7.8901485E-002
0.353	7.7550374E-002
0.354	7.6297812E-002
0.355	7.5123429E-002
0.356	7.4003771E-002
0.357	7.2914161E-002
0.358	7.1830027E-002
0.359	7.0728712E-002
0.36	6.9590725E-002
0.361	6.8401165E-002
0.362	6.7150444E-002
0.363	6.5835036E-002
0.364	6.4457603E-002
0.365	6.3026808E-002
0.366	6.1556760E-002
0.367	6.0065970E-002
0.368	5.8576085E-002
0.369	5.7110373E-002
0.37	5.5692095E-002
0.371	5.4342918E-002
0.372	5.3081486E-002
0.373	5.1922303E-002
0.374	5.0874837E-002
0.375	4.9943160E-002
0.376	4.9125671E-002
0.377	4.8415445E-002
0.378	4.7800593E-002
0.379	4.7265049E-002
0.38	4.6789441E-002
0.381	4.6352156E-002
0.382	4.5930583E-002
0.383	4.5502320E-002
0.384	4.5046389E-002
0.385	4.4544466E-002
0.386	4.3981787E-002
0.387	4.3348026E-002
0.388	4.2637754E-002
0.389	4.1850753E-002
0.39	4.0991817E-002
0.391	4.0070549E-002
0.392	3.9100684E-002
0.393	3.8099281E-002
0.394	3.7085790E-002
0.395	3.6080915E-002
0.396	3.5105605E-002
0.397	3.4179837E-002
0.398	3.3321727E-002
0.399	3.2546505E-002
0.4	3.1865865E-002
0.401	3.1287365E-002
0.402	3.0814083E-002
0.403	3.0444438E-002
0.404	3.0172342E-002
0.405	2.9987466E-002
0.406	2.9875731E-002
0.407	2.9820023E-002
0.408	2.9800991E-002
0.409	2.9798048E-002
0.41	2.9790338E-002
0.411	2.9757788E-002
0.412	2.9682053E-002
0.413	2.9547410E-002
0.414	2.9341493E-002
0.415	2.9055800E-002
0.416	2.8686102E-002
0.417	2.8232522E-002
0.418	2.7699476E-002
0.419	2.7095387E-002
0.42	2.6432253E-002
0.421	2.5724992E-002
0.422	2.4990773E-002
0.423	2.4248112E-002
0.424	2.3516089E-002
0.425	2.2813389E-002
0.426	2.2157494E-002
0.427	2.1563873E-002
0.428	2.1045327E-002
0.429	2.0611428E-002
0.43	2.0268150E-002
0.431	2.0017629E-002
0.432	1.9858126E-002
0.433	1.9784171E-002
0.434	1.9786792E-002
0.435	1.9853987E-002
0.436	1.9971259E-002
0.437	2.0122265E-002
0.438	2.0289518E-002
0.439	2.0455176E-002
0.44	2.0601777E-002
0.441	2.0713020E-002
0.442	2.0774364E-002
0.443	2.0773700E-002
0.444	2.0701757E-002
0.445	2.0552525E-002
0.446	2.0323433E-002
0.447	2.0015389E-002
0.448	1.9632773E-002
0.449	1.9183179E-002
0.45	1.8677073E-002
0.451	1.8127346E-002
0.452	1.7548762E-002
0.453	1.6957302E-002
0.454	1.6369497E-002
0.455	1.5801746E-002
0.456	1.5269607E-002
0.457	1.4787181E-002
0.458	1.4366531E-002
0.459	1.4017230E-002
0.46	1.3745992E-002
0.461	1.3556421E-002
0.462	1.3448945E-002
0.463	1.3420812E-002
0.464	1.3466253E-002
