theta_deg	R
0.001	9.9985260E-001
0.002	9.9978685E-001
0.003	9.9969220E-001
0.004	9.9956006E-001
0.005	9.9938017E-001
0.006	9.9914408E-001
0.007	9.9884397E-001
0.008	9.9847555E-001
0.009	9.9803895E-001
0.01	9.9753970E-001
0.011	9.9698853E-001
0.012	9.9640065E-001
0.013	9.9579352E-001
0.014	9.9518555E-001
0.015	9.9459314E-001
0.016	9.9402881E-001
0.017	9.9349964E-001
0.018	9.9300754E-001
0.019	9.9255008E-001
0.02	9.9212050E-001
0.021	9.9171203E-001
0.022	9.9131650E-001
0.023	9.9092770E-001
0.024	9.9054122E-001
0.025	9.9015456E-001
0.026	9.8976630E-001
0.027	9.8937678E-001
0.028	9.8898578E-001
0.029	9.8859406E-001
0.03	9.8820168E-001
0.031	9.8780799E-001
0.032	9.8741269E-001
0.033	9.8701507E-001
0.034	9.8661488E-001
0.035	9.8621202E-001
0.036	9.8580611E-001
0.037	9.8539805E-001
0.038	9.8498851E-001
0.039	9.8457897E-001
0.04	9.8416978E-001
0.041	9.8376256E-001
0.042	9.8335785E-001
0.043	9.8295575E-001
0.044	9.8255587E-001
0.045	9.8215765E-001
0.046	9.8176020E-001
0.047	9.8136204E-001
0.048	9.8096305E-001
0.049	9.8056149E-001
0.05	9.8015726E-001
0.051	9.7974962E-001
0.052	9.7933847E-001
0.053	9.7892421E-001
0.054	9.7850758E-001
0.055	9.7808933E-001
0.056	9.7767013E-001
0.057	9.7725129E-001
0.058	9.7683275E-001
0.059	9.7641534E-001
0.06	9.7599840E-001
0.061	9.7558159E-001
0.062	9.7516412E-001
0.063	9.7474456E-001
0.064	9.7432226E-001
0.065	9.7389644E-001
0.066	9.7346652E-001
0.067	9.7303289E-001
0.068	9.7259587E-001
0.069	9.7215647E-001
0.07	9.7171521E-001
0.071	9.7127295E-001
0.072	9.7082996E-001
0.073	9.7038680E-001
0.074	9.6994364E-001
0.075	9.6950036E-001
0.076	9.6905667E-001
0.077	9.6861261E-001
0.078	9.6816736E-001
0.079	9.6772099E-001
0.08	9.6727264E-001
0.081	9.6682155E-001
0.082	9.6636707E-001
0.083	9.6590859E-001
0.084	9.6544498E-001
0.085	9.6497631E-001
0.086	9.6450192E-001
