theta_deg	R
0.001	9.9984163E-001
0.002	9.9977982E-001
0.003	9.9969214E-001
0.004	9.9957103E-001
0.005	9.9940789E-001
0.006	9.9919516E-001
0.007	9.9892592E-001
0.008	9.9859703E-001
0.009	9.9820822E-001
0.01	9.9776435E-001
0.011	9.9727517E-001
0.012	9.9675387E-001
0.013	9.9621582E-001
0.014	9.9567693E-001
0.015	9.9515164E-001
0.016	9.9465084E-001
0.017	9.9418086E-001
0.018	9.9374318E-001
0.019	9.9333572E-001
0.02	9.9295282E-001
0.021	9.9258798E-001
0.022	9.9223447E-001
0.023	9.9188691E-001
0.024	9.9154133E-001
0.025	9.9119538E-001
0.026	9.9084795E-001
0.027	9.9049926E-001
0.028	9.9014944E-001
0.029	9.8979884E-001
0.03	9.8944736E-001
0.031	9.8909479E-001
0.032	9.8874110E-001
0.033	9.8838496E-001
0.034	9.8802674E-001
0.035	9.8766577E-001
0.036	9.8730230E-001
0.037	9.8693693E-001
0.038	9.8657012E-001
0.039	9.8620307E-001
0.04	9.8583668E-001
0.041	9.8547179E-001
0.042	9.8510885E-001
0.043	9.8474813E-001
0.044	9.8438925E-001
0.045	9.8403162E-001
0.046	9.8367471E-001
0.047	9.8331738E-001
0.048	9.8295856E-001
0.049	9.8259789E-001
0.05	9.8223412E-001
0.051	9.8186743E-001
0.052	9.8149765E-001
0.053	9.8112506E-001
0.054	9.8075008E-001
0.055	9.8037344E-001
0.056	9.7999614E-001
0.057	9.7961861E-001
0.058	9.7924155E-001
0.059	9.7886515E-001
0.06	9.7848940E-001
0.061	9.7811371E-001
0.062	9.7773701E-001
0.063	9.7735840E-001
0.064	9.7697705E-001
0.065	9.7659242E-001
0.066	9.7620440E-001
0.067	9.7581261E-001
0.068	9.7541779E-001
0.069	9.7502065E-001
0.07	9.7462183E-001
0.071	9.7422165E-001
0.072	9.7382104E-001
0.073	9.7342002E-001
0.074	9.7301877E-001
0.075	9.7261697E-001
0.076	9.7221464E-001
0.077	9.7181201E-001
0.078	9.7140801E-001
0.079	9.7100270E-001
0.08	9.7059536E-001
0.081	9.7018522E-001
0.082	9.6977216E-001
0.083	9.6935505E-001
0.084	9.6893346E-001
0.085	9.6850693E-001
0.086	9.6807510E-001
0.087	9.6763796E-001
0.088	9.6719623E-001
0.089	9.6675009E-001
0.09	9.6630037E-001
0.091	9.6584779E-001
0.092	9.6539354E-001
0.093	9.6493834E-001
0.094	9.6448272E-001
0.095	9.6402735E-001
0.096	9.6357238E-001
0.097	9.6311796E-001
0.098	9.6266448E-001
0.099	9.6221173E-001
0.1	9.6175885E-001
0.101	9.6130604E-001
0.102	9.6085191E-001
0.103	9.6039641E-001
0.104	9.5993841E-001
0.105	9.5947683E-001
0.106	9.5901078E-001
0.107	9.5853978E-001
0.108	9.5806283E-001
0.109	9.5757973E-001
0.11	9.5709038E-001
0.111	9.5659477E-001
0.112	9.5609295E-001
0.113	9.5558572E-001
0.114	9.5507342E-001
0.115	9.5455617E-001
0.116	9.5403457E-001
0.117	9.5350838E-001
0.118	9.5297778E-001
0.119	9.5244259E-001
0.12	9.5190257E-001
0.121	9.5135808E-001
0.122	9.5080864E-001
0.123	9.5025432E-001
0.124	9.4969553E-001
0.125	9.4913256E-001
0.126	9.4856560E-001
0.127	9.4799519E-001
0.128	9.4742155E-001
0.129	9.4684470E-001
0.13	9.4626456E-001
0.131	9.4568139E-001
0.132	9.4509465E-001
0.133	9.4450408E-001
0.134	9.4390923E-001
0.135	9.4330978E-001
0.136	9.4270533E-001
0.137	9.4209564E-001
0.138	9.4148010E-001
0.139	9.4085813E-001
0.14	9.4022894E-001
0.141	9.3959087E-001
0.142	9.3894166E-001
0.143	9.3827665E-001
0.144	9.3759090E-001
0.145	9.3687570E-001
0.146	9.3612099E-001
0.147	9.3531382E-001
0.148	9.3444008E-001
0.149	9.3348539E-001
0.15	9.3243855E-001
0.151	9.3129236E-001
0.152	9.3004841E-001
0.153	9.2871863E-001
0.154	9.2732662E-001
0.155	9.2590648E-001
0.156	9.2450070E-001
0.157	9.2315334E-001
0.158	9.2190635E-001
0.159	9.2079091E-001
0.16	9.1982430E-001
0.161	9.1900748E-001
0.162	9.1832542E-001
0.163	9.1775048E-001
0.164	9.1724783E-001
0.165	9.1678035E-001
0.166	9.1631413E-001
0.167	9.1582137E-001
0.168	9.1528291E-001
0.169	9.1468686E-001
0.17	9.1402894E-001
0.171	9.1330969E-001
0.172	9.1253281E-001
0.173	9.1170329E-001
0.174	9.1082817E-001
0.175	9.0991259E-001
0.176	9.0896314E-001
0.177	9.0798438E-001
0.178	9.0698117E-001
0.179	9.0595645E-001
0.18	9.0491325E-001
0.181	9.0385240E-001
0.182	9.0277326E-001
0.183	9.0167409E-001
0.184	9.0055156E-001
0.185	8.9940083E-001
0.186	8.9821661E-001
0.187	8.9699209E-001
0.188	8.9571893E-001
0.189	8.9438736E-001
0.19	8.9298433E-001
0.191	8.9149332E-001
0.192	8.8989359E-001
0.193	8.8816029E-001
0.194	8.8626617E-001
0.195	8.8418400E-001
0.196	8.8189232E-001
0.197	8.7938064E-001
0.198	8.7665665E-001
0.199	8.7375242E-001
0.2	8.7072605E-001
0.201	8.6766171E-001
0.202	8.6466205E-001
0.203	8.6183703E-001
0.204	8.5928893E-001
0.205	8.5709840E-001
0.206	8.5531062E-001
0.207	8.5393041E-001
0.208	8.5292119E-001
0.209	8.5221189E-001
0.21	8.5171098E-001
0.211	8.5131866E-001
0.212	8.5094148E-001
0.213	8.5050058E-001
0.214	8.4993994E-001
0.215	8.4922469E-001
0.216	8.4834123E-001
0.217	8.4729022E-001
0.218	8.4608275E-001
0.219	8.4473509E-001
0.22	8.4326446E-001
0.221	8.4168673E-001
0.222	8.4001589E-001
0.223	8.3826178E-001
0.224	8.3643305E-001
0.225	8.3453423E-001
0.226	8.3256948E-001
0.227	8.3054072E-001
0.228	8.2844985E-001
0.229	8.2629675E-001
0.23	8.2408196E-001
0.231	8.2180518E-001
0.232	8.1946594E-001
0.233	8.1706351E-001
0.234	8.1459665E-001
0.235	8.1206387E-001
0.236	8.0946314E-001
0.237	8.0679190E-001
0.238	8.0404758E-001
0.239	8.0122668E-001
0.24	7.9832578E-001
0.241	7.9534173E-001
0.242	7.9227042E-001
0.243	7.8910851E-001
0.244	7.8585196E-001
0.245	7.8249788E-001
0.246	7.7904278E-001
0.247	7.7548289E-001
0.248	7.7181453E-001
0.249	7.6803458E-001
0.25	7.6413792E-001
0.251	7.6011992E-001
0.252	7.5597459E-001
0.253	7.5169504E-001
0.254	7.4727327E-001
0.255	7.4270034E-001
0.256	7.3796642E-001
0.257	7.3306185E-001
0.258	7.2797555E-001
0.259	7.2269732E-001
0.26	7.1721739E-001
0.261	7.1152544E-001
0.262	7.0561248E-001
0.263	6.9946951E-001
0.264	6.9308776E-001
0.265	6.8645847E-001
0.266	6.7957175E-001
0.267	6.7241728E-001
0.268	6.6498363E-001
0.269	6.5725726E-001
0.27	6.4922369E-001
0.271	6.4086777E-001
0.272	6.3217431E-001
0.273	6.2312895E-001
0.274	6.1371917E-001
0.275	6.0393637E-001
0.276	5.9377563E-001
0.277	5.8323747E-001
0.278	5.7232863E-001
0.279	5.6106186E-001
0.28	5.4945546E-001
0.281	5.3753328E-001
0.282	5.2532232E-001
0.283	5.1285380E-001
0.284	5.0016052E-001
0.285	4.8727766E-001
0.286	4.7424236E-001
0.287	4.6109396E-001
0.288	4.4787362E-001
0.289	4.3462574E-001
0.29	4.2139614E-001
0.291	4.0823242E-001
0.292	3.9518222E-001
0.293	3.8229272E-001
0.294	3.6960840E-001
0.295	3.5717100E-001
0.296	3.4501809E-001
0.297	3.3318287E-001
0.298	3.2169309E-001
0.299	3.1057134E-001
0.3	2.9983419E-001
0.301	2.8949299E-001
0.302	2.7955323E-001
0.303	2.7001509E-001
0.304	2.6087466E-001
0.305	2.5212443E-001
0.306	2.4375430E-001
0.307	2.3575243E-001
0.308	2.2810553E-001
0.309	2.2079928E-001
0.31	2.1381783E-001
0.311	2.0714408E-001
0.312	2.0075926E-001
0.313	1.9464308E-001
0.314	1.8877447E-001
0.315	1.8313195E-001
0.316	1.7769502E-001
0.317	1.7244509E-001
0.318	1.6736691E-001
0.319	1.6244905E-001
0.32	1.5768468E-001
0.321	1.5307169E-001
0.322	1.4861205E-001
0.323	1.4431122E-001
0.324	1.4017649E-001
0.325	1.3621607E-001
0.326	1.3243678E-001
0.327	1.2884319E-001
0.328	1.2543607E-001
0.329	1.2221140E-001
0.33	1.1916027E-001
0.331	1.1626884E-001
0.332	1.1351884E-001
0.333	1.1088896E-001
0.334	1.0835601E-001
0.335	1.0589670E-001
0.336	1.0348921E-001
0.337	1.0111484E-001
0.338	9.8759189E-002
0.339	9.6413158E-002
0.34	9.4073355E-002
0.341	9.1742113E-002
0.342	8.9427099E-002
0.343	8.7140389E-002
0.344	8.4897317E-002
0.345	8.2715005E-002
0.346	8.0610953E-002
0.347	7.8601316E-002
0.348	7.6699696E-002
0.349	7.4915737E-002
0.35	7.3254377E-002
0.351	7.1715117E-002
0.352	7.0292160E-002
0.353	6.8974435E-002
0.354	6.7746460E-002
0.355	6.6589296E-002
0.356	6.5481678E-002
0.357	6.4401604E-002
0.358	6.3327588E-002
0.359	6.2240105E-002
0.36	6.1122812E-002
0.361	5.9963513E-002
0.362	5.8754850E-002
0.363	5.7494834E-002
0.364	5.6186829E-002
0.365	5.4839302E-002
0.366	5.3465243E-002
0.367	5.2081313E-002
0.368	5.0706577E-002
0.369	4.9361203E-002
0.37	4.8065070E-002
0.371	4.6836413E-002
0.372	4.5690607E-002
0.373	4.4639248E-002
0.374	4.3689493E-002
0.375	4.2843737E-002
0.376	4.2099491E-002
0.377	4.1449815E-002
0.378	4.0883545E-002
0.379	4.0386070E-002
0.38	3.9940145E-002
0.381	3.9526794E-002
0.382	3.9126351E-002
0.383	3.8719501E-002
0.384	3.8288325E-002
0.385	3.7817329E-002
0.386	3.7294161E-002
0.387	3.6710370E-002
0.388	3.6061767E-002
0.389	3.5348590E-002
0.39	3.4575481E-002
0.391	3.3751108E-002
0.392	3.2887597E-002
0.393	3.1999942E-002
0.394	3.1105019E-002
0.395	3.0220728E-002
0.396	2.9365009E-002
0.397	2.8554942E-002
0.398	2.7805826E-002
0.399	2.7130431E-002
0.4	2.6538387E-002
0.401	2.6035696E-002
0.402	2.5624480E-002
0.403	2.5302827E-002
0.404	2.5064962E-002
0.405	2.4901474E-002
0.406	2.4799777E-002
0.407	2.4744764E-002
0.408	2.4719477E-002
0.409	2.4706010E-002
0.41	2.4686305E-002
0.411	2.4643119E-002
0.412	2.4560813E-002
0.413	2.4426088E-002
0.414	2.4228640E-002
0.415	2.3961600E-002
0.416	2.3621794E-002
0.417	2.3209868E-002
0.418	2.2730155E-002
0.419	2.2190453E-002
0.42	2.1601560E-002
0.421	2.0976739E-002
0.422	2.0331098E-002
0.423	1.9680800E-002
0.424	1.9042352E-002
0.425	1.8431833E-002
0.426	1.7864140E-002
0.427	1.7352326E-002
0.428	1.6907036E-002
0.429	1.6536092E-002
0.43	1.6244100E-002
0.431	1.6032385E-002
0.432	1.5898895E-002
0.433	1.5838413E-002
0.434	1.5842726E-002
0.435	1.5901119E-002
0.436	1.6000789E-002
0.437	1.6127452E-002
0.438	1.6265966E-002
0.439	1.6400991E-002
0.44	1.6517626E-002
0.441	1.6602056E-002
0.442	1.6642112E-002
0.443	1.6627783E-002
0.444	1.6551554E-002
0.445	1.6408749E-002
0.446	1.6197659E-002
0.447	1.5919575E-002
0.448	1.5578723E-002
0.449	1.5182025E-002
0.45	1.4738815E-002
0.451	1.4260411E-002
0.452	1.3759631E-002
0.453	1.3250230E-002
0.454	1.2746346E-002
0.455	1.2261861E-002
0.456	1.1809871E-002
0.457	1.1402113E-002
0.458	1.1048534E-002
0.459	1.0756874E-002
0.46	1.0532390E-002
0.461	1.0377710E-002
0.462	1.0292720E-002
0.463	1.0274641E-002
0.464	1.0318171E-002
0.465	1.0415726E-002
0.466	1.0557756E-002
0.467	1.0733156E-002
0.468	1.0929693E-002
0.469	1.1134490E-002
0.47	1.1334524E-002
0.471	1.1517119E-002
0.472	1.1670454E-002
0.473	1.1783986E-002
0.474	1.1848875E-002
0.475	1.1858298E-002
0.476	1.1807716E-002
0.477	1.1695011E-002
0.478	1.1520571E-002
0.479	1.1287228E-002
0.48	1.1000128E-002
0.481	1.0666495E-002
0.482	1.0295340E-002
0.483	9.8970747E-003
0.484	9.4830953E-003
0.485	9.0653496E-003
0.486	8.6558396E-003
0.487	8.2662106E-003
0.488	7.9072835E-003
0.489	7.5886892E-003
0.49	7.3185177E-003
0.491	7.1030580E-003
0.492	6.9465870E-003
0.493	6.8512480E-003
0.494	6.8170046E-003
0.495	6.8416609E-003
0.496	6.9209631E-003
0.497	7.0487713E-003
0.498	7.2172843E-003
0.499	7.4173454E-003
0.5	7.6387683E-003
0.501	7.8707160E-003
0.502	8.1021115E-003
0.503	8.3220135E-003
0.504	8.5200388E-003
0.505	8.6867036E-003
0.506	8.8137565E-003
0.507	8.8944500E-003
0.508	8.9237541E-003
0.509	8.8985087E-003
0.51	8.8175219E-003
0.511	8.6815981E-003
0.512	8.4934803E-003
0.513	8.2577672E-003
0.514	7.9807322E-003
0.515	7.6700961E-003
0.516	7.3347529E-003
0.517	6.9844392E-003
0.518	6.6293888E-003
0.519	6.2799612E-003
0.52	5.9462818E-003
0.521	5.6378879E-003
0.522	5.3633992E-003
0.523	5.1302435E-003
0.524	4.9444046E-003
0.525	4.8102401E-003
0.526	4.7303429E-003
