theta_deg	R
0.001	9.9969792E-001
0.002	9.9959850E-001
0.003	9.9946177E-001
0.004	9.9927843E-001
0.005	9.9903709E-001
0.006	9.9872708E-001
0.007	9.9833983E-001
0.008	9.9787110E-001
0.009	9.9732089E-001
0.01	9.9669605E-001
0.011	9.9600953E-001
0.012	9.9527907E-001
0.013	9.9452603E-001
0.014	9.9377197E-001
0.015	9.9303639E-001
0.016	9.9233413E-001
0.017	9.9167389E-001
0.018	9.9105769E-001
0.019	9.9048245E-001
0.02	9.8994106E-001
0.021	9.8942429E-001
0.022	9.8892337E-001
0.023	9.8843056E-001
0.024	9.8794073E-001
0.025	9.8745090E-001
0.026	9.8695970E-001
0.027	9.8646706E-001
0.028	9.8597312E-001
0.029	9.8547858E-001
0.03	9.8498297E-001
0.031	9.8448670E-001
0.032	9.8398888E-001
0.033	9.8348868E-001
0.034	9.8298568E-001
0.035	9.8247963E-001
0.036	9.8197085E-001
0.037	9.8145968E-001
0.038	9.8094738E-001
0.039	9.8043483E-001
0.04	9.7992361E-001
0.041	9.7941482E-001
0.042	9.7890925E-001
0.043	9.7840685E-001
0.044	9.7790772E-001
0.045	9.7741091E-001
0.046	9.7691506E-001
0.047	9.7641957E-001
0.048	9.7592276E-001
0.049	9.7542363E-001
0.05	9.7492176E-001
0.051	9.7441614E-001
0.052	9.7390729E-001
0.053	9.7339505E-001
0.054	9.7288048E-001
0.055	9.7236425E-001
0.056	9.7184759E-001
0.057	9.7133142E-001
0.058	9.7081643E-001
0.059	9.7030306E-001
0.06	9.6979105E-001
0.061	9.6927959E-001
0.062	9.6876776E-001
0.063	9.6825409E-001
0.064	9.6773779E-001
0.065	9.6721762E-001
0.066	9.6669394E-001
0.067	9.6616626E-001
0.068	9.6563566E-001
0.069	9.6510214E-001
0.07	9.6456730E-001
0.071	9.6403170E-001
0.072	9.6349597E-001
0.073	9.6296048E-001
0.074	9.6242535E-001
0.075	9.6189070E-001
0.076	9.6135628E-001
0.077	9.6082175E-001
0.078	9.6028644E-001
0.079	9.5975065E-001
0.08	9.5921302E-001
0.081	9.5867306E-001
0.082	9.5813000E-001
0.083	9.5758301E-001
0.084	9.5703113E-001
0.085	9.5647407E-001
0.086	9.5591122E-001
0.087	9.5534319E-001
0.088	9.5476985E-001
0.089	9.5419216E-001
0.09	9.5361114E-001
0.091	9.5302773E-001
0.092	9.5244288E-001
0.093	9.5185757E-001
0.094	9.5127320E-001
0.095	9.5068979E-001
0.096	9.5010799E-001
0.097	9.4952774E-001
0.098	9.4894964E-001
0.099	9.4837326E-001
0.1	9.4779813E-001
0.101	9.4722366E-001
0.102	9.4664907E-001
0.103	9.4607347E-001
0.104	9.4549626E-001
0.105	9.4491541E-001
0.106	9.4433051E-001
0.107	9.4374055E-001
0.108	9.4314486E-001
0.109	9.4254249E-001
0.11	9.4193423E-001
0.111	9.4131911E-001
0.112	9.4069839E-001
0.113	9.4007182E-001
0.114	9.3944055E-001
0.115	9.3880469E-001
0.116	9.3816483E-001
0.117	9.3752050E-001
0.118	9.3687242E-001
0.119	9.3622011E-001
0.12	9.3556368E-001
0.121	9.3490291E-001
0.122	9.3423784E-001
0.123	9.3356860E-001
0.124	9.3289542E-001
0.125	9.3221891E-001
0.126	9.3153948E-001
0.127	9.3085754E-001
0.128	9.3017322E-001
0.129	9.2948699E-001
0.13	9.2879868E-001
0.131	9.2810851E-001
0.132	9.2741579E-001
0.133	9.2672020E-001
0.134	9.2602181E-001
0.135	9.2531955E-001
0.136	9.2461365E-001
0.137	9.2390347E-001
