# best run at Δθ 0.012: seed 20260921, χ² 1.2779, scale ratio 0.853557
theta_deg	R
0.8	3.4870688E-002
0.8025	2.9946066E-002
0.805	2.5044547E-002
0.8075	2.1836480E-002
0.81	2.2450604E-002
0.8125	2.9119372E-002
0.815	4.3722287E-002
0.8175	6.7314222E-002
0.82	9.9770561E-002
0.8225	1.3968447E-001
0.825	1.8457124E-001
0.8275	2.3131561E-001
0.83	2.7672476E-001
0.8325	3.1804550E-001
0.835	3.5331419E-001
0.8375	3.8144970E-001
0.84	4.0211934E-001
0.8425	4.1551313E-001
0.845	4.2213431E-001
0.8475	4.2262936E-001
0.85	4.1765884E-001
0.8525	4.0782410E-001
0.855	3.9364550E-001
0.8575	3.7557012E-001
0.86	3.5398960E-001
0.8625	3.2926068E-001
0.865	3.0173478E-001
0.8675	2.7180514E-001
0.87	2.3998404E-001
0.8725	2.0699042E-001
0.875	1.7378305E-001
0.8775	1.4149335E-001
0.88	1.1130000E-001
0.8825	8.4319957E-002
0.885	6.1513063E-002
0.8875	4.3553691E-002
0.89	3.0690806E-002
0.8925	2.2678835E-002
0.895	1.8820401E-002
0.8975	1.8095748E-002
0.9	1.9336598E-002
0.9025	2.1406824E-002
0.905	2.3353171E-002
0.9075	2.4499303E-002
0.91	2.4478214E-002
0.9125	2.3215361E-002
0.915	2.0878183E-002
0.9175	1.7802617E-002
0.92	1.4407052E-002
0.9225	1.1110202E-002
0.925	8.2683591E-003
0.9275	6.1354423E-003
0.93	4.8400275E-003
0.9325	4.3779653E-003
0.935	4.6247593E-003
0.9375	5.3678206E-003
0.94	6.3507413E-003
0.9425	7.3187146E-003
0.945	8.0566509E-003
0.9475	8.4155547E-003
0.95	8.3260396E-003
0.9525	7.7994652E-003
0.955	6.9174534E-003
0.9575	5.8116987E-003
0.96	4.6382677E-003
0.9625	3.5511986E-003
0.965	2.6789156E-003
0.9675	2.1064482E-003
0.97	1.8661655E-003
0.9725	1.9377816E-003
0.975	2.2562509E-003
0.9775	2.7256028E-003
0.98	3.2364251E-003
0.9825	3.6839491E-003
0.985	3.9836899E-003
0.9875	4.0824297E-003
0.99	3.9633675E-003
0.9925	3.6452650E-003
0.995	3.1765534E-003
0.9975	2.6260759E-003
1	2.0716584E-003
1.0025	1.5874548E-003
1.005	1.2319770E-003
1.0075	1.0395267E-003
1.01	1.0168330E-003
1.0125	1.1445994E-003
1.015	1.3823989E-003
1.0175	1.6757330E-003
1.02	1.9649114E-003
1.0225	2.1950002E-003
1.025	2.3247451E-003
1.0275	2.3322415E-003
1.03	2.2166928E-003
1.0325	1.9969025E-003
1.035	1.7070742E-003
1.0375	1.3903426E-003
1.04	1.0912531E-003
1.0425	8.4888458E-004
1.045	6.9155882E-004
1.0475	6.3325441E-004
1.05	6.7199132E-004
1.0525	7.9075253E-004
1.055	9.6100633E-004
1.0575	1.1480559E-003
1.06	1.3170068E-003
1.0625	1.4381829E-003
1.065	1.4911935E-003
1.0675	1.4673341E-003
1.07	1.3702906E-003
1.0725	1.2150533E-003
1.075	1.0250354E-003
1.0775	8.2792185E-004
1.08	6.5119611E-004
1.0825	5.1806017E-004
1.085	4.4407236E-004
1.0875	4.3489499E-004
1.09	4.8570012E-004
1.0925	5.8243645E-004
1.095	7.0460967E-004
1.0975	8.2890951E-004
1.1	9.3299418E-004
1.1025	9.9886931E-004
1.105	1.0154529E-003
1.1075	9.8001328E-004
1.11	8.9822529E-004
1.1125	7.8280852E-004
1.115	6.5110635E-004
1.1175	5.2221079E-004
1.12	4.1404815E-004
1.1225	3.4067320E-004
1.125	3.1014835E-004
1.1275	3.2347115E-004
1.13	3.7474342E-004
1.1325	4.5243357E-004
1.135	5.4144132E-004
1.1375	6.2561437E-004
1.14	6.9030299E-004
1.1425	7.2454422E-004
1.145	7.2259310E-004
1.1475	6.8464223E-004
1.15	6.1663828E-004
1.1525	5.2914291E-004
1.155	4.3538466E-004
1.1575	3.4895979E-004
1.16	2.8171469E-004
1.1625	2.4209377E-004
1.165	2.3400837E-004
1.1675	2.5633461E-004
1.17	3.0320816E-004
1.1725	3.6512828E-004
1.175	4.3063375E-004
1.1775	4.8820127E-004
1.18	5.2802893E-004
1.1825	5.4345949E-004
1.185	5.3188810E-004
1.1875	4.9505819E-004
1.19	4.3867141E-004
1.1925	3.7134800E-004
1.195	3.0314320E-004
1.1975	2.4391383E-004
1.2	2.0177916E-004
1.2025	1.8189565E-004
1.205	1.8574888E-004
1.2075	2.1106434E-004
1.21	2.5230570E-004
1.2125	3.0165602E-004
1.215	3.5031943E-004
1.2175	3.8992491E-004
1.22	4.1380854E-004
1.2225	4.1799786E-004
1.225	4.0176790E-004
1.2275	3.6766208E-004
1.23	3.2095943E-004
1.2325	2.6872344E-004
1.235	2.1866088E-004
1.2375	1.7795509E-004
1.24	1.5217219E-004
1.2425	1.4438559E-004
1.245	1.5471497E-004
1.2475	1.8039109E-004
1.25	2.1631076E-004
1.2525	2.5594368E-004
1.255	2.9241588E-004
1.2575	3.1958817E-004
1.26	3.3296694E-004
1.2625	3.3033162E-004
1.265	3.1201966E-004
1.2675	2.8083846E-004
1.27	2.4158397E-004
1.2725	2.0020986E-004
1.275	1.6282119E-004
1.2775	1.3471986E-004
1.28	1.1964121E-004
1.2825	1.1922756E-004
1.285	1.3279477E-004
1.2875	1.5746696E-004
1.29	1.8868233E-004
1.2925	2.2096970E-004
1.295	2.4884174E-004
1.2975	2.6765277E-004
1.3	2.7429231E-004
1.3025	2.6762558E-004
1.305	2.4863469E-004
1.3075	2.2024519E-004
1.31	1.8683670E-004
1.3125	1.5349484E-004
1.315	1.2516102E-004
1.3175	1.0586618E-004
1.32	9.8156292E-005
1.3225	1.0274022E-004
1.325	1.1839525E-004
1.3275	1.4217575E-004
1.33	1.6990960E-004
1.3325	1.9688805E-004
1.335	2.1861731E-004
1.3375	2.3151196E-004
1.34	2.3343884E-004
1.3425	2.2403745E-004
1.345	2.0475434E-004
1.3475	1.7857058E-004
1.35	1.4948963E-004
1.3525	1.2190143E-004
1.355	9.9917524E-005
1.3575	8.6739914E-005
1.36	8.4154693E-005
1.3625	9.2257142E-005
1.365	1.0946200E-004
