# demo, best one-period fit (every box ticked): seed 20260924, χ² 21.1185, scale ratio 1.00017, D 42.413
theta_deg	R
0.05	9.8824728E-001
0.05100847	9.8809409E-001
0.05201695	9.8792583E-001
0.05302542	9.8774326E-001
0.0540339	9.8754799E-001
0.05504237	9.8734123E-001
0.05605085	9.8712480E-001
0.05705932	9.8690009E-001
0.05806779	9.8666900E-001
0.05907627	9.8643297E-001
0.06008475	9.8619306E-001
0.06109322	9.8595071E-001
0.0621017	9.8570722E-001
0.06311017	9.8546290E-001
0.06411865	9.8521864E-001
0.06512712	9.8497480E-001
0.06613559	9.8473138E-001
0.06714407	9.8448837E-001
0.06815254	9.8424590E-001
0.06916102	9.8400384E-001
0.07016949	9.8376161E-001
0.07117797	9.8351890E-001
0.07218644	9.8327559E-001
0.07319491	9.8303127E-001
0.07420339	9.8278582E-001
0.07521187	9.8253876E-001
0.07622034	9.8229045E-001
0.07722881	9.8204017E-001
0.07823729	9.8178840E-001
0.07924576	9.8153496E-001
0.08025423	9.8127967E-001
0.08126272	9.8102301E-001
0.08227119	9.8076493E-001
0.08327966	9.8050541E-001
0.08428814	9.8024452E-001
0.08529661	9.7998244E-001
0.08630508	9.7971892E-001
0.08731356	9.7945380E-001
0.08832204	9.7918755E-001
0.08933051	9.7891974E-001
0.09033898	9.7865015E-001
0.09134746	9.7837925E-001
0.09235593	9.7810715E-001
0.09336441	9.7783321E-001
0.09437288	9.7755802E-001
0.09538136	9.7728151E-001
0.09638983	9.7700375E-001
0.0973983	9.7672462E-001
0.09840678	9.7644389E-001
0.09941526	9.7616184E-001
0.1004237	9.7587824E-001
0.1014322	9.7559303E-001
0.1024407	9.7530633E-001
0.1034492	9.7501773E-001
0.1044576	9.7472769E-001
0.1054661	9.7443587E-001
0.1064746	9.7414249E-001
0.1074831	9.7384733E-001
0.1084915	9.7355098E-001
0.1095	9.7325319E-001
0.1105085	9.7295421E-001
0.111517	9.7265410E-001
0.1125254	9.7235268E-001
0.1135339	9.7205013E-001
0.1145424	9.7174633E-001
0.1155508	9.7144139E-001
0.1165593	9.7113508E-001
0.1175678	9.7082734E-001
0.1185763	9.7051787E-001
0.1195847	9.7020674E-001
0.1205932	9.6989393E-001
0.1216017	9.6957922E-001
0.1226102	9.6926254E-001
0.1236186	9.6894372E-001
0.1246271	9.6862262E-001
0.1256356	9.6829969E-001
0.1266441	9.6797436E-001
0.1276525	9.6764660E-001
0.128661	9.6731681E-001
0.1296695	9.6698469E-001
0.130678	9.6665043E-001
0.1316864	9.6631342E-001
0.1326949	9.6597391E-001
0.1337034	9.6563166E-001
0.1347119	9.6528691E-001
0.1357203	9.6493882E-001
0.1367288	9.6458775E-001
0.1377373	9.6423352E-001
0.1387458	9.6387619E-001
0.1397542	9.6351546E-001
0.1407627	9.6315157E-001
0.1417712	9.6278459E-001
0.1427797	9.6241426E-001
0.1437881	9.6204084E-001
0.1447966	9.6166456E-001
0.1458051	9.6128511E-001
0.1468136	9.6090251E-001
0.147822	9.6051693E-001
0.1488305	9.6012872E-001
0.149839	9.5973700E-001
0.1508475	9.5934242E-001
0.1518559	9.5894486E-001
0.1528644	9.5854384E-001
0.1538729	9.5813990E-001
0.1548814	9.5773262E-001
0.1558898	9.5732218E-001
0.1568983	9.5690817E-001
0.1579068	9.5649070E-001
0.1589153	9.5606965E-001
0.1599237	9.5564485E-001
0.1609322	9.5521599E-001
0.1619407	9.5478332E-001
0.1629492	9.5434612E-001
0.1639576	9.5390493E-001
0.1649661	9.5345920E-001
0.1659746	9.5300865E-001
0.1669831	9.5255327E-001
0.1679915	9.5209318E-001
0.169	9.5162791E-001
0.1700085	9.5115745E-001
0.1710169	9.5068115E-001
0.1720254	9.5019943E-001
0.1730339	9.4971144E-001
0.1740424	9.4921750E-001
0.1750509	9.4871742E-001
0.1760593	9.4821066E-001
0.1770678	9.4769770E-001
0.1780763	9.4717836E-001
0.1790847	9.4665295E-001
0.1800932	9.4612098E-001
0.1811017	9.4558305E-001
0.1821102	9.4503802E-001
0.1831186	9.4448578E-001
0.1841271	9.4392508E-001
0.1851356	9.4335461E-001
0.1861441	9.4277215E-001
0.1871525	9.4217569E-001
0.188161	9.4156194E-001
0.1891695	9.4092864E-001
0.190178	9.4027215E-001
0.1911864	9.3959075E-001
0.1921949	9.3888217E-001
0.1932034	9.3814504E-001
0.1942119	9.3737960E-001
0.1952203	9.3658656E-001
0.1962288	9.3576849E-001
0.1972373	9.3492860E-001
0.1982458	9.3407136E-001
0.1992542	9.3320161E-001
0.2002627	9.3232477E-001
0.2012712	9.3144536E-001
0.2022797	9.3056709E-001
0.2032881	9.2969340E-001
0.2042966	9.2882490E-001
0.2053051	9.2796117E-001
0.2063136	9.2709953E-001
0.207322	9.2623556E-001
0.2083305	9.2536372E-001
0.209339	9.2447603E-001
0.2103475	9.2356521E-001
0.2113559	9.2262268E-001
0.2123644	9.2163986E-001
0.2133729	9.2060941E-001
0.2143814	9.1952479E-001
0.2153898	9.1838086E-001
0.2163983	9.1717559E-001
0.2174068	9.1590869E-001
0.2184153	9.1458350E-001
0.2194237	9.1320640E-001
0.2204322	9.1178751E-001
0.2214407	9.1033959E-001
0.2224492	9.0887779E-001
0.2234576	9.0741938E-001
0.2244661	9.0598083E-001
0.2254746	9.0457904E-001
0.226483	9.0322840E-001
0.2274915	9.0193933E-001
0.2285	9.0071893E-001
0.2295085	8.9957005E-001
0.230517	8.9849001E-001
0.2315254	8.9747274E-001
0.2325339	8.9650774E-001
0.2335424	8.9558309E-001
0.2345508	8.9468443E-001
0.2355593	8.9379752E-001
0.2365678	8.9290816E-001
0.2375763	8.9200395E-001
0.2385847	8.9107424E-001
0.2395932	8.9010990E-001
