# coc4 poly1, seed 20260921, chi2 0.958821, scale_ratio 0.877155, r_min 1.383e-06
# section calc (theta, R at the anchored scale)
theta_deg	R
0.20825	8.7125713E-001
0.20975	8.6928767E-001
0.21125	8.6699170E-001
0.21275	8.6441237E-001
0.21425	8.6160511E-001
0.21575	8.5862803E-001
0.21725	8.5553128E-001
0.21875	8.5235292E-001
0.22025	8.4911519E-001
0.22175	8.4582710E-001
0.22325	8.4248763E-001
0.22475	8.3908951E-001
0.22625	8.3562231E-001
0.22775	8.3207422E-001
0.22925	8.2843351E-001
0.23075	8.2468885E-001
0.23225	8.2082802E-001
0.23375	8.1683922E-001
0.23525	8.1271106E-001
0.23675	8.0843222E-001
0.23825	8.0399233E-001
0.23975	7.9937845E-001
0.24125	7.9457754E-001
0.24275	7.8957212E-001
0.24425	7.8434098E-001
0.24575	7.7886003E-001
0.24725	7.7310443E-001
0.24875	7.6704925E-001
0.25025	7.6067144E-001
0.25175	7.5395113E-001
0.25325	7.4687016E-001
0.25475	7.3941004E-001
0.25625	7.3155153E-001
0.25775	7.2327203E-001
0.25925	7.1454537E-001
0.26075	7.0534003E-001
0.26225	6.9562006E-001
0.26375	6.8534380E-001
0.26525	6.7446399E-001
0.26675	6.6292763E-001
0.26825	6.5067852E-001
0.26975	6.3765812E-001
0.27125	6.2381381E-001
0.27275	6.0910451E-001
0.27425	5.9351003E-001
0.27575	5.7703817E-001
0.27725	5.5973065E-001
0.27875	5.4166216E-001
0.28025	5.2293801E-001
0.28175	5.0368786E-001
0.28325	4.8405853E-001
0.28475	4.6420848E-001
0.28625	4.4430095E-001
0.28775	4.2449862E-001
0.28925	4.0495723E-001
0.29075	3.8581896E-001
0.29225	3.6720693E-001
0.29375	3.4922165E-001
0.29525	3.3194128E-001
0.29675	3.1542239E-001
0.29825	2.9970387E-001
0.29975	2.8481019E-001
0.30125	2.7075335E-001
0.30275	2.5753486E-001
0.30425	2.4514568E-001
0.30575	2.3356581E-001
0.30725	2.2276326E-001
0.30875	2.1269375E-001
0.31025	2.0330194E-001
0.31175	1.9452387E-001
0.31325	1.8629177E-001
0.31475	1.7853968E-001
0.31625	1.7120987E-001
0.31775	1.6425814E-001
0.31925	1.5765673E-001
0.32075	1.5139431E-001
0.32225	1.4547272E-001
0.32375	1.3990067E-001
0.32525	1.3468556E-001
0.32675	1.2982592E-001
0.32825	1.2530512E-001
0.32975	1.2108939E-001
0.33125	1.1712974E-001
0.33275	1.1336776E-001
0.33425	1.0974404E-001
0.33575	1.0620730E-001
0.33725	1.0272230E-001
0.33875	9.9274926E-002
0.34025	9.5873378E-002
0.34175	9.2545427E-002
0.34325	8.9332350E-002
0.34475	8.6280383E-002
0.34625	8.3431453E-002
0.34775	8.0814637E-002
0.34925	7.8439780E-002
0.35075	7.6294474E-002
0.35225	7.4344762E-002
0.35375	7.2539479E-002
0.35525	7.0817433E-002
0.35675	6.9116078E-002
0.35825	6.7380458E-002
0.35975	6.5570921E-002
0.36125	6.3668512E-002
0.36275	6.1677240E-002
0.36425	5.9623029E-002
0.36575	5.7549551E-002
0.36725	5.5511661E-002
0.36875	5.3567480E-002
0.37025	5.1770229E-002
0.37175	5.0160985E-002
0.37325	4.8763234E-002
0.37475	4.7579691E-002
0.37625	4.6591938E-002
0.37775	4.5762643E-002
0.37925	4.5040149E-002
0.38075	4.4364851E-002
0.38225	4.3676559E-002
0.38375	4.2921741E-002
0.38525	4.2060055E-002
