# coc5 periodic_free, seed 20260925, chi2 0.682502, scale_ratio 0.903588, r_min 8.01145e-07
# section calc (theta, R at the anchored scale)
theta_deg	R
0.20225	8.3730835E-001
0.20375	8.3581847E-001
0.20525	8.3457386E-001
0.20675	8.3386475E-001
0.20825	8.3387685E-001
0.20975	8.3458602E-001
0.21125	8.3572268E-001
0.21275	8.3683223E-001
0.21425	8.3740872E-001
0.21575	8.3704621E-001
0.21725	8.3553678E-001
0.21875	8.3288294E-001
0.22025	8.2924080E-001
0.22175	8.2483053E-001
0.22325	8.1985992E-001
0.22475	8.1448215E-001
0.22625	8.0878645E-001
0.22775	8.0280864E-001
0.22925	7.9654676E-001
0.23075	7.8997487E-001
0.23225	7.8305197E-001
0.23375	7.7572858E-001
0.23525	7.6795191E-001
0.23675	7.5966924E-001
0.23825	7.5082827E-001
0.23975	7.4137211E-001
0.24125	7.3122942E-001
0.24275	7.2030264E-001
0.24425	7.0846343E-001
0.24575	6.9555700E-001
0.24725	6.8141985E-001
0.24875	6.6590601E-001
0.25025	6.4891326E-001
0.25175	6.3040501E-001
0.25325	6.1041909E-001
0.25475	5.8906919E-001
0.25625	5.6653410E-001
0.25775	5.4304445E-001
0.25925	5.1886833E-001
0.26075	4.9429449E-001
0.26225	4.6962035E-001
0.26375	4.4513655E-001
0.26525	4.2111585E-001
0.26675	3.9780131E-001
0.26825	3.7539700E-001
0.26975	3.5406113E-001
0.27125	3.3390152E-001
0.27275	3.1497562E-001
0.27425	2.9729277E-001
0.27575	2.8082037E-001
0.27725	2.6549315E-001
0.27875	2.5122190E-001
0.28025	2.3790483E-001
0.28175	2.2544017E-001
0.28325	2.1374054E-001
0.28475	2.0274688E-001
0.28625	1.9243720E-001
0.28775	1.8282384E-001
0.28925	1.7393884E-001
0.29075	1.6581045E-001
0.29225	1.5843964E-001
0.29375	1.5178384E-001
0.29525	1.4575386E-001
0.29675	1.4022286E-001
0.29825	1.3504434E-001
0.29975	1.3007425E-001
0.30125	1.2519187E-001
0.30275	1.2031680E-001
0.30425	1.1541825E-001
0.30575	1.1051626E-001
0.30725	1.0567412E-001
0.30875	1.0098438E-001
0.31025	9.6550487E-002
0.31175	9.2467949E-002
0.31325	8.8807620E-002
0.31475	8.5603513E-002
0.31625	8.2846634E-002
0.31775	8.0485456E-002
0.31925	7.8432791E-002
0.32075	7.6577581E-002
0.32225	7.4800126E-002
0.32375	7.2987556E-002
0.32525	7.1047999E-002
0.32675	6.8920806E-002
0.32825	6.6582352E-002
0.32975	6.4047202E-002
0.33125	6.1364684E-002
0.33275	5.8611803E-002
0.33425	5.5883359E-002
0.33575	5.3280056E-002
0.33725	5.0895993E-002
0.33875	4.8806898E-002
0.34025	4.7060985E-002
0.34175	4.5673478E-002
0.34325	4.4625580E-002
0.34475	4.3867767E-002
0.34625	4.3326356E-002
0.34775	4.2912450E-002
0.34925	4.2531811E-002
