theta_deg	R
0.001	1.0000050E+000
0.002	1.0000050E+000
0.003	1.0000050E+000
0.004	1.0000050E+000
0.005	1.0000050E+000
0.006	1.0000050E+000
0.007	1.0000050E+000
0.008	1.0000050E+000
0.009	1.0000050E+000
0.01	1.0000050E+000
0.011	1.0000050E+000
0.012	1.0000050E+000
0.013	1.0000050E+000
0.014	9.9592775E-001
0.015	9.9592775E-001
0.016	9.9592775E-001
0.017	9.9592775E-001
0.018	9.9592775E-001
0.019	9.9592775E-001
0.02	9.9592775E-001
0.021	9.9592775E-001
0.022	9.9592775E-001
0.023	9.9592775E-001
0.024	9.9592775E-001
0.025	9.9422431E-001
0.026	9.9422431E-001
0.027	9.9422431E-001
0.028	9.9422431E-001
0.029	9.9422431E-001
0.03	9.9422431E-001
0.031	9.9422431E-001
0.032	9.9290758E-001
0.033	9.9290758E-001
0.034	9.9290758E-001
0.035	9.9290758E-001
0.036	9.9290758E-001
0.037	9.9290758E-001
0.038	9.9178755E-001
0.039	9.9178755E-001
0.04	9.9178755E-001
0.041	9.9178755E-001
0.042	9.9079126E-001
0.043	9.9079126E-001
0.044	9.9079126E-001
0.045	9.9079126E-001
0.046	9.9079126E-001
0.047	9.8988396E-001
0.048	9.8988396E-001
0.049	9.8988396E-001
0.05	9.8988396E-001
0.051	9.8904192E-001
0.052	9.8904192E-001
0.053	9.8904192E-001
0.054	9.8904192E-001
0.055	9.8825020E-001
0.056	9.8825020E-001
0.057	9.8825020E-001
0.058	9.8749959E-001
0.059	9.8749959E-001
0.06	9.8749959E-001
0.061	9.8678416E-001
0.062	9.8678416E-001
0.063	9.8678416E-001
0.064	9.8678416E-001
0.065	9.8609722E-001
0.066	9.8609722E-001
0.067	9.8609722E-001
0.068	9.8543394E-001
0.069	9.8543394E-001
0.07	9.8479402E-001
0.071	9.8479402E-001
0.072	9.8479402E-001
0.073	9.8417044E-001
0.074	9.8417044E-001
0.075	9.8417044E-001
0.076	9.8356175E-001
0.077	9.8356175E-001
0.078	9.8297042E-001
0.079	9.8297042E-001
0.08	9.8297042E-001
0.081	9.8239052E-001
0.082	9.8239052E-001
0.083	9.8182172E-001
0.084	9.8182172E-001
0.085	9.8182172E-001
0.086	9.8126423E-001
0.087	9.8126423E-001
0.088	9.8071122E-001
0.089	9.8071122E-001
0.09	9.8017299E-001
0.091	9.8017299E-001
0.092	9.7963691E-001
0.093	9.7963691E-001
0.094	9.7911316E-001
0.095	9.7911316E-001
0.096	9.7859228E-001
0.097	9.7859228E-001
0.098	9.7807795E-001
0.099	9.7807795E-001
0.1	9.7757047E-001
0.101	9.7757047E-001
0.102	9.7706598E-001
0.103	9.7706598E-001
0.104	9.7656608E-001
0.105	9.7656608E-001
0.106	9.7606778E-001
0.107	9.7606778E-001
0.108	9.7557408E-001
0.109	9.7557408E-001
0.11	9.7508526E-001
0.111	9.7508526E-001
0.112	9.7459728E-001
0.113	9.7411436E-001
0.114	9.7411436E-001
0.115	9.7363424E-001
0.116	9.7363424E-001
0.117	9.7315401E-001
0.118	9.7267753E-001
0.119	9.7267753E-001
0.12	9.7220010E-001
0.121	9.7220010E-001
0.122	9.7172648E-001
0.123	9.7125173E-001
0.124	9.7125173E-001
0.125	9.7078443E-001
0.126	9.7031158E-001
0.127	9.7031158E-001
0.128	9.6984178E-001
0.129	9.6937472E-001
0.13	9.6937472E-001
0.131	9.6890205E-001
0.132	9.6843195E-001
0.133	9.6843195E-001
0.134	9.6796489E-001
0.135	9.6749562E-001
0.136	9.6749562E-001
0.137	9.6702927E-001
0.138	9.6656102E-001
0.139	9.6656102E-001
0.14	9.6609086E-001
0.141	9.6562135E-001
0.142	9.6515185E-001
