theta_deg	R
0.001	1.0000050E+000
0.002	1.0000050E+000
0.003	1.0000050E+000
0.004	1.0000050E+000
0.005	1.0000050E+000
0.006	1.0000050E+000
0.007	1.0000050E+000
0.008	1.0000050E+000
0.009	1.0000050E+000
0.01	1.0000050E+000
0.011	1.0000050E+000
0.012	1.0000050E+000
0.013	1.0000050E+000
0.014	9.9596822E-001
0.015	9.9596822E-001
0.016	9.9596822E-001
0.017	9.9596822E-001
0.018	9.9596822E-001
0.019	9.9596822E-001
0.02	9.9596822E-001
0.021	9.9596822E-001
0.022	9.9596822E-001
0.023	9.9596822E-001
0.024	9.9596822E-001
0.025	9.9427736E-001
0.026	9.9427736E-001
0.027	9.9427736E-001
0.028	9.9427736E-001
0.029	9.9427736E-001
0.03	9.9427736E-001
0.031	9.9427736E-001
0.032	9.9296767E-001
0.033	9.9296767E-001
0.034	9.9296767E-001
0.035	9.9296767E-001
0.036	9.9296767E-001
0.037	9.9296767E-001
0.038	9.9185026E-001
0.039	9.9185026E-001
0.04	9.9185026E-001
0.041	9.9185026E-001
0.042	9.9085492E-001
0.043	9.9085492E-001
0.044	9.9085492E-001
0.045	9.9085492E-001
0.046	9.9085492E-001
0.047	9.8994553E-001
0.048	9.8994553E-001
0.049	9.8994553E-001
0.05	9.8994553E-001
0.051	9.8910016E-001
0.052	9.8910016E-001
0.053	9.8910016E-001
0.054	9.8910016E-001
0.055	9.8830235E-001
0.056	9.8830235E-001
0.057	9.8830235E-001
0.058	9.8754460E-001
0.059	9.8754460E-001
0.06	9.8754460E-001
0.061	9.8681974E-001
0.062	9.8681974E-001
0.063	9.8681974E-001
0.064	9.8681974E-001
0.065	9.8612291E-001
0.066	9.8612291E-001
0.067	9.8612291E-001
0.068	9.8544651E-001
0.069	9.8544651E-001
0.07	9.8479384E-001
0.071	9.8479384E-001
0.072	9.8479384E-001
0.073	9.8415542E-001
0.074	9.8415542E-001
0.075	9.8415542E-001
0.076	9.8352885E-001
0.077	9.8352885E-001
0.078	9.8291981E-001
0.079	9.8291981E-001
0.08	9.8291981E-001
0.081	9.8231918E-001
0.082	9.8231918E-001
0.083	9.8172939E-001
0.084	9.8172939E-001
0.085	9.8172939E-001
0.086	9.8114944E-001
0.087	9.8114944E-001
0.088	9.8056936E-001
0.089	9.8056936E-001
0.09	9.8000604E-001
0.091	9.8000604E-001
0.092	9.7944117E-001
0.093	9.7944117E-001
0.094	9.7888702E-001
0.095	9.7888702E-001
0.096	9.7833425E-001
0.097	9.7833425E-001
0.098	9.7778678E-001
0.099	9.7778678E-001
0.1	9.7724426E-001
0.101	9.7724426E-001
0.102	9.7670126E-001
0.103	9.7670126E-001
0.104	9.7616202E-001
0.105	9.7616202E-001
0.106	9.7562134E-001
0.107	9.7562134E-001
0.108	9.7508383E-001
0.109	9.7508383E-001
0.11	9.7454923E-001
0.111	9.7454923E-001
0.112	9.7401226E-001
0.113	9.7347718E-001
0.114	9.7347718E-001
0.115	9.7294432E-001
0.116	9.7294432E-001
0.117	9.7240812E-001
0.118	9.7187328E-001
0.119	9.7187328E-001
0.12	9.7133410E-001
0.121	9.7133410E-001
0.122	9.7079629E-001
0.123	9.7025365E-001
0.124	9.7025365E-001
0.125	9.6971792E-001
0.126	9.6917069E-001
0.127	9.6917069E-001
0.128	9.6862417E-001
0.129	9.6807808E-001
0.13	9.6807808E-001
0.131	9.6751970E-001
0.132	9.6696138E-001
0.133	9.6696138E-001
0.134	9.6640307E-001
0.135	9.6583796E-001
0.136	9.6583796E-001
0.137	9.6527255E-001
0.138	9.6470022E-001
0.139	9.6470022E-001
0.14	9.6412075E-001
0.141	9.6354055E-001
0.142	9.6295285E-001
