theta_deg	R
0.001	1.0000052E+000
0.002	1.0000052E+000
0.003	1.0000052E+000
0.004	1.0000052E+000
0.005	1.0000052E+000
0.006	1.0000052E+000
0.007	1.0000052E+000
0.008	1.0000052E+000
0.009	1.0000052E+000
0.01	1.0000052E+000
0.011	1.0000052E+000
0.012	1.0000052E+000
0.013	1.0000052E+000
0.014	9.9966371E-001
0.015	9.9966371E-001
0.016	9.9966371E-001
0.017	9.9966371E-001
0.018	9.9966371E-001
0.019	9.9966371E-001
0.02	9.9966371E-001
0.021	9.9966371E-001
0.022	9.9966371E-001
0.023	9.9966371E-001
0.024	9.9966371E-001
0.025	9.9951911E-001
0.026	9.9951911E-001
0.027	9.9951911E-001
0.028	9.9951911E-001
0.029	9.9951911E-001
0.03	9.9951911E-001
0.031	9.9951911E-001
0.032	9.9940574E-001
0.033	9.9940574E-001
0.034	9.9940574E-001
0.035	9.9940574E-001
0.036	9.9940574E-001
0.037	9.9940574E-001
0.038	9.9930865E-001
0.039	9.9930865E-001
0.04	9.9930865E-001
0.041	9.9930865E-001
0.042	9.9922144E-001
0.043	9.9922144E-001
0.044	9.9922144E-001
0.045	9.9922144E-001
0.046	9.9922144E-001
0.047	9.9914056E-001
0.048	9.9914056E-001
0.049	9.9914056E-001
0.05	9.9914056E-001
0.051	9.9906486E-001
0.052	9.9906486E-001
0.053	9.9906486E-001
0.054	9.9906486E-001
0.055	9.9899298E-001
0.056	9.9899298E-001
0.057	9.9899298E-001
0.058	9.9892390E-001
0.059	9.9892390E-001
0.06	9.9892390E-001
0.061	9.9885750E-001
0.062	9.9885750E-001
0.063	9.9885750E-001
0.064	9.9885750E-001
0.065	9.9879235E-001
0.066	9.9879235E-001
0.067	9.9879235E-001
0.068	9.9872875E-001
0.069	9.9872875E-001
0.07	9.9866676E-001
0.071	9.9866676E-001
0.072	9.9866676E-001
0.073	9.9860531E-001
0.074	9.9860531E-001
0.075	9.9860531E-001
0.076	9.9854499E-001
0.077	9.9854499E-001
0.078	9.9848491E-001
0.079	9.9848491E-001
0.08	9.9848491E-001
0.081	9.9842566E-001
0.082	9.9842566E-001
0.083	9.9836612E-001
0.084	9.9836612E-001
0.085	9.9836612E-001
0.086	9.9830747E-001
0.087	9.9830747E-001
0.088	9.9824852E-001
0.089	9.9824852E-001
0.09	9.9818987E-001
0.091	9.9818987E-001
0.092	9.9813032E-001
0.093	9.9813032E-001
0.094	9.9807107E-001
0.095	9.9807107E-001
0.096	9.9801189E-001
0.097	9.9801189E-001
0.098	9.9795157E-001
0.099	9.9795157E-001
0.1	9.9789155E-001
0.101	9.9789155E-001
0.102	9.9783021E-001
0.103	9.9783021E-001
0.104	9.9776900E-001
0.105	9.9776900E-001
0.106	9.9770653E-001
0.107	9.9770653E-001
0.108	9.9764341E-001
0.109	9.9764341E-001
0.11	9.9757951E-001
0.111	9.9757951E-001
0.112	9.9751461E-001
0.113	9.9744874E-001
0.114	9.9744874E-001
0.115	9.9738199E-001
0.116	9.9738199E-001
0.117	9.9731362E-001
0.118	9.9724436E-001
0.119	9.9724436E-001
0.12	9.9717391E-001
0.121	9.9717391E-001
0.122	9.9710149E-001
0.123	9.9702752E-001
0.124	9.9702752E-001
0.125	9.9695230E-001
0.126	9.9687523E-001
0.127	9.9687523E-001
0.128	9.9679625E-001
0.129	9.9671531E-001
0.13	9.9671531E-001
0.131	9.9663234E-001
0.132	9.9654686E-001
0.133	9.9654686E-001
0.134	9.9645901E-001
0.135	9.9636960E-001
0.136	9.9636960E-001
0.137	9.9627644E-001
0.138	9.9618089E-001
0.139	9.9618089E-001
0.14	9.9608219E-001
0.141	9.9598044E-001
0.142	9.9587506E-001
0.143	9.9587506E-001
0.144	9.9576598E-001
0.145	9.9565357E-001
0.146	9.9565357E-001
0.147	9.9553698E-001
0.148	9.9541551E-001
0.149	9.9529046E-001
0.15	9.9529046E-001
0.151	9.9515969E-001
0.152	9.9502385E-001
0.153	9.9488240E-001
0.154	9.9473500E-001
0.155	9.9473500E-001
