theta_deg	R
0.001	1.0000052E+000
0.002	1.0000052E+000
0.003	1.0000052E+000
0.004	1.0000052E+000
0.005	1.0000052E+000
0.006	1.0000052E+000
0.007	1.0000052E+000
0.008	1.0000052E+000
0.009	1.0000052E+000
0.01	1.0000052E+000
0.011	1.0000052E+000
0.012	1.0000052E+000
0.013	1.0000052E+000
0.014	9.9970722E-001
0.015	9.9970722E-001
0.016	9.9970722E-001
0.017	9.9970722E-001
0.018	9.9970722E-001
0.019	9.9970722E-001
0.02	9.9970722E-001
0.021	9.9970722E-001
0.022	9.9970722E-001
0.023	9.9970722E-001
0.024	9.9970722E-001
0.025	9.9958205E-001
0.026	9.9958205E-001
0.027	9.9958205E-001
0.028	9.9958205E-001
0.029	9.9958205E-001
0.03	9.9958205E-001
0.031	9.9958205E-001
0.032	9.9948412E-001
0.033	9.9948412E-001
0.034	9.9948412E-001
0.035	9.9948412E-001
0.036	9.9948412E-001
0.037	9.9948412E-001
0.038	9.9940056E-001
0.039	9.9940056E-001
0.04	9.9940056E-001
0.041	9.9940056E-001
0.042	9.9932605E-001
0.043	9.9932605E-001
0.044	9.9932605E-001
0.045	9.9932605E-001
0.046	9.9932605E-001
0.047	9.9925756E-001
0.048	9.9925756E-001
0.049	9.9925756E-001
0.05	9.9925756E-001
0.051	9.9919337E-001
0.052	9.9919337E-001
0.053	9.9919337E-001
0.054	9.9919337E-001
0.055	9.9913275E-001
0.056	9.9913275E-001
0.057	9.9913275E-001
0.058	9.9907517E-001
0.059	9.9907517E-001
0.06	9.9907517E-001
0.061	9.9901974E-001
0.062	9.9901974E-001
0.063	9.9901974E-001
0.064	9.9901974E-001
0.065	9.9896574E-001
0.066	9.9896574E-001
0.067	9.9896574E-001
0.068	9.9891365E-001
0.069	9.9891365E-001
0.07	9.9886292E-001
0.071	9.9886292E-001
0.072	9.9886292E-001
0.073	9.9881345E-001
0.074	9.9881345E-001
0.075	9.9881345E-001
0.076	9.9876463E-001
0.077	9.9876463E-001
0.078	9.9871659E-001
0.079	9.9871659E-001
0.08	9.9871659E-001
0.081	9.9866945E-001
0.082	9.9866945E-001
0.083	9.9862254E-001
0.084	9.9862254E-001
0.085	9.9862254E-001
0.086	9.9857646E-001
0.087	9.9857646E-001
0.088	9.9853069E-001
0.089	9.9853069E-001
0.09	9.9848473E-001
0.091	9.9848473E-001
0.092	9.9843943E-001
0.093	9.9843943E-001
0.094	9.9839437E-001
0.095	9.9839437E-001
0.096	9.9834907E-001
0.097	9.9834907E-001
0.098	9.9830401E-001
0.099	9.9830401E-001
0.1	9.9825919E-001
0.101	9.9825919E-001
0.102	9.9821424E-001
0.103	9.9821424E-001
0.104	9.9816871E-001
0.105	9.9816871E-001
0.106	9.9812353E-001
0.107	9.9812353E-001
0.108	9.9807799E-001
0.109	9.9807799E-001
0.11	9.9803209E-001
0.111	9.9803209E-001
0.112	9.9798632E-001
0.113	9.9794006E-001
0.114	9.9794006E-001
0.115	9.9789351E-001
0.116	9.9789351E-001
0.117	9.9784660E-001
0.118	9.9779916E-001
0.119	9.9779916E-001
0.12	9.9775136E-001
0.121	9.9775136E-001
0.122	9.9770302E-001
0.123	9.9765420E-001
0.124	9.9765420E-001
0.125	9.9760479E-001
0.126	9.9755430E-001
0.127	9.9755430E-001
0.128	9.9750340E-001
0.129	9.9745196E-001
0.13	9.9745196E-001
0.131	9.9739975E-001
0.132	9.9734628E-001
0.133	9.9734628E-001
0.134	9.9729270E-001
0.135	9.9723727E-001
0.136	9.9723727E-001
0.137	9.9718130E-001
0.138	9.9712461E-001
0.139	9.9712461E-001
0.14	9.9706626E-001
0.141	9.9700707E-001
0.142	9.9694645E-001
0.143	9.9694645E-001
0.144	9.9688435E-001
0.145	9.9682117E-001
0.146	9.9682117E-001
0.147	9.9675626E-001
0.148	9.9668962E-001
0.149	9.9662197E-001
0.15	9.9662197E-001
0.151	9.9655163E-001
0.152	9.9647987E-001
0.153	9.9640614E-001
0.154	9.9633020E-001
0.155	9.9633020E-001
