theta_deg	R
0.001	1.0000052E+000
0.002	1.0000052E+000
0.003	1.0000052E+000
0.004	1.0000052E+000
0.005	1.0000052E+000
0.006	1.0000052E+000
0.007	1.0000052E+000
0.008	1.0000052E+000
0.009	1.0000052E+000
0.01	1.0000052E+000
0.011	1.0000052E+000
0.012	1.0000052E+000
0.013	1.0000052E+000
0.014	9.9406159E-001
0.015	9.9406159E-001
0.016	9.9406159E-001
0.017	9.9406159E-001
0.018	9.9406159E-001
0.019	9.9406159E-001
0.02	9.9406159E-001
0.021	9.9406159E-001
0.022	9.9406159E-001
0.023	9.9406159E-001
0.024	9.9406159E-001
0.025	9.9159992E-001
0.026	9.9159992E-001
0.027	9.9159992E-001
0.028	9.9159992E-001
0.029	9.9159992E-001
0.03	9.9159992E-001
0.031	9.9159992E-001
0.032	9.8971117E-001
0.033	9.8971117E-001
0.034	9.8971117E-001
0.035	9.8971117E-001
0.036	9.8971117E-001
0.037	9.8971117E-001
0.038	9.8811692E-001
0.039	9.8811692E-001
0.04	9.8811692E-001
0.041	9.8811692E-001
0.042	9.8670769E-001
0.043	9.8670769E-001
0.044	9.8670769E-001
0.045	9.8670769E-001
0.046	9.8670769E-001
0.047	9.8543394E-001
0.048	9.8543394E-001
0.049	9.8543394E-001
0.05	9.8543394E-001
0.051	9.8425740E-001
0.052	9.8425740E-001
0.053	9.8425740E-001
0.054	9.8425740E-001
0.055	9.8316360E-001
0.056	9.8316360E-001
0.057	9.8316360E-001
0.058	9.8213047E-001
0.059	9.8213047E-001
0.06	9.8213047E-001
0.061	9.8115522E-001
0.062	9.8115522E-001
0.063	9.8115522E-001
0.064	9.8115522E-001
0.065	9.8022139E-001
0.066	9.8022139E-001
0.067	9.8022139E-001
0.068	9.7933167E-001
0.069	9.7933167E-001
0.07	9.7847176E-001
0.071	9.7847176E-001
0.072	9.7847176E-001
0.073	9.7764248E-001
0.074	9.7764248E-001
0.075	9.7764248E-001
0.076	9.7684556E-001
0.077	9.7684556E-001
0.078	9.7606736E-001
0.079	9.7606736E-001
0.08	9.7606736E-001
0.081	9.7531730E-001
0.082	9.7531730E-001
0.083	9.7458160E-001
0.084	9.7458160E-001
0.085	9.7458160E-001
0.086	9.7386402E-001
0.087	9.7386414E-001
0.088	9.7316980E-001
0.089	9.7316980E-001
0.09	9.7248465E-001
0.091	9.7248465E-001
0.092	9.7181427E-001
0.093	9.7181427E-001
0.094	9.7116351E-001
0.095	9.7116351E-001
0.096	9.7051919E-001
0.097	9.7051919E-001
0.098	9.6988606E-001
0.099	9.6988606E-001
0.1	9.6926403E-001
0.101	9.6926403E-001
0.102	9.6865928E-001
0.103	9.6865928E-001
0.104	9.6805727E-001
0.105	9.6805727E-001
0.106	9.6746427E-001
0.107	9.6746427E-001
0.108	9.6688014E-001
0.109	9.6688014E-001
0.11	9.6630406E-001
0.111	9.6630406E-001
0.112	9.6573550E-001
0.113	9.6518248E-001
0.114	9.6518248E-001
0.115	9.6462828E-001
0.116	9.6462828E-001
0.117	9.6408105E-001
0.118	9.6353996E-001
0.119	9.6353996E-001
0.12	9.6300530E-001
0.121	9.6300530E-001
0.122	9.6247637E-001
0.123	9.6195281E-001
0.124	9.6195281E-001
0.125	9.6143454E-001
0.126	9.6092159E-001
0.127	9.6092159E-001
0.128	9.6041346E-001
0.129	9.5991004E-001
0.13	9.5991004E-001
0.131	9.5941132E-001
0.132	9.5891684E-001
0.133	9.5891684E-001
0.134	9.5842654E-001
0.135	9.5794028E-001
0.136	9.5794028E-001
0.137	9.5745802E-001
0.138	9.5697933E-001
0.139	9.5697933E-001
0.14	9.5650458E-001
0.141	9.5602363E-001
0.142	9.5555568E-001
0.143	9.5555568E-001
0.144	9.5509118E-001
0.145	9.5462942E-001
0.146	9.5462942E-001
0.147	9.5417124E-001
0.148	9.5370573E-001
0.149	9.5325303E-001
0.15	9.5325303E-001
0.151	9.5280349E-001
0.152	9.5234627E-001
0.153	9.5190197E-001
0.154	9.5146018E-001
0.155	9.5146018E-001
