theta_deg	R
0.001	9.9977279E-001
0.002	9.9955088E-001
0.003	9.9933922E-001
0.004	9.9911755E-001
0.005	9.9889570E-001
0.006	9.9867386E-001
0.007	9.9845207E-001
0.008	9.9824101E-001
0.009	9.9801922E-001
0.01	9.9779773E-001
0.011	9.9757606E-001
0.012	9.9736506E-001
0.013	9.9714363E-001
0.014	9.9099690E-001
0.015	9.9078721E-001
0.016	9.9056739E-001
0.017	9.9034745E-001
0.018	9.9012744E-001
0.019	9.8990744E-001
0.02	9.8969841E-001
0.021	9.8947847E-001
0.022	9.8925859E-001
0.023	9.8903912E-001
0.024	9.8882997E-001
0.025	9.8616236E-001
0.026	9.8595369E-001
0.027	9.8573494E-001
0.028	9.8551595E-001
0.029	9.8529720E-001
0.03	9.8508888E-001
0.031	9.8487002E-001
0.032	9.8278618E-001
0.033	9.8256791E-001
0.034	9.8236012E-001
0.035	9.8214203E-001
0.036	9.8192394E-001
0.037	9.8170602E-001
0.038	9.7991723E-001
0.039	9.7971016E-001
0.04	9.7949249E-001
0.041	9.7927499E-001
0.042	9.7767156E-001
0.043	9.7746485E-001
0.044	9.7724777E-001
0.045	9.7703058E-001
0.046	9.7682434E-001
0.047	9.7535688E-001
0.048	9.7515053E-001
0.049	9.7493410E-001
0.05	9.7471756E-001
0.051	9.7335827E-001
0.052	9.7314221E-001
0.053	9.7292614E-001
0.054	9.7272032E-001
0.055	9.7143370E-001
0.056	9.7122824E-001
0.057	9.7101253E-001
0.058	9.6979743E-001
0.059	9.6958202E-001
0.06	9.6937704E-001
0.061	9.6820968E-001
0.062	9.6800494E-001
0.063	9.6779007E-001
0.064	9.6758515E-001
0.065	9.6646005E-001
0.066	9.6625561E-001
0.067	9.6604103E-001
0.068	9.6497041E-001
0.069	9.6476620E-001
0.07	9.6372527E-001
0.071	9.6351141E-001
0.072	9.6330774E-001
0.073	9.6229798E-001
0.074	9.6208405E-001
0.075	9.6188062E-001
0.076	9.6090347E-001
0.077	9.6070021E-001
0.078	9.5974213E-001
0.079	9.5952886E-001
0.08	9.5932603E-001
0.081	9.5839602E-001
0.082	9.5819342E-001
0.083	9.5727849E-001
0.084	9.5707607E-001
0.085	9.5687366E-001
0.086	9.5597690E-001
0.087	9.5577478E-001
0.088	9.5490146E-001
0.089	9.5469952E-001
0.09	9.5384586E-001
0.091	9.5363396E-001
0.092	9.5279521E-001
0.093	9.5259368E-001
0.094	9.5176464E-001
0.095	9.5156348E-001
0.096	9.5075089E-001
0.097	9.5055002E-001
0.098	9.4974899E-001
0.099	9.4953829E-001
0.1	9.4874865E-001
0.101	9.4854796E-001
0.102	9.4777596E-001
0.103	9.4757533E-001
0.104	9.4680595E-001
0.105	9.4660586E-001
0.106	9.4584620E-001
0.107	9.4564593E-001
0.108	9.4489509E-001
0.109	9.4469529E-001
0.11	9.4396263E-001
0.111	9.4375288E-001
0.112	9.4302821E-001
0.113	9.4230866E-001
0.114	9.4210958E-001
0.115	9.4139910E-001
0.116	9.4120032E-001
0.117	9.4048733E-001
0.118	9.3979049E-001
0.119	9.3959171E-001
0.12	9.3890160E-001
0.121	9.3870282E-001
0.122	9.3801868E-001
0.123	9.3733001E-001
0.124	9.3713176E-001
0.125	9.3645847E-001
0.126	9.3579054E-001
0.127	9.3559271E-001
0.128	9.3492967E-001
0.129	9.3427181E-001
0.13	9.3408418E-001
0.131	9.3343127E-001
0.132	9.3278199E-001
0.133	9.3258476E-001
0.134	9.3194038E-001
0.135	9.3130994E-001
0.136	9.3111312E-001
0.137	9.3047696E-001
0.138	9.2985457E-001
0.139	9.2965800E-001
0.14	9.2902970E-001
0.141	9.2840546E-001
0.142	9.2779386E-001
0.143	9.2759758E-001
0.144	9.2698979E-001
0.145	9.2637527E-001
0.146	9.2618924E-001
0.147	9.2558795E-001
0.148	9.2496997E-001
0.149	9.2437452E-001
0.15	9.2418873E-001
0.151	9.2359668E-001
0.152	9.2299736E-001
0.153	9.2241073E-001
0.154	9.2182630E-001
0.155	9.2164123E-001
0.156	9.2104977E-001
0.157	9.2047083E-001
0.158	9.1988415E-001
0.159	9.1931993E-001
0.16	9.1912550E-001
0.161	9.1856354E-001
0.162	9.1798365E-001
0.163	9.1742617E-001
0.164	9.1685086E-001
0.165	9.1629767E-001
0.166	9.1611350E-001
0.167	9.1554207E-001
0.168	9.1498214E-001
0.169	9.1443515E-001
0.17	9.1387874E-001
0.171	9.1333544E-001
0.172	9.1278297E-001
0.173	9.1259944E-001
0.174	9.1203898E-001
0.175	9.1149938E-001
0.176	9.1096300E-001
0.177	9.1041696E-001
0.178	9.0987259E-001
0.179	9.0932971E-001
0.18	9.0880924E-001
0.181	9.0826935E-001
0.182	9.0774024E-001
0.183	9.0720320E-001
0.184	9.0667695E-001
0.185	9.0649486E-001
0.186	9.0596992E-001
0.187	9.0543681E-001
0.188	9.0491450E-001
0.189	9.0439349E-001
0.19	9.0387374E-001
