theta_deg	R
0.001	9.9992251E-001
0.002	9.9985814E-001
0.003	9.9979448E-001
0.004	9.9972129E-001
0.005	9.9965727E-001
0.006	9.9958462E-001
0.007	9.9952036E-001
0.008	9.9944705E-001
0.009	9.9938309E-001
0.01	9.9931037E-001
0.011	9.9924612E-001
0.012	9.9917287E-001
0.013	9.9910897E-001
0.014	9.9034494E-001
0.015	9.9027300E-001
0.016	9.9021041E-001
0.017	9.9014783E-001
0.018	9.9007589E-001
0.019	9.9001276E-001
0.02	9.8994136E-001
0.021	9.8987842E-001
0.022	9.8980671E-001
0.023	9.8974371E-001
0.024	9.8967171E-001
0.025	9.8599011E-001
0.026	9.8591882E-001
0.027	9.8585671E-001
0.028	9.8579431E-001
0.029	9.8572308E-001
0.03	9.8566115E-001
0.031	9.8558962E-001
0.032	9.8272550E-001
0.033	9.8266375E-001
0.034	9.8259282E-001
0.035	9.8253089E-001
0.036	9.8246902E-001
0.037	9.8239821E-001
0.038	9.7995234E-001
0.039	9.7989047E-001
0.04	9.7982889E-001
0.041	9.7975808E-001
0.042	9.7757584E-001
0.043	9.7751451E-001
0.044	9.7745299E-001
0.045	9.7738278E-001
0.046	9.7732139E-001
0.047	9.7532260E-001
0.048	9.7526139E-001
0.049	9.7520030E-001
0.05	9.7513908E-001
0.051	9.7327828E-001
0.052	9.7321731E-001
0.053	9.7315627E-001
0.054	9.7308642E-001
0.055	9.7134161E-001
0.056	9.7128081E-001
0.057	9.7121990E-001
0.058	9.6956104E-001
0.059	9.6949136E-001
0.06	9.6943027E-001
0.061	9.6784216E-001
0.062	9.6778166E-001
0.063	9.6772110E-001
0.064	9.6766067E-001
0.065	9.6612662E-001
0.066	9.6606624E-001
0.067	9.6600622E-001
0.068	9.6452701E-001
0.069	9.6446651E-001
0.07	9.6303439E-001
0.071	9.6297449E-001
0.072	9.6290529E-001
0.073	9.6151590E-001
0.074	9.6145600E-001
0.075	9.6139592E-001
0.076	9.6003336E-001
0.077	9.5997339E-001
0.078	9.5863926E-001
0.079	9.5857960E-001
0.08	9.5851964E-001
0.081	9.5721716E-001
0.082	9.5715755E-001
0.083	9.5587099E-001
0.084	9.5581144E-001
0.085	9.5576060E-001
0.086	9.5450109E-001
0.087	9.5444179E-001
0.088	9.5320213E-001
0.089	9.5314270E-001
0.09	9.5191050E-001
0.091	9.5185989E-001
0.092	9.5064884E-001
0.093	9.5059854E-001
0.094	9.4940227E-001
0.095	9.4934309E-001
0.096	9.4815135E-001
0.097	9.4809163E-001
0.098	9.4691730E-001
0.099	9.4686681E-001
0.1	9.4570184E-001
0.101	9.4565159E-001
0.102	9.4449484E-001
0.103	9.4443572E-001
0.104	9.4329548E-001
0.105	9.4324541E-001
0.106	9.4209409E-001
0.107	9.4204396E-001
0.108	9.4091606E-001
0.109	9.4085693E-001
0.11	9.3972570E-001
0.111	9.3967557E-001
0.112	9.3854827E-001
0.113	9.3743360E-001
0.114	9.3738395E-001
0.115	9.3626356E-001
0.116	9.3621385E-001
0.117	9.3511415E-001
0.118	9.3399864E-001
0.119	9.3394893E-001
0.12	9.3284446E-001
0.121	9.3279445E-001
0.122	9.3169039E-001
0.123	9.3058789E-001
0.124	9.3053830E-001
0.125	9.2942560E-001
0.126	9.2832309E-001
0.127	9.2827338E-001
0.128	9.2717975E-001
0.129	9.2608559E-001
0.13	9.2603576E-001
0.131	9.2494029E-001
0.132	9.2382312E-001
0.133	9.2378265E-001
0.134	9.2267352E-001
0.135	9.2157269E-001
