theta_deg	R
0.001	9.9984705E-001
0.002	9.9969840E-001
0.003	9.9954981E-001
0.004	9.9940133E-001
0.005	9.9925292E-001
0.006	9.9910444E-001
0.007	9.9895626E-001
0.008	9.9880767E-001
0.009	9.9865937E-001
0.01	9.9851054E-001
0.011	9.9836236E-001
0.012	9.9821395E-001
0.013	9.9806583E-001
0.014	9.8986000E-001
0.015	9.8971403E-001
0.016	9.8956817E-001
0.017	9.8943102E-001
0.018	9.8928523E-001
0.019	9.8913932E-001
0.02	9.8899317E-001
0.021	9.8884737E-001
0.022	9.8870122E-001
0.023	9.8855507E-001
0.024	9.8840928E-001
0.025	9.8491752E-001
0.026	9.8477226E-001
0.027	9.8462749E-001
0.028	9.8449159E-001
0.029	9.8434639E-001
0.03	9.8420167E-001
0.031	9.8405635E-001
0.032	9.8133206E-001
0.033	9.8118746E-001
0.034	9.8104310E-001
0.035	9.8089886E-001
0.036	9.8076373E-001
0.037	9.8061961E-001
0.038	9.7828209E-001
0.039	9.7813815E-001
0.04	9.7799456E-001
0.041	9.7785985E-001
0.042	9.7576559E-001
0.043	9.7562212E-001
0.044	9.7548801E-001
0.045	9.7534466E-001
0.046	9.7521067E-001
0.047	9.7328669E-001
0.048	9.7315264E-001
0.049	9.7301000E-001
0.05	9.7287649E-001
0.051	9.7108805E-001
0.052	9.7095466E-001
0.053	9.7081232E-001
0.054	9.7067881E-001
0.055	9.6898884E-001
0.056	9.6885604E-001
0.057	9.6872312E-001
0.058	9.6712118E-001
0.059	9.6697938E-001
0.06	9.6684688E-001
0.061	9.6530956E-001
0.062	9.6517694E-001
0.063	9.6504456E-001
0.064	9.6490335E-001
0.065	9.6342474E-001
0.066	9.6329266E-001
0.067	9.6316075E-001
0.068	9.6173245E-001
0.069	9.6160054E-001
0.07	9.6020633E-001
0.071	9.6007478E-001
0.072	9.5994347E-001
0.073	9.5859683E-001
0.074	9.5846546E-001
0.075	9.5833445E-001
0.076	9.5701182E-001
0.077	9.5688087E-001
0.078	9.5558411E-001
0.079	9.5545340E-001
0.08	9.5532238E-001
0.081	9.5406324E-001
0.082	9.5393240E-001
0.083	9.5268732E-001
0.084	9.5255697E-001
0.085	9.5243561E-001
0.086	9.5121431E-001
0.087	9.5108408E-001
0.088	9.4988126E-001
0.089	9.4975108E-001
0.09	9.4856256E-001
0.091	9.4844127E-001
0.092	9.4727141E-001
0.093	9.4714153E-001
0.094	9.4598502E-001
0.095	9.4585550E-001
0.096	9.4470203E-001
0.097	9.4458103E-001
0.098	9.4344288E-001
0.099	9.4331330E-001
0.1	9.4219190E-001
0.101	9.4207174E-001
0.102	9.4094783E-001
0.103	9.4082749E-001
0.104	9.3971860E-001
0.105	9.3959808E-001
0.106	9.3848664E-001
0.107	9.3836641E-001
0.108	9.3727612E-001
0.109	9.3715578E-001
0.11	9.3606114E-001
0.111	9.3594086E-001
0.112	9.3484902E-001
0.113	9.3376815E-001
0.114	9.3365699E-001
0.115	9.3256909E-001
0.116	9.3245804E-001
0.117	9.3138933E-001
0.118	9.3031240E-001
0.119	9.3020147E-001
0.12	9.2912495E-001
0.121	9.2901421E-001
0.122	9.2794693E-001
0.123	9.2687839E-001
0.124	9.2676783E-001
0.125	9.2569834E-001
0.126	9.2462802E-001
0.127	9.2451745E-001
0.128	9.2345446E-001
0.129	9.2239821E-001
0.13	9.2228746E-001
0.131	9.2122853E-001
0.132	9.2015731E-001
0.133	9.2004663E-001
0.134	9.1897172E-001
0.135	9.1791302E-001
0.136	9.1781139E-001
0.137	9.1673827E-001
0.138	9.1566110E-001
0.139	9.1555911E-001
0.14	9.1448671E-001
0.141	9.1340005E-001
0.142	9.1232646E-001
0.143	9.1222435E-001
0.144	9.1113430E-001
0.145	9.1004968E-001
0.146	9.0994740E-001
0.147	9.0886617E-001
0.148	9.0776932E-001
0.149	9.0666342E-001
0.15	9.0656990E-001
0.151	9.0547776E-001
0.152	9.0436649E-001
0.153	9.0324771E-001
0.154	9.0212095E-001
0.155	9.0203655E-001
0.156	9.0091026E-001
0.157	8.9978832E-001
0.158	8.9865440E-001
0.159	8.9749867E-001
0.16	8.9741331E-001
0.161	8.9626962E-001
0.162	8.9511627E-001
0.163	8.9394951E-001
0.164	8.9277208E-001
0.165	8.9159292E-001
0.166	8.9150608E-001
0.167	8.9031541E-001
0.168	8.8912231E-001
0.169	8.8791674E-001
0.17	8.8672239E-001
0.171	8.8548785E-001
0.172	8.8424939E-001
0.173	8.8417077E-001
0.174	8.8294625E-001
0.175	8.8168925E-001
0.176	8.8042653E-001
0.177	8.7914884E-001
0.178	8.7786531E-001
0.179	8.7657565E-001
0.18	8.7528461E-001
0.181	8.7396616E-001
0.182	8.7261903E-001
0.183	8.7130630E-001
0.184	8.6995310E-001
0.185	8.6987919E-001
0.186	8.6851680E-001
0.187	8.6714345E-001
0.188	8.6574930E-001
0.189	8.6433893E-001
0.19	8.6293310E-001
0.191	8.6151457E-001
0.192	8.6006618E-001
0.193	8.5863286E-001
0.194	8.5716873E-001
0.195	8.5569984E-001
0.196	8.5422742E-001
0.197	8.5275167E-001
0.198	8.5125488E-001
0.199	8.4976655E-001
0.2	8.4827095E-001
0.201	8.4681761E-001
0.202	8.4535563E-001
0.203	8.4397262E-001
0.204	8.4259790E-001
0.205	8.4132856E-001
0.206	8.4023774E-001
0.207	8.3932459E-001
0.208	7.6675397E-001
0.209	7.7639681E-001
0.21	7.9150891E-001
0.211	7.9766893E-001
0.212	8.0063641E-001
0.213	8.0199516E-001
0.214	8.0249608E-001
0.215	8.0233592E-001
0.216	8.0179358E-001
0.217	8.0092913E-001
0.218	7.9978573E-001
0.219	7.9701614E-001
0.22	7.9531270E-001
0.221	7.9349488E-001
0.222	7.9154706E-001
0.223	7.8950232E-001
0.224	7.8732091E-001
0.225	7.8504509E-001
0.226	7.8013831E-001
0.227	7.7755195E-001
0.228	7.7483326E-001
0.229	7.7199799E-001
0.23	7.6905477E-001
0.231	7.6601565E-001
0.232	7.5960541E-001
0.233	7.5621241E-001
0.234	7.5269407E-001
0.235	7.4902207E-001
0.236	7.4524963E-001
0.237	7.3723245E-001
0.238	7.3300302E-001
0.239	7.2859579E-001
0.24	7.2402364E-001
0.241	7.1929443E-001
0.242	7.0919865E-001
0.243	7.0386982E-001
0.244	6.9829369E-001
0.245	6.9249916E-001
0.246	6.8017173E-001
0.247	6.7361087E-001
0.248	6.6675907E-001
0.249	6.5962189E-001
0.25	6.4444011E-001
0.251	6.3639355E-001
0.252	6.2797207E-001
0.253	6.1015803E-001
0.254	6.0085958E-001
0.255	5.9116995E-001
0.256	5.8125103E-001
0.257	5.6118703E-001
0.258	5.5342788E-001
0.259	5.3629792E-001
0.26	5.0726682E-001
0.261	4.9319756E-001
0.262	4.7928160E-001
0.263	4.5210224E-001
0.264	4.3882856E-001
0.265	4.2586583E-001
0.266	4.0079916E-001
0.267	3.8872123E-001
0.268	3.6555511E-001
0.269	3.5446948E-001
0.27	3.4375787E-001
0.271	3.2341555E-001
0.272	3.1386113E-001
0.273	3.0473733E-001
0.274	2.8777853E-001
0.275	2.7998534E-001
0.276	2.6566273E-001
0.277	2.5908735E-001
0.278	2.5285503E-001
0.279	2.4118769E-001
0.28	2.3566636E-001
0.281	2.2502011E-001
0.282	2.1983871E-001
0.283	2.0960164E-001
0.284	2.0455283E-001
0.285	1.9459943E-001
0.286	1.8975088E-001
0.287	1.8499078E-001
0.288	1.7589134E-001
0.289	1.7160819E-001
0.29	1.6367075E-001
0.291	1.6005716E-001
0.292	1.5355249E-001
0.293	1.5066227E-001
0.294	1.4553066E-001
0.295	1.4326051E-001
0.296	1.3915531E-001
0.297	1.3727413E-001
0.298	1.3368791E-001
0.299	1.3193451E-001
0.3	1.2838513E-001
0.301	1.2467101E-001
0.302	1.2271868E-001
0.303	1.1861772E-001
0.304	1.1647101E-001
0.305	1.1202446E-001
0.306	1.0974902E-001
0.307	1.0515899E-001
0.308	1.0287753E-001
0.309	9.8436959E-002
0.31	9.4254561E-002
0.311	9.2297778E-002
0.312	8.8699669E-002
0.313	8.7077327E-002
0.314	8.4196553E-002
0.315	8.1802107E-002
0.316	8.0774672E-002
0.317	7.9028629E-002
0.318	7.8286946E-002
0.319	7.7015527E-002
0.32	7.5936519E-002
0.321	7.5430311E-002
0.322	7.4450091E-002
0.323	7.3415361E-002
0.324	7.2849862E-002
0.325	7.1607769E-002
0.326	7.0165046E-002
0.327	6.9360480E-002
0.328	6.7585602E-002
0.329	6.5601319E-002
0.33	6.4533934E-002
0.331	6.2287033E-002
0.332	5.9936654E-002
0.333	5.8731817E-002
0.334	5.6321569E-002
0.335	5.3962089E-002
0.336	5.2815784E-002
0.337	5.0653297E-002
0.338	4.8688069E-002
0.339	4.6968024E-002
0.34	4.6207547E-002
0.341	4.4904396E-002
0.342	4.3903928E-002
0.343	4.3176703E-002
0.344	4.2907976E-002
0.345	4.2553578E-002
0.346	4.2387795E-002
0.347	4.2365398E-002
0.348	4.2381126E-002
0.349	4.2455785E-002
0.35	4.2523764E-002
0.351	4.2529680E-002
0.352	4.2427000E-002
0.353	4.2316608E-002
0.354	4.1984253E-002
0.355	4.1471321E-002
0.356	4.0768452E-002
0.357	3.9880164E-002
0.358	3.8819984E-002
0.359	3.8229235E-002
0.36	3.6962669E-002
0.361	3.5599213E-002
0.362	3.4182250E-002
0.363	3.2750789E-002
0.364	3.1351220E-002
0.365	3.0673238E-002
0.366	2.9394265E-002
0.367	2.8240541E-002
0.368	2.7239520E-002
0.369	2.6412001E-002
0.37	2.5767492E-002
0.371	2.5310038E-002
0.372	2.5036430E-002
0.373	2.4928577E-002
0.374	2.4928181E-002
0.375	2.5033934E-002
0.376	2.5251303E-002
0.377	2.5544727E-002
0.378	2.5884604E-002
0.379	2.6235670E-002
0.38	2.6566476E-002
0.381	2.6847769E-002
0.382	2.7053138E-002
0.383	2.7161241E-002
0.384	2.7155863E-002
0.385	2.7025471E-002
0.386	2.6765179E-002
0.387	2.6375238E-002
0.388	2.5860475E-002
0.389	2.5231160E-002
0.39	2.4502782E-002
0.391	2.3692476E-002
0.392	2.2821624E-002
0.393	2.1912372E-002
0.394	2.0987500E-002
0.395	2.0073518E-002
0.396	1.9189492E-002
0.397	1.8360026E-002
0.398	1.7601591E-002
0.399	1.6930807E-002
0.4	1.6362164E-002
0.401	1.5902048E-002
0.402	1.5557094E-002
0.403	1.5327767E-002
0.404	1.5211489E-002
0.405	1.5202477E-002
