theta_deg	R
0.001	1.0000052E+000
0.001499937	1.0000052E+000
0.001999875	1.0000052E+000
0.002499813	1.0000052E+000
0.00299975	1.0000052E+000
0.003499687	1.0000052E+000
0.003999625	1.0000052E+000
0.004499563	1.0000052E+000
0.0049995	1.0000052E+000
0.005499437	1.0000052E+000
0.005999375	1.0000052E+000
0.006499312	1.0000052E+000
0.00699925	1.0000052E+000
0.007499187	1.0000052E+000
0.007999125	1.0000052E+000
0.008499063	1.0000052E+000
0.008999	1.0000052E+000
0.009498937	1.0000052E+000
0.009998875	1.0000052E+000
0.01049881	1.0000052E+000
0.01099875	1.0000052E+000
0.01149869	1.0000052E+000
0.01199862	1.0000052E+000
0.01249856	1.0000052E+000
0.0129985	1.0000052E+000
0.01349844	1.0000052E+000
0.01399837	9.9711436E-001
0.01449831	9.9711436E-001
0.01499825	9.9711436E-001
0.01549819	9.9711436E-001
0.01599813	9.9711436E-001
0.01649806	9.9711436E-001
0.016998	9.9711436E-001
0.01749794	9.9711436E-001
0.01799787	9.9711436E-001
0.01849781	9.9711436E-001
0.01899775	9.9711436E-001
0.01949769	9.9711436E-001
0.01999762	9.9711436E-001
0.02049756	9.9711436E-001
0.0209975	9.9711436E-001
0.02149744	9.9711436E-001
0.02199738	9.9711436E-001
0.02249731	9.9711436E-001
0.02299725	9.9711436E-001
0.02349719	9.9711436E-001
0.02399712	9.9711436E-001
0.02449706	9.9589026E-001
0.024997	9.9589026E-001
0.02549694	9.9589026E-001
0.02599688	9.9589026E-001
0.02649681	9.9589026E-001
0.02699675	9.9589026E-001
0.02749669	9.9589026E-001
0.02799662	9.9589026E-001
0.02849656	9.9589026E-001
0.0289965	9.9589026E-001
0.02949644	9.9589026E-001
0.02999637	9.9589026E-001
0.03049631	9.9589026E-001
0.03099625	9.9589026E-001
0.03149619	9.9493080E-001
0.03199612	9.9493080E-001
0.03249606	9.9493080E-001
0.032996	9.9493080E-001
0.03349594	9.9493080E-001
0.03399587	9.9493080E-001
