theta_deg	R
0.001	1.0000048E+000
0.002	1.0000048E+000
0.003	1.0000048E+000
0.004	1.0000048E+000
0.005	1.0000048E+000
0.006	1.0000048E+000
0.007	1.0000048E+000
0.008	1.0000048E+000
0.009	1.0000048E+000
0.01	1.0000048E+000
0.011	1.0000048E+000
0.012	1.0000048E+000
0.013	1.0000048E+000
0.014	9.9293739E-001
0.015	9.9293739E-001
0.016	9.9293739E-001
0.017	9.9293739E-001
0.018	9.9293739E-001
0.019	9.9293739E-001
0.02	9.9293739E-001
0.021	9.9293739E-001
0.022	9.9293739E-001
0.023	9.9293739E-001
0.024	9.9293739E-001
0.025	9.8998517E-001
0.026	9.8998517E-001
0.027	9.8998517E-001
0.028	9.8998517E-001
0.029	9.8998517E-001
0.03	9.8998517E-001
0.031	9.8998517E-001
0.032	9.8769790E-001
0.033	9.8769790E-001
0.034	9.8769790E-001
0.035	9.8769790E-001
0.036	9.8769790E-001
0.037	9.8769790E-001
0.038	9.8575073E-001
0.039	9.8575073E-001
0.04	9.8575073E-001
0.041	9.8575073E-001
0.042	9.8401749E-001
0.043	9.8401749E-001
0.044	9.8401749E-001
0.045	9.8401749E-001
0.046	9.8401749E-001
0.047	9.8243475E-001
0.048	9.8243475E-001
0.049	9.8243475E-001
0.05	9.8243475E-001
0.051	9.8096389E-001
0.052	9.8096389E-001
0.053	9.8096389E-001
0.054	9.8096389E-001
0.055	9.7958034E-001
0.056	9.7958034E-001
0.057	9.7958034E-001
0.058	9.7826743E-001
0.059	9.7826743E-001
0.06	9.7826743E-001
0.061	9.7701228E-001
0.062	9.7701228E-001
0.063	9.7701228E-001
0.064	9.7701228E-001
0.065	9.7580576E-001
0.066	9.7580576E-001
0.067	9.7580576E-001
0.068	9.7464079E-001
0.069	9.7464079E-001
0.07	9.7351134E-001
0.071	9.7351134E-001
0.072	9.7351134E-001
0.073	9.7241312E-001
0.074	9.7241312E-001
0.075	9.7241312E-001
0.076	9.7134185E-001
0.077	9.7134185E-001
0.078	9.7029459E-001
0.079	9.7029459E-001
0.08	9.7029459E-001
0.081	9.6926904E-001
0.082	9.6926904E-001
0.083	9.6825564E-001
0.084	9.6825564E-001
0.085	9.6825564E-001
0.086	9.6726567E-001
0.087	9.6726567E-001
0.088	9.6629131E-001
0.089	9.6629131E-001
0.09	9.6532321E-001
0.091	9.6532321E-001
0.092	9.6437442E-001
0.093	9.6437442E-001
0.094	9.6343738E-001
0.095	9.6343738E-001
0.096	9.6250290E-001
0.097	9.6250290E-001
0.098	9.6158504E-001
0.099	9.6158504E-001
0.1	9.6066743E-001
0.101	9.6066743E-001
0.102	9.5976585E-001
0.103	9.5976585E-001
0.104	9.5886219E-001
0.105	9.5886219E-001
0.106	9.5797336E-001
0.107	9.5797336E-001
0.108	9.5708144E-001
0.109	9.5708144E-001
0.11	9.5620322E-001
0.111	9.5620322E-001
0.112	9.5532084E-001
0.113	9.5444238E-001
0.114	9.5444238E-001
0.115	9.5357621E-001
0.116	9.5357621E-001
0.117	9.5271373E-001
0.118	9.5184469E-001
0.119	9.5184469E-001
0.12	9.5097780E-001
0.121	9.5097780E-001
0.122	9.5012242E-001
0.123	9.4925934E-001
0.124	9.4925934E-001
0.125	9.4839752E-001
0.126	9.4753712E-001
0.127	9.4753712E-001
0.128	9.4667715E-001
0.129	9.4581777E-001
0.13	9.4581777E-001
0.131	9.4495833E-001
0.132	9.4409925E-001
0.133	9.4409925E-001
0.134	9.4324028E-001
0.135	9.4238055E-001
0.136	9.4238055E-001
0.137	9.4151986E-001
0.138	9.4065899E-001
0.139	9.4065899E-001
0.14	9.3979692E-001
0.141	9.3892175E-001
0.142	9.3805736E-001
0.143	9.3805736E-001
0.144	9.3719077E-001
0.145	9.3633503E-001
0.146	9.3633503E-001
0.147	9.3545270E-001
0.148	9.3458086E-001
0.149	9.3370634E-001
0.15	9.3370634E-001
0.151	9.3281680E-001
0.152	9.3193746E-001
0.153	9.3104261E-001
0.154	9.3015748E-001
0.155	9.3015748E-001
0.156	9.2925614E-001
0.157	9.2836469E-001
0.158	9.2745644E-001
0.159	9.2655820E-001
0.16	9.2655820E-001
0.161	9.2564237E-001
0.162	9.2472267E-001
0.163	9.2381263E-001
0.164	9.2288452E-001
0.165	9.2195177E-001
0.166	9.2195177E-001
0.167	9.2102885E-001
0.168	9.2008710E-001
0.169	9.1914046E-001
0.17	9.1818833E-001
0.171	9.1723156E-001
0.172	9.1626930E-001
0.173	9.1626930E-001
0.174	9.1530114E-001
0.175	9.1432732E-001
0.176	9.1336387E-001
0.177	9.1237867E-001
0.178	9.1137087E-001
0.179	9.1037351E-001
0.18	9.0936923E-001
0.181	9.0834218E-001
0.182	9.0732431E-001
0.183	9.0629947E-001
0.184	9.0525097E-001
0.185	9.0525097E-001
0.186	9.0421158E-001
0.187	9.0314823E-001
0.188	9.0209401E-001
0.189	9.0101415E-001
0.19	8.9992625E-001
0.191	8.9884824E-001
0.192	8.9776123E-001
0.193	8.9664757E-001
0.194	8.9552510E-001
0.195	8.9439350E-001
0.196	8.9325219E-001
0.197	8.9210141E-001
0.198	8.9094001E-001
0.199	8.8978833E-001
0.2	8.8860732E-001
0.201	8.8741601E-001
0.202	8.8621306E-001
0.203	8.8499981E-001
0.204	8.8375509E-001
0.205	8.8251847E-001
0.206	8.8127011E-001
0.207	8.7998927E-001
0.208	8.7743068E-001
0.209	8.7611121E-001
0.21	8.7479913E-001
0.211	8.7347353E-001
0.212	8.7211305E-001
0.213	8.7073714E-001
0.214	8.6936837E-001
0.215	8.6796385E-001
0.216	8.6654389E-001
0.217	8.6510825E-001
0.218	8.6366224E-001
0.219	8.6065924E-001
0.22	8.5915750E-001
0.221	8.5762036E-001
0.222	8.5610980E-001
