theta_deg	R
0.001	1.0000043E+000
0.002	1.0000043E+000
0.003	1.0000043E+000
0.004	1.0000043E+000
0.005	1.0000043E+000
0.006	1.0000043E+000
0.007	1.0000043E+000
0.008	1.0000043E+000
0.009	1.0000043E+000
0.01	1.0000043E+000
0.011	1.0000043E+000
0.012	1.0000043E+000
0.013	1.0000043E+000
0.014	9.9239480E-001
0.015	9.9239480E-001
0.016	9.9239480E-001
0.017	9.9239480E-001
0.018	9.9239480E-001
0.019	9.9239480E-001
0.02	9.9239480E-001
0.021	9.9239480E-001
0.022	9.9239480E-001
0.023	9.9239480E-001
0.024	9.9239480E-001
0.025	9.8921978E-001
0.026	9.8921978E-001
0.027	9.8921978E-001
0.028	9.8921978E-001
0.029	9.8921978E-001
0.03	9.8921978E-001
0.031	9.8921978E-001
0.032	9.8676312E-001
0.033	9.8676312E-001
0.034	9.8676312E-001
0.035	9.8676312E-001
0.036	9.8676312E-001
0.037	9.8676312E-001
0.038	9.8467398E-001
0.039	9.8467398E-001
0.04	9.8467398E-001
0.041	9.8467398E-001
0.042	9.8281622E-001
0.043	9.8281622E-001
0.044	9.8281622E-001
0.045	9.8281622E-001
0.046	9.8281622E-001
0.047	9.8112178E-001
0.048	9.8112178E-001
0.049	9.8112178E-001
0.05	9.8112178E-001
0.051	9.7954828E-001
0.052	9.7954828E-001
0.053	9.7954828E-001
0.054	9.7954828E-001
0.055	9.7807020E-001
0.056	9.7807020E-001
0.057	9.7807020E-001
0.058	9.7666842E-001
0.059	9.7666842E-001
0.06	9.7666842E-001
0.061	9.7533005E-001
0.062	9.7533005E-001
0.063	9.7533005E-001
0.064	9.7533005E-001
0.065	9.7404438E-001
0.066	9.7404438E-001
0.067	9.7404438E-001
0.068	9.7280484E-001
0.069	9.7280484E-001
0.07	9.7160381E-001
0.071	9.7160381E-001
0.072	9.7160381E-001
0.073	9.7043699E-001
0.074	9.7043699E-001
0.075	9.7043699E-001
0.076	9.6930027E-001
0.077	9.6930027E-001
0.078	9.6819007E-001
0.079	9.6819007E-001
0.08	9.6819007E-001
0.081	9.6710378E-001
0.082	9.6710378E-001
0.083	9.6603149E-001
0.084	9.6603149E-001
0.085	9.6603149E-001
0.086	9.6498477E-001
0.087	9.6498477E-001
0.088	9.6395576E-001
0.089	9.6395576E-001
0.09	9.6293420E-001
0.091	9.6293420E-001
0.092	9.6193415E-001
0.093	9.6193415E-001
0.094	9.6094722E-001
0.095	9.6094722E-001
0.096	9.5996398E-001
0.097	9.5996398E-001
0.098	9.5899928E-001
0.099	9.5899928E-001
0.1	9.5803601E-001
0.101	9.5803601E-001
0.102	9.5708990E-001
0.103	9.5708990E-001
0.104	9.5614302E-001
0.105	9.5614302E-001
0.106	9.5521212E-001
0.107	9.5521212E-001
0.108	9.5427954E-001
0.109	9.5427954E-001
0.11	9.5336157E-001
0.111	9.5336157E-001
0.112	9.5244032E-001
0.113	9.5152396E-001
0.114	9.5152396E-001
0.115	9.5062160E-001
0.116	9.5062160E-001
0.117	9.4972330E-001
0.118	9.4881952E-001
0.119	9.4881952E-001
0.12	9.4791901E-001
0.121	9.4791901E-001
0.122	9.4703126E-001
0.123	9.4613624E-001
0.124	9.4613624E-001
0.125	9.4524336E-001
0.126	9.4435221E-001
0.127	9.4435221E-001
0.128	9.4346303E-001
0.129	9.4257534E-001
0.13	9.4257534E-001
0.131	9.4168860E-001
0.132	9.4080281E-001
0.133	9.4080281E-001
0.134	9.3991804E-001
0.135	9.3903339E-001
0.136	9.3903339E-001
0.137	9.3814874E-001
