theta_deg	R
0.001	9.9996090E-001
0.001749958	9.9993432E-001
0.002499917	9.9991727E-001
0.003249875	9.9989069E-001
0.003999833	9.9986470E-001
0.004749792	9.9983859E-001
0.00549975	9.9981248E-001
0.006249708	9.9978638E-001
0.006999667	9.9976861E-001
0.007749625	9.9974239E-001
0.008499583	9.9971640E-001
0.009249542	9.9969006E-001
0.0099995	9.9966407E-001
0.01074946	9.9963790E-001
0.01149942	9.9962014E-001
0.01224937	9.9959427E-001
0.01299933	9.9956793E-001
0.01374929	9.9954182E-001
0.01449925	9.9115026E-001
0.01524921	9.9112445E-001
0.01599917	9.9109870E-001
0.01674912	9.9107277E-001
0.01749908	9.9104685E-001
0.01824904	9.9102956E-001
0.018999	9.9100381E-001
0.01974896	9.9097800E-001
0.02049892	9.9095207E-001
0.02124888	9.9092644E-001
0.02199883	9.9090064E-001
0.02274879	9.9088341E-001
0.02349875	9.9085766E-001
0.02424871	9.8734552E-001
0.02499867	9.8732835E-001
0.02574863	9.8730284E-001
0.02649858	9.8727697E-001
0.02724854	9.8725116E-001
0.0279985	9.8722589E-001
0.02874846	9.8720866E-001
0.02949842	9.8718303E-001
0.03024838	9.8715711E-001
0.03099833	9.8713154E-001
0.03174829	9.8442078E-001
0.03249825	9.8439527E-001
0.03324821	9.8436993E-001
0.03399817	9.8434412E-001
0.03474813	9.8432732E-001
0.03549808	9.8430187E-001
0.03624804	9.8427606E-001
0.036998	9.8425066E-001
0.03774796	9.8194671E-001
0.03849792	9.8192090E-001
0.03924787	9.8190397E-001
0.03999783	9.8187870E-001
0.04074779	9.8185289E-001
0.04149775	9.8182768E-001
0.04224771	9.7977978E-001
0.04299767	9.7975427E-001
0.04374763	9.7973710E-001
0.04449758	9.7971201E-001
0.04524754	9.7968620E-001
0.0459975	9.7966093E-001
0.04674746	9.7779340E-001
0.04749742	9.7776788E-001
0.04824737	9.7775102E-001
0.04899733	9.7772563E-001
0.04974729	9.7770041E-001
0.05049725	9.7596729E-001
0.05124721	9.7595060E-001
0.05199717	9.7592515E-001
0.05274712	9.7590017E-001
0.05349708	9.7587460E-001
0.05424704	9.7424811E-001
0.054997	9.7423130E-001
0.05574696	9.7420609E-001
0.05649691	9.7418088E-001
0.05724688	9.7415555E-001
0.05799683	9.7262323E-001
0.05874679	9.7259778E-001
0.05949675	9.7257245E-001
0.06024671	9.7254711E-001
0.06099667	9.7108454E-001
0.06174662	9.7105920E-001
0.06249658	9.7103369E-001
0.06324654	9.7101742E-001
0.0639965	9.7099197E-001
0.06474645	9.6957982E-001
0.06549641	9.6956348E-001
0.06624638	9.6953821E-001
0.06699634	9.6951294E-001
0.06774629	9.6816009E-001
0.06849625	9.6813512E-001
0.06924621	9.6811008E-001
0.06999616	9.6680087E-001
0.07074612	9.6677560E-001
0.07149608	9.6675068E-001
0.07224604	9.6673381E-001
0.072996	9.6545517E-001
0.07374596	9.6543866E-001
0.07449592	9.6541315E-001
0.07524587	9.6538830E-001
0.07599583	9.6415049E-001
0.07674579	9.6412539E-001
0.07749575	9.6410906E-001
0.07824571	9.6289343E-001
0.07899567	9.6287686E-001
0.07974563	9.6285164E-001
0.08049558	9.6167201E-001
0.08124554	9.6164674E-001
0.0819955	9.6162158E-001
0.08274546	9.6160525E-001
0.08349542	9.6043336E-001
0.08424538	9.6041679E-001
0.08499533	9.6039158E-001
0.08574529	9.5925719E-001
0.08649525	9.5924079E-001
0.08724521	9.5921546E-001
0.08799516	9.5809966E-001
0.08874512	9.5807487E-001
0.08949509	9.5805836E-001
0.09024504	9.5695424E-001
0.090995	9.5692945E-001
0.09174496	9.5584685E-001
0.09249491	9.5582181E-001
0.09324487	9.5580536E-001
0.09399483	9.5473832E-001
0.09474479	9.5471323E-001
0.09549475	9.5469677E-001
0.09624471	9.5363790E-001
0.09699467	9.5361328E-001
0.09774462	9.5359647E-001
0.09849458	9.5255494E-001
0.09924454	9.5253867E-001
0.0999945	9.5150083E-001
0.1007445	9.5147580E-001
0.1014944	9.5145959E-001
0.1022444	9.5043975E-001
0.1029943	9.5041478E-001
0.1037443	9.4940531E-001
0.1044943	9.4938016E-001
0.1052442	9.4936377E-001
0.1059942	9.4836408E-001
0.1067441	9.4834751E-001
0.1074941	9.4734585E-001
0.108244	9.4732982E-001
0.108994	9.4730455E-001
0.109744	9.4632590E-001
0.1104939	9.4630075E-001
0.1112439	9.4532210E-001
0.1119938	9.4530600E-001
0.1127438	9.4528115E-001
0.1134937	9.4430834E-001
0.1142437	9.4428331E-001
0.1149937	9.4332397E-001
0.1157436	9.4330746E-001
0.1164936	9.4234592E-001
0.1172435	9.4232970E-001
0.1179935	9.4137168E-001
0.1187435	9.4134653E-001
0.1194934	9.4133008E-001
0.1202434	9.4037759E-001
0.1209933	9.4035244E-001
0.1217433	9.3941158E-001
0.1224933	9.3939531E-001
0.1232432	9.3845040E-001
0.1239932	9.3843395E-001
0.1247431	9.3749082E-001
0.1254931	9.3746573E-001
0.126243	9.3652493E-001
0.126993	9.3650877E-001
0.127743	9.3557078E-001
0.1284929	9.3555433E-001
0.1292429	9.3461919E-001
0.1299928	9.3460304E-001
0.1307428	9.3366933E-001
0.1314927	9.3365294E-001
0.1322427	9.3272102E-001
0.1329927	9.3270439E-001
0.1337426	9.3177450E-001
0.1344926	9.3175805E-001
0.1352425	9.3082923E-001
0.1359925	9.3081260E-001
0.1367425	9.2989343E-001
0.1374924	9.2986816E-001
0.1382424	9.2894959E-001
0.1389923	9.2893338E-001
0.1397423	9.2800480E-001
0.1404922	9.2798835E-001
0.1412422	9.2705840E-001
0.1419922	9.2614090E-001
0.1427421	9.2612463E-001
0.1434921	9.2519635E-001
0.144242	9.2517978E-001
0.144992	9.2427170E-001
0.145742	9.2425543E-001
0.1464919	9.2332423E-001
0.1472419	9.2330760E-001
0.1479918	9.2238772E-001
0.1487418	9.2146653E-001
0.1494917	9.2145008E-001
0.1502417	9.2051810E-001
0.1509917	9.2050135E-001
0.1517416	9.1957849E-001
0.1524916	9.1956145E-001
0.1532415	9.1862535E-001
0.1539915	9.1770679E-001
0.1547415	9.1768998E-001
0.1554914	9.1675043E-001
0.1562414	9.1673350E-001
0.1569913	9.1581154E-001
0.1577413	9.1486824E-001
0.1584913	9.1485143E-001
0.1592412	9.1392606E-001
0.1599912	9.1390860E-001
0.1607411	9.1296804E-001
0.1614911	9.1201586E-001
0.162241	9.1199863E-001
0.162991	9.1106588E-001
0.163741	9.1011763E-001
0.1644909	9.1010058E-001
0.1652409	9.0914911E-001
0.1659908	9.0914100E-001
0.1667408	9.0820050E-001
0.1674908	9.0724099E-001
0.1682407	9.0722358E-001
0.1689907	9.0626287E-001
0.1697406	9.0530604E-001
0.1704906	9.0528911E-001
0.1712405	9.0432101E-001
0.1719905	9.0335727E-001
0.1727405	9.0333956E-001
0.1734904	9.0237147E-001
0.1742404	9.0139931E-001
0.1749903	9.0138191E-001
0.1757403	9.0041989E-001
0.1764902	8.9943993E-001
0.1772402	8.9942169E-001
0.1779902	8.9842248E-001
0.1787401	8.9743125E-001
0.1794901	8.9742327E-001
0.18024	8.9642918E-001
0.18099	8.9541280E-001
0.18174	8.9540452E-001
0.1824899	8.9440084E-001
0.1832399	8.9339900E-001
0.1839898	8.9237761E-001
0.1847398	8.9235932E-001
0.1854897	8.9134675E-001
0.1862397	8.9031327E-001
0.1869897	8.9030457E-001
0.1877396	8.8928103E-001
0.1884896	8.8823324E-001
0.1892395	8.8718176E-001
0.1899895	8.8717282E-001
0.1907395	8.8613886E-001
0.1914894	8.8508737E-001
0.1922394	8.8507861E-001
0.1929893	8.8401461E-001
0.1937393	8.8294429E-001
0.1944893	8.8186371E-001
0.1952392	8.8185459E-001
0.1959892	8.8077235E-001
0.1967391	8.7969083E-001
0.1974891	8.7859857E-001
0.198239	8.7858975E-001
0.198989	8.7750530E-001
0.1997389	8.7639970E-001
0.2004889	8.7529498E-001
0.2012389	8.7528527E-001
0.2019888	8.7417120E-001
0.2027388	8.7304562E-001
0.2034888	8.7189114E-001
0.2042387	8.7076205E-001
0.2049887	8.7075162E-001
0.2057386	8.6960787E-001
0.2064886	8.6845011E-001
0.2072385	8.6730164E-001
0.2079885	8.6614990E-001
0.2087385	8.6613744E-001
0.2094884	8.6495870E-001
0.2102384	8.6379868E-001
0.2109883	8.6261982E-001
0.2117383	8.6143935E-001
0.2124882	8.6142433E-001
0.2132382	8.6024201E-001
0.2139882	8.5906810E-001
0.2147381	8.5787588E-001
0.2154881	8.5664147E-001
0.216238	8.5661876E-001
0.216988	8.5524845E-001
0.217738	8.5288584E-001
0.2184879	8.0595756E-001
0.2192379	8.1787956E-001
0.2199878	8.2634157E-001
0.2207378	8.2952040E-001
0.2214877	8.2945001E-001
0.2222377	8.3085275E-001
0.2229877	8.3132035E-001
0.2237376	8.3131433E-001
0.2244876	8.3096045E-001
0.2252375	8.3039737E-001
0.2259875	8.2966393E-001
0.2267375	8.2962179E-001
0.2274874	8.2877761E-001
0.2282374	8.2784963E-001
0.2289873	8.2679403E-001
0.2297373	8.2566959E-001
0.2304872	8.2450050E-001
0.2312372	8.2326043E-001
0.2319872	8.2198930E-001
0.2327371	8.2195711E-001
0.2334871	8.2064962E-001
0.234237	8.1926495E-001
0.234987	8.1786174E-001
0.235737	8.1641984E-001
0.2364869	8.1495094E-001
0.2372369	8.1345165E-001
0.2379868	8.1188607E-001
0.2387368	8.1032336E-001
0.2394868	8.0871218E-001
0.2402367	8.0868560E-001
0.2409867	8.0707920E-001
0.2417366	8.0540138E-001
0.2424866	8.0367303E-001
0.2432365	8.0193383E-001
0.2439865	8.0018979E-001
0.2447365	7.9839611E-001
0.2454864	7.9656869E-001
0.2462364	7.9467565E-001
0.2469863	7.9279953E-001
0.2477363	7.9090136E-001
0.2484863	7.8894323E-001
0.2492362	7.8692186E-001
0.2499862	7.8487301E-001
0.2507361	7.8282481E-001
0.2514861	7.8070545E-001
0.252236	7.7854538E-001
0.252986	7.7638930E-001
0.253736	7.7415258E-001
0.2544859	7.7414680E-001
0.2552359	7.7189845E-001
0.2559858	7.6960850E-001
0.2567358	7.6724964E-001
0.2574857	7.6483673E-001
0.2582357	7.6242352E-001
0.2589857	7.5996101E-001
0.2597356	7.5740749E-001
0.2604856	7.5480235E-001
0.2612355	7.5218546E-001
0.2619855	7.4949622E-001
0.2627355	7.4675322E-001
0.2634854	7.4394876E-001
0.2642354	7.4111778E-001
0.2649853	7.3820674E-001
0.2657353	7.3522770E-001
0.2664852	7.3216367E-001
0.2672352	7.2908980E-001
0.2679852	7.2267139E-001
0.2687351	7.1932793E-001
0.2694851	7.1592844E-001
0.270235	7.1246427E-001
0.270985	7.0890403E-001
0.271735	7.0525616E-001
0.2724849	7.0155275E-001
0.2732349	6.9769549E-001
0.2739848	6.9378847E-001
0.2747348	6.8978602E-001
0.2754847	6.8563771E-001
0.2762347	6.8142307E-001
0.2769847	6.7706895E-001
0.2777346	6.7260838E-001
0.2784846	6.6802484E-001
0.2792345	6.6336417E-001
0.2799845	6.5852875E-001
0.2807344	6.5354270E-001
0.2814844	6.4846355E-001
0.2822344	6.3783926E-001
0.2829843	6.3229913E-001
0.2837343	6.2662059E-001
0.2844842	6.2072510E-001
0.2852342	6.1471033E-001
0.2859842	6.0855716E-001
0.2867341	6.0216939E-001
0.2874841	5.9560740E-001
0.288234	5.8890390E-001
0.288984	5.8199638E-001
0.2897339	5.6765103E-001
0.2904839	5.6021082E-001
0.2912339	5.5258656E-001
0.2919838	5.4478300E-001
0.2927338	5.3685021E-001
0.2934837	5.2872515E-001
0.2942337	5.2047044E-001
0.2949837	5.1209319E-001
0.2957336	5.0357193E-001
0.2964836	4.8623362E-001
0.2972336	4.7748068E-001
0.2979835	4.6865022E-001
0.2987334	4.5979577E-001
0.2994834	4.5092839E-001
