theta_deg	R
0.001	9.9995983E-001
0.001749958	9.9993277E-001
0.002499917	9.9991500E-001
0.003249875	9.9988830E-001
0.003999833	9.9986148E-001
0.004749792	9.9983466E-001
0.00549975	9.9980772E-001
0.006249708	9.9978077E-001
0.006999667	9.9976301E-001
0.007749625	9.9973607E-001
0.008499583	9.9970925E-001
0.009249542	9.9968243E-001
0.0099995	9.9965537E-001
0.01074946	9.9962848E-001
0.01149942	9.9961072E-001
0.01224937	9.9958402E-001
0.01299933	9.9955720E-001
0.01374929	9.9953038E-001
0.01449925	9.9190885E-001
0.01524921	9.9188250E-001
0.01599917	9.9185604E-001
0.01674912	9.9182928E-001
0.01749908	9.9180305E-001
0.01824904	9.9178511E-001
0.018999	9.9175864E-001
0.01974896	9.9173188E-001
0.02049892	9.9170578E-001
0.02124888	9.9167913E-001
0.02199883	9.9165279E-001
0.02274879	9.9163496E-001
0.02349875	9.9160862E-001
0.02424871	9.8841101E-001
0.02499867	9.8839343E-001
0.02574863	9.8836714E-001
0.02649858	9.8834068E-001
0.02724854	9.8831445E-001
0.0279985	9.8828816E-001
0.02874846	9.8827052E-001
0.02949842	9.8824430E-001
0.03024838	9.8821759E-001
0.03099833	9.8819155E-001
0.03174829	9.8572069E-001
0.03249825	9.8569429E-001
0.03324821	9.8566818E-001
0.03399817	9.8564190E-001
0.03474813	9.8562443E-001
0.03549808	9.8559839E-001
0.03624804	9.8557216E-001
0.036998	9.8554558E-001
0.03774796	9.8344237E-001
0.03849792	9.8341620E-001
0.03924787	9.8339909E-001
0.03999783	9.8337293E-001
0.04074779	9.8334628E-001
0.04149775	9.8332042E-001
0.04224771	9.8144847E-001
0.04299767	9.8142225E-001
0.04374763	9.8140490E-001
0.04449758	9.8137909E-001
0.04524754	9.8135281E-001
0.0459975	9.8132652E-001
0.04674746	9.7961766E-001
0.04749742	9.7959167E-001
0.04824737	9.7957408E-001
0.04899733	9.7954804E-001
0.04974729	9.7952217E-001
0.05049725	9.7793424E-001
0.05124721	9.7791725E-001
0.05199717	9.7789133E-001
0.05274712	9.7786522E-001
0.05349708	9.7783935E-001
0.05424704	9.7634643E-001
0.054997	9.7632921E-001
0.05574696	9.7630304E-001
0.05649691	9.7627729E-001
0.05724688	9.7625118E-001
0.05799683	9.7484410E-001
0.05874679	9.7481817E-001
0.05949675	9.7479218E-001
0.06024671	9.7476608E-001
0.06099667	9.7342187E-001
0.06174662	9.7339600E-001
0.06249658	9.7337002E-001
0.06324654	9.7335291E-001
0.0639965	9.7332686E-001
0.06474645	9.7202688E-001
0.06549641	9.7200984E-001
0.06624638	9.7198409E-001
0.06699634	9.7195792E-001
0.06774629	9.7071201E-001
0.06849625	9.7068650E-001
0.06924621	9.7066069E-001
0.06999616	9.6945339E-001
0.07074612	9.6942765E-001
0.07149608	9.6940190E-001
0.07224604	9.6938479E-001
0.072996	9.6820349E-001
0.07374596	9.6818638E-001
0.07449592	9.6816051E-001
0.07524587	9.6813476E-001
0.07599583	9.6699148E-001
0.07674579	9.6696591E-001
0.07749575	9.6694893E-001
0.07824571	9.6582365E-001
0.07899567	9.6580654E-001
0.07974563	9.6578079E-001
0.08049558	9.6468788E-001
0.08124554	9.6466213E-001
0.0819955	9.6463662E-001
0.08274546	9.6461982E-001
0.08349542	9.6353209E-001
0.08424538	9.6351546E-001
0.08499533	9.6348935E-001
0.08574529	9.6243656E-001
0.08649525	9.6241939E-001
0.08724521	9.6239376E-001
0.08799516	9.6135807E-001
0.08874512	9.6133226E-001
0.08949509	9.6131516E-001
0.09024504	9.6028703E-001
0.090995	9.6026176E-001
0.09174496	9.5925480E-001
0.09249491	9.5922887E-001
0.09324487	9.5921195E-001
0.09399483	9.5821828E-001
0.09474479	9.5819271E-001
0.09549475	9.5817590E-001
0.09624471	9.5718545E-001
0.09699467	9.5715982E-001
0.09774462	9.5714271E-001
0.09849458	9.5617110E-001
0.09924454	9.5615405E-001
0.0999945	9.5518339E-001
0.1007445	9.5515770E-001
0.1014944	9.5514113E-001
0.1022444	9.5418763E-001
0.1029943	9.5416182E-001
0.1037443	9.5321655E-001
0.1044943	9.5319080E-001
