theta_deg	R
0.001	9.9996030E-001
0.001749958	9.9993348E-001
0.002499917	9.9991608E-001
0.003249875	9.9988949E-001
0.003999833	9.9986291E-001
0.004749792	9.9983644E-001
0.00549975	9.9980986E-001
0.006249708	9.9978328E-001
0.006999667	9.9976563E-001
0.007749625	9.9973905E-001
0.008499583	9.9971235E-001
0.009249542	9.9968612E-001
0.0099995	9.9965942E-001
0.01074946	9.9963289E-001
0.01149942	9.9961513E-001
0.01224937	9.9958867E-001
0.01299933	9.9956232E-001
0.01374929	9.9953562E-001
0.01449925	9.9165070E-001
0.01524921	9.9162465E-001
0.01599917	9.9159861E-001
0.01674912	9.9157226E-001
0.01749908	9.9154603E-001
0.01824904	9.9152827E-001
0.018999	9.9150223E-001
0.01974896	9.9147576E-001
0.02049892	9.9144983E-001
0.02124888	9.9142349E-001
0.02199883	9.9139744E-001
0.02274879	9.9137980E-001
0.02349875	9.9135357E-001
0.02424871	9.8804897E-001
0.02499867	9.8803145E-001
0.02574863	9.8800540E-001
0.02649858	9.8797917E-001
0.02724854	9.8795313E-001
0.0279985	9.8792726E-001
0.02874846	9.8790973E-001
0.02949842	9.8788375E-001
0.03024838	9.8785746E-001
0.03099833	9.8783147E-001
0.03174829	9.8527861E-001
0.03249825	9.8525268E-001
0.03324821	9.8522687E-001
0.03399817	9.8520058E-001
0.03474813	9.8518324E-001
0.03549808	9.8515731E-001
0.03624804	9.8513114E-001
0.036998	9.8510540E-001
0.03774796	9.8293418E-001
0.03849792	9.8290825E-001
0.03924787	9.8289108E-001
0.03999783	9.8286510E-001
0.04074779	9.8283887E-001
0.04149775	9.8281318E-001
0.04224771	9.8088163E-001
0.04299767	9.8085541E-001
0.04374763	9.8083812E-001
0.04449758	9.8081261E-001
0.04524754	9.8078620E-001
0.0459975	9.8076051E-001
0.04674746	9.7899753E-001
0.04749742	9.7897160E-001
0.04824737	9.7895449E-001
0.04899733	9.7892845E-001
0.04974729	9.7890276E-001
0.05049725	9.7726554E-001
0.05124721	9.7724837E-001
0.05199717	9.7722256E-001
0.05274712	9.7719681E-001
0.05349708	9.7717112E-001
0.05424704	9.7563428E-001
0.054997	9.7561699E-001
0.05574696	9.7559106E-001
0.05649691	9.7556520E-001
0.05724688	9.7553974E-001
0.05799683	9.7409129E-001
0.05874679	9.7406548E-001
0.05949675	9.7403967E-001
0.06024671	9.7401381E-001
0.06099667	9.7262990E-001
0.06174662	9.7260398E-001
0.06249658	9.7257805E-001
0.06324654	9.7256130E-001
0.0639965	9.7253507E-001
0.06474645	9.7119761E-001
0.06549641	9.7118068E-001
0.06624638	9.7115499E-001
0.06699634	9.7112936E-001
0.06774629	9.6984756E-001
0.06849625	9.6982217E-001
0.06924621	9.6979642E-001
0.06999616	9.6855527E-001
0.07074612	9.6852952E-001
0.07149608	9.6850395E-001
0.07224604	9.6848667E-001
0.072996	9.6727312E-001
0.07374596	9.6725625E-001
0.07449592	9.6723044E-001
0.07524587	9.6720493E-001
0.07599583	9.6602899E-001
0.07674579	9.6600336E-001
0.07749575	9.6598643E-001
0.07824571	9.6483171E-001
0.07899567	9.6481466E-001
0.07974563	9.6478879E-001
0.08049558	9.6366751E-001
0.08124554	9.6364200E-001
0.0819955	9.6361631E-001
0.08274546	9.6359956E-001
0.08349542	9.6248454E-001
0.08424538	9.6246797E-001
0.08499533	9.6244210E-001
0.08574529	9.6136266E-001
0.08649525	9.6134591E-001
0.08724521	9.6131992E-001
0.08799516	9.6025676E-001
0.08874512	9.6023136E-001
0.08949509	9.6021414E-001
0.09024504	9.5916420E-001
0.090995	9.5913869E-001
0.09174496	9.5810586E-001
0.09249491	9.5808041E-001
0.09324487	9.5806336E-001
0.09399483	9.5704460E-001
0.09474479	9.5701915E-001
0.09549475	9.5700222E-001
0.09624471	9.5599473E-001
0.09699467	9.5596915E-001
0.09774462	9.5595241E-001
