theta_deg	R
0.001	1.0000000E+000
0.002	1.0000000E+000
0.003	1.0000000E+000
0.004	1.0000000E+000
0.005	1.0000000E+000
0.006	1.0000000E+000
0.007	1.0000000E+000
0.008	1.0000000E+000
0.009	1.0000000E+000
0.01	1.0000000E+000
0.011	1.0000000E+000
0.012	1.0000000E+000
0.013	1.0000000E+000
0.014	9.9388862E-001
0.015	9.9388862E-001
0.016	9.9388862E-001
0.017	9.9388862E-001
0.018	9.9388862E-001
0.019	9.9388862E-001
0.02	9.9388862E-001
0.021	9.9388862E-001
0.022	9.9388862E-001
0.023	9.9388862E-001
0.024	9.9388862E-001
0.025	9.9135566E-001
0.026	9.9135566E-001
0.027	9.9135566E-001
0.028	9.9135566E-001
0.029	9.9135566E-001
0.03	9.9135566E-001
0.031	9.9135566E-001
0.032	9.8943758E-001
0.033	9.8943758E-001
0.034	9.8943758E-001
0.035	9.8943758E-001
0.036	9.8943758E-001
0.037	9.8943758E-001
0.038	9.8782402E-001
0.039	9.8782402E-001
0.04	9.8782402E-001
0.041	9.8782402E-001
0.042	9.8635536E-001
0.043	9.8635536E-001
0.044	9.8635536E-001
0.045	9.8635536E-001
0.046	9.8635536E-001
0.047	9.8508400E-001
0.048	9.8508400E-001
0.049	9.8508400E-001
0.05	9.8508400E-001
0.051	9.8386848E-001
0.052	9.8386848E-001
0.053	9.8386848E-001
0.054	9.8386848E-001
0.055	9.8275220E-001
0.056	9.8275220E-001
0.057	9.8275220E-001
0.058	9.8169196E-001
0.059	9.8169196E-001
0.06	9.8169196E-001
0.061	9.8066491E-001
0.062	9.8066491E-001
0.063	9.8066491E-001
0.064	9.8066491E-001
0.065	9.7973758E-001
0.066	9.7973758E-001
0.067	9.7973758E-001
0.068	9.7886038E-001
0.069	9.7886038E-001
0.07	9.7797650E-001
0.071	9.7797650E-001
0.072	9.7797650E-001
0.073	9.7709131E-001
0.074	9.7709131E-001
0.075	9.7709131E-001
0.076	9.7632158E-001
0.077	9.7632158E-001
0.078	9.7551584E-001
0.079	9.7551584E-001
0.08	9.7551584E-001
0.081	9.7475803E-001
0.082	9.7475803E-001
0.083	9.7396910E-001
0.084	9.7396910E-001
0.085	9.7396910E-001
0.086	9.7324681E-001
0.087	9.7324681E-001
0.088	9.7254801E-001
0.089	9.7254801E-001
0.09	9.7183299E-001
0.091	9.7183299E-001
0.092	9.7115546E-001
0.093	9.7115546E-001
0.094	9.7049576E-001
0.095	9.7049576E-001
0.096	9.6984529E-001
0.097	9.6984529E-001
0.098	9.6918148E-001
0.099	9.6918148E-001
0.1	9.6855789E-001
0.101	9.6855789E-001
0.102	9.6796072E-001
0.103	9.6796072E-001
0.104	9.6734565E-001
0.105	9.6734565E-001
0.106	9.6673018E-001
0.107	9.6673018E-001
0.108	9.6612924E-001
0.109	9.6612924E-001
0.11	9.6553046E-001
0.111	9.6553046E-001
0.112	9.6497416E-001
0.113	9.6437138E-001
0.114	9.6437138E-001
0.115	9.6381986E-001
0.116	9.6381986E-001
0.117	9.6324688E-001
0.118	9.6272665E-001
0.119	9.6272665E-001
0.12	9.6217418E-001
0.121	9.6217418E-001
0.122	9.6163601E-001
0.123	9.6107703E-001
0.124	9.6107703E-001
0.125	9.6056128E-001
0.126	9.6001697E-001
0.127	9.6001697E-001
0.128	9.5950615E-001
0.129	9.5899415E-001
