theta_deg	R
0.001	9.9977279E-001
0.002	9.9955088E-001
0.003	9.9933922E-001
0.004	9.9911755E-001
0.005	9.9889570E-001
0.006	9.9867386E-001
0.007	9.9845207E-001
0.008	9.9824101E-001
0.009	9.9801922E-001
0.01	9.9779773E-001
0.011	9.9757606E-001
0.012	9.9736506E-001
0.013	9.9714363E-001
0.014	9.9099708E-001
0.015	9.9078739E-001
0.016	9.9056756E-001
0.017	9.9034762E-001
0.018	9.9012762E-001
0.019	9.8990762E-001
0.02	9.8969865E-001
0.021	9.8947871E-001
0.022	9.8925877E-001
0.023	9.8903936E-001
0.024	9.8883021E-001
0.025	9.8616260E-001
0.026	9.8595399E-001
0.027	9.8573518E-001
0.028	9.8551619E-001
0.029	9.8529750E-001
0.03	9.8508918E-001
0.031	9.8487025E-001
0.032	9.8278654E-001
0.033	9.8256826E-001
0.034	9.8236048E-001
0.035	9.8214239E-001
0.036	9.8192430E-001
0.037	9.8170638E-001
0.038	9.7991765E-001
0.039	9.7971058E-001
0.04	9.7949290E-001
0.041	9.7927541E-001
0.042	9.7767192E-001
0.043	9.7746527E-001
0.044	9.7724813E-001
0.045	9.7703093E-001
0.046	9.7682470E-001
0.047	9.7535741E-001
0.048	9.7515112E-001
0.049	9.7493464E-001
0.05	9.7471809E-001
0.051	9.7335881E-001
0.052	9.7314274E-001
0.053	9.7292668E-001
0.054	9.7272080E-001
0.055	9.7143441E-001
0.056	9.7122896E-001
0.057	9.7101331E-001
0.058	9.6979815E-001
0.059	9.6958268E-001
0.06	9.6937770E-001
0.061	9.6821040E-001
0.062	9.6800566E-001
0.063	9.6779084E-001
0.064	9.6758592E-001
0.065	9.6646088E-001
0.066	9.6625644E-001
0.067	9.6604186E-001
0.068	9.6497130E-001
0.069	9.6476710E-001
0.07	9.6372622E-001
0.071	9.6351236E-001
0.072	9.6330863E-001
0.073	9.6229887E-001
0.074	9.6208495E-001
0.075	9.6188152E-001
0.076	9.6090442E-001
0.077	9.6070117E-001
0.078	9.5974314E-001
0.079	9.5952988E-001
0.08	9.5932704E-001
0.081	9.5839721E-001
0.082	9.5819455E-001
0.083	9.5727962E-001
0.084	9.5707721E-001
0.085	9.5687485E-001
0.086	9.5597821E-001
0.087	9.5577610E-001
0.088	9.5490277E-001
0.089	9.5470077E-001
0.09	9.5384729E-001
0.091	9.5363539E-001
0.092	9.5279658E-001
0.093	9.5259506E-001
0.094	9.5176607E-001
0.095	9.5156485E-001
0.096	9.5075238E-001
0.097	9.5055151E-001
0.098	9.4975048E-001
0.099	9.4953978E-001
0.1	9.4875020E-001
0.101	9.4854957E-001
0.102	9.4777757E-001
0.103	9.4757694E-001
0.104	9.4680774E-001
0.105	9.4660765E-001
0.106	9.4584799E-001
0.107	9.4564772E-001
0.108	9.4489688E-001
0.109	9.4469702E-001
0.11	9.4396448E-001
0.111	9.4375479E-001
0.112	9.4303012E-001
0.113	9.4231063E-001
0.114	9.4211155E-001
0.115	9.4140124E-001
0.116	9.4120240E-001
0.117	9.4048947E-001
0.118	9.3979281E-001
0.119	9.3959409E-001
0.12	9.3890387E-001
0.121	9.3870509E-001
0.122	9.3802094E-001
0.123	9.3733239E-001
0.124	9.3713415E-001
0.125	9.3646097E-001
0.126	9.3579322E-001
0.127	9.3559539E-001
0.128	9.3493247E-001
0.129	9.3427444E-001
0.13	9.3408686E-001
0.131	9.3343395E-001
0.132	9.3278480E-001
0.133	9.3258756E-001
0.134	9.3194336E-001
0.135	9.3131304E-001
0.136	9.3111622E-001
0.137	9.3048012E-001
0.138	9.2985791E-001
0.139	9.2966133E-001
0.14	9.2903304E-001
0.141	9.2840904E-001
0.142	9.2779732E-001
0.143	9.2760104E-001
0.144	9.2699343E-001
0.145	9.2637902E-001
0.146	9.2619294E-001
0.147	9.2559183E-001
0.148	9.2497396E-001
0.149	9.2437863E-001
0.15	9.2419285E-001
0.151	9.2360091E-001
0.152	9.2300171E-001
0.153	9.2241514E-001
0.154	9.2183077E-001
0.155	9.2164570E-001
0.156	9.2105448E-001
0.157	9.2047560E-001
0.158	9.1988903E-001
0.159	9.1932505E-001
0.16	9.1913056E-001
0.161	9.1856873E-001
0.162	9.1798908E-001
0.163	9.1743171E-001
0.164	9.1685659E-001
0.165	9.1630346E-001
0.166	9.1611928E-001
0.167	9.1554809E-001
0.168	9.1498834E-001
0.169	9.1444147E-001
0.17	9.1388518E-001
0.171	9.1334212E-001
0.172	9.1278970E-001
0.173	9.1260618E-001
0.174	9.1204590E-001
0.175	9.1150653E-001
0.176	9.1097039E-001
0.177	9.1042459E-001
0.178	9.0988040E-001
0.179	9.0933776E-001
0.18	9.0881759E-001
0.181	9.0827799E-001
0.182	9.0774906E-001
0.183	9.0721220E-001
0.184	9.0668619E-001
0.185	9.0650409E-001
0.186	9.0597934E-001
0.187	9.0544659E-001
0.188	9.0492451E-001
0.189	9.0440392E-001
0.19	9.0388441E-001
