theta_deg	R
0.001	9.9992120E-001
0.03119463	9.8641855E-001
0.06138926	9.6967763E-001
0.09158389	9.5449668E-001
0.1217785	9.3522811E-001
0.1519732	9.1204786E-001
0.1821678	8.7956512E-001
0.2123624	8.0864960E-001
0.242557	7.0552248E-001
0.2727517	3.0030105E-001
0.3029463	1.1812444E-001
0.3331409	5.8058023E-002
0.3633356	3.3735532E-002
0.3935302	2.2284150E-002
0.4237248	1.7192045E-002
0.4539195	1.3829716E-002
0.4841141	9.7042127E-003
0.5143088	5.2219438E-003
0.5445033	3.3160371E-003
0.574698	4.6404009E-003
0.6048926	5.2905306E-003
0.6350873	2.9193799E-003
0.6652819	1.1332496E-003
0.6954765	3.0576079E-003
0.7256711	4.3518827E-003
0.7558658	1.6624802E-003
0.7860604	1.3044233E-003
0.816255	7.2876941E-003
0.8464497	9.0459501E-003
0.8766443	1.6921082E-003
0.906839	1.8363623E-001
0.9370335	1.2303440E-001
0.9672282	2.3684800E-003
0.9974228	3.0817280E-003
1.027617	3.3377612E-003
1.057812	7.0494984E-004
1.088007	2.9433984E-004
1.118201	8.7140116E-004
1.148396	4.5911933E-004
1.178591	8.0885031E-005
1.208785	3.0818171E-004
1.23898	3.1782710E-004
1.269174	7.7162491E-005
1.299369	1.1383028E-004
1.329564	2.1295047E-004
1.359758	9.5237396E-005
1.389953	4.2617103E-005
1.420148	1.3477320E-004
1.450342	1.0772861E-004
1.480537	2.5468187E-005
1.510732	7.9567224E-005
1.540926	1.1529818E-004
1.571121	3.4069388E-005
1.601315	4.6125657E-005
1.63151	1.3732784E-004
1.661705	7.4260570E-005
1.691899	3.0276429E-005
1.722094	3.2896997E-004
1.752289	6.6434132E-004
1.782483	3.8887768E-003
1.812678	5.8629800E-004
1.842873	9.6666801E-005
1.873067	3.1227944E-007
1.903262	2.0518186E-005
1.933456	1.0401763E-005
1.963651	3.0358174E-007
1.993846	6.1319870E-006
2.02404	5.0030580E-006
2.054235	7.1235058E-007
2.08443	2.7336098E-006
2.114624	3.6134500E-006
2.144819	1.1979376E-006
2.175013	1.3105598E-006
2.205208	2.5704155E-006
2.235403	1.5029774E-006
2.265597	7.1688589E-007
2.295792	1.6635713E-006
2.325987	1.6032718E-006
2.356181	5.7513421E-007
2.386376	9.4637352E-007
2.41657	1.5533697E-006
2.446765	6.9009741E-007
2.47696	4.6369894E-007
2.507154	1.6246302E-006
2.537349	1.2008824E-006
2.567544	2.0464761E-007
2.597738	4.2272222E-006
2.627933	1.0136773E-005
2.658128	7.6710545E-005
2.688322	1.8892235E-005
2.718517	3.4946363E-006
2.748711	9.1003329E-008
2.778906	1.3977717E-006
2.809101	9.5502298E-007
2.839295	5.5991105E-008
2.86949	5.0849309E-007
2.899685	6.0196203E-007
2.929879	8.1719371E-008
2.960074	2.2233682E-007
2.990268	4.3157678E-007
3.020463	1.1236524E-007
3.050658	9.2867467E-008
3.080852	3.1046443E-007
3.111047	1.3644006E-007
3.141242	3.4623188E-008
3.171436	2.1809797E-007
3.201631	1.5048472E-007
3.231826	1.3355738E-008
3.26202	1.5163864E-007
3.292215	1.6464054E-007
3.322409	1.3863605E-008
3.352604	1.1085906E-007
3.382799	2.0522050E-007
3.412993	3.7015123E-008
3.443188	1.1524080E-007
3.473382	5.2861270E-007
3.503577	3.6367163E-007
3.533772	7.2869107E-006
3.563967	2.5070760E-006
3.594161	1.6473165E-007
3.624356	2.4356938E-008
3.65455	1.0043641E-007
3.684745	3.3821731E-008
3.71494	2.8020588E-009
3.745134	3.5980744E-008
3.775329	2.1427258E-008
3.805523	2.2324707E-010
3.835718	1.8314635E-008
3.865913	1.6804941E-008
3.896107	2.9336245E-010
3.926302	9.8790318E-009
3.956497	1.3547902E-008
3.986691	1.0520150E-009
4.016886	5.1427480E-009
4.047081	1.0708578E-008
4.077275	1.8686928E-009
4.10747	2.4714755E-009
4.137664	8.3835827E-009
4.167859	2.5777604E-009
4.198054	1.0397442E-009
4.228248	6.8408377E-009
4.258443	3.4619039E-009
4.288638	3.4818193E-010
4.318832	7.3131119E-009
4.349027	7.6931093E-009
4.379221	9.9913230E-011
4.409416	1.2419449E-007
4.439611	8.7507033E-008
4.469805	6.7514611E-010
4.5	2.4302818E-009
