theta_deg	R
0.001	9.9977142E-001
0.001499944	9.9974459E-001
0.001999889	9.9971342E-001
0.002499833	9.9967730E-001
0.002999778	9.9963516E-001
0.003499722	9.9958569E-001
0.003999667	9.9952739E-001
0.004499611	9.9945873E-001
0.004999556	9.9937814E-001
0.0054995	9.9928302E-001
0.005999445	9.9917179E-001
0.006499389	9.9904197E-001
0.006999333	9.9889117E-001
0.007499278	9.9871755E-001
0.007999222	9.9851924E-001
0.008499167	9.9829477E-001
0.008999111	9.9804300E-001
0.009499055	9.9776423E-001
0.009999	9.9745834E-001
0.01049894	9.9712634E-001
0.01099889	9.9677056E-001
0.01149883	9.9639356E-001
0.01199878	9.9599952E-001
0.01249872	9.9559170E-001
0.01299867	9.9517483E-001
0.01349861	9.9475336E-001
0.01399856	9.9433249E-001
0.0144985	9.9391657E-001
0.01499844	9.9350953E-001
0.01549839	9.9311489E-001
0.01599833	9.9273521E-001
0.01649828	9.9237269E-001
0.01699822	9.9202806E-001
0.01749817	9.9170154E-001
0.01799811	9.9139243E-001
0.01849806	9.9109936E-001
0.018998	9.9082065E-001
0.01949794	9.9055409E-001
0.01999789	9.9029726E-001
0.02049783	9.9004763E-001
0.02099778	9.8980331E-001
0.02149772	9.8956198E-001
0.02199767	9.8932236E-001
0.02249761	9.8908293E-001
0.02299755	9.8884296E-001
0.0234975	9.8860174E-001
0.02399744	9.8835951E-001
0.02449739	9.8811603E-001
0.02499733	9.8787177E-001
0.02549728	9.8762667E-001
0.02599722	9.8738146E-001
0.02649717	9.8713654E-001
0.02699711	9.8689169E-001
0.02749706	9.8664796E-001
0.027997	9.8640460E-001
0.02849694	9.8616242E-001
0.02899689	9.8592061E-001
0.02949683	9.8567981E-001
0.02999678	9.8543972E-001
0.03049672	9.8519993E-001
0.03099667	9.8496062E-001
0.03149661	9.8472124E-001
0.03199656	9.8448169E-001
0.0324965	9.8424220E-001
0.03299645	9.8400235E-001
0.03349639	9.8376209E-001
0.03399633	9.8352146E-001
0.03449628	9.8327959E-001
0.03499622	9.8303729E-001
0.03549617	9.8279405E-001
0.03599611	9.8254979E-001
0.03649605	9.8230445E-001
0.036996	9.8205781E-001
0.03749594	9.8181039E-001
0.03799589	9.8156208E-001
0.03849583	9.8131257E-001
0.03899578	9.8106265E-001
0.03949572	9.8081249E-001
0.03999567	9.8056167E-001
0.04049561	9.8031068E-001
0.04099556	9.8005998E-001
0.0414955	9.7980934E-001
0.04199544	9.7955877E-001
0.04249539	9.7930890E-001
0.04299533	9.7905970E-001
0.04349528	9.7881067E-001
0.04399522	9.7856236E-001
0.04449517	9.7831446E-001
0.04499511	9.7806758E-001
0.04549506	9.7782040E-001
0.045995	9.7757423E-001
0.04649494	9.7732848E-001
0.04699489	9.7708309E-001
0.04749483	9.7683758E-001
0.04799478	9.7659272E-001
0.04849472	9.7634810E-001
0.04899467	9.7610366E-001
0.04949461	9.7585917E-001
0.04999455	9.7561485E-001
0.0504945	9.7537023E-001
0.05099444	9.7512585E-001
0.05149439	9.7488081E-001
0.05199433	9.7463566E-001
0.05249428	9.7438991E-001
