theta_deg	R
0.001	9.9992120E-001
0.001499944	9.9989343E-001
0.001999889	9.9985623E-001
0.002499833	9.9981892E-001
0.002999778	9.9979138E-001
0.003499722	9.9975431E-001
0.003999667	9.9971700E-001
0.004499611	9.9967992E-001
0.004999556	9.9965197E-001
0.0054995	9.9961478E-001
0.005999445	9.9957794E-001
0.006499389	9.9954087E-001
0.006999333	9.9951285E-001
0.007499278	9.9947554E-001
0.007999222	9.9943870E-001
0.008499167	9.9940145E-001
0.008999111	9.9937356E-001
0.009499055	9.9933648E-001
0.009999	9.9929941E-001
0.01049894	9.9927151E-001
0.01099889	9.9923432E-001
0.01149883	9.9919742E-001
0.01199878	9.9915999E-001
0.01249872	9.9913222E-001
0.01299867	9.9909514E-001
0.01349861	9.9905825E-001
0.01399856	9.9094844E-001
0.0144985	9.9091154E-001
0.01499844	9.9087530E-001
0.01549839	9.9084789E-001
0.01599833	9.9081171E-001
0.01649828	9.9077475E-001
0.01699822	9.9074799E-001
0.01749817	9.9071109E-001
0.01799811	9.9067485E-001
0.01849806	9.9063843E-001
0.018998	9.9061084E-001
0.01949794	9.9057424E-001
0.01999789	9.9053788E-001
0.02049783	9.9051040E-001
0.02099778	9.9047422E-001
0.02149772	9.9043769E-001
0.02199767	9.9040133E-001
0.02249761	9.9037361E-001
0.02299755	9.9033731E-001
0.0234975	9.9030089E-001
0.02399744	9.9026436E-001
0.02449739	9.8687106E-001
0.02499733	9.8683500E-001
0.02549728	9.8679888E-001
0.02599722	9.8676270E-001
0.02649717	9.8673552E-001
0.02699711	9.8669910E-001
0.02749706	9.8666304E-001
0.027997	9.8663580E-001
0.02849694	9.8659945E-001
0.02899689	9.8656338E-001
0.02949683	9.8653620E-001
0.02999678	9.8650002E-001
0.03049672	9.8646355E-001
0.03099667	9.8642761E-001
0.03149661	9.8379219E-001
0.03199656	9.8375624E-001
0.0324965	9.8372018E-001
0.03299645	9.8369330E-001
0.03349639	9.8365676E-001
0.03399633	9.8362106E-001
0.03449628	9.8359406E-001
0.03499622	9.8355836E-001
0.03549617	9.8352206E-001
0.03599611	9.8349524E-001
0.03649605	9.8345917E-001
0.036996	9.8342288E-001
0.03749594	9.8117489E-001
0.03799589	9.8113900E-001
0.03849583	9.8111230E-001
0.03899578	9.8107618E-001
0.03949572	9.8104054E-001
0.03999567	9.8101360E-001
0.04049561	9.8097759E-001
0.04099556	9.8094153E-001
0.0414955	9.8091471E-001
0.04199544	9.7890097E-001
0.04249539	9.7887421E-001
0.04299533	9.7883844E-001
0.04349528	9.7880238E-001
0.04399522	9.7877592E-001
0.04449517	9.7874010E-001
0.04499511	9.7870451E-001
0.04549506	9.7867757E-001
0.045995	9.7864187E-001
0.04649494	9.7680700E-001
0.04699489	9.7677135E-001
0.04749483	9.7674483E-001
0.04799478	9.7670913E-001
0.04849472	9.7668254E-001
0.04899467	9.7664672E-001
0.04949461	9.7661114E-001
0.04999455	9.7658461E-001
0.0504945	9.7487652E-001
0.05099444	9.7484112E-001
0.05149439	9.7481441E-001
0.05199433	9.7477889E-001
0.05249428	9.7474331E-001
0.05299422	9.7471696E-001
0.05349417	9.7468108E-001
0.05399411	9.7464567E-001
0.05449405	9.7304481E-001
0.054994	9.7300982E-001
0.05549394	9.7298318E-001
0.05599389	9.7294766E-001
0.05649383	9.7291207E-001
0.05699378	9.7288591E-001
0.05749372	9.7285038E-001
0.05799367	9.7132891E-001
0.05849361	9.7129327E-001
0.05899356	9.7125828E-001
0.0594935	9.7123128E-001
0.05999344	9.7119606E-001
0.06049339	9.7116977E-001
0.06099333	9.6970391E-001
0.06149328	9.6967763E-001
0.06199322	9.6964240E-001
0.06249316	9.6961606E-001
0.06299311	9.6958077E-001
0.06349306	9.6954542E-001
0.063993	9.6951926E-001
0.06449294	9.6811163E-001
0.06499289	9.6807653E-001
0.06549283	9.6805030E-001
0.06599278	9.6801496E-001
0.06649272	9.6797979E-001
0.06699266	9.6795374E-001
0.06749261	9.6659696E-001
0.06799255	9.6656173E-001
0.0684925	9.6653569E-001
0.06899244	9.6650022E-001
0.06949238	9.6647441E-001
0.06999233	9.6515161E-001
0.07049228	9.6511626E-001
0.07099222	9.6509033E-001
0.07149217	9.6505529E-001
0.07199211	9.6502930E-001
0.07249206	9.6499419E-001
0.072992	9.6371031E-001
0.07349195	9.6368468E-001
0.07399189	9.6364939E-001
0.07449184	9.6362352E-001
0.07499178	9.6358842E-001
0.07549172	9.6232873E-001
0.07599167	9.6230292E-001
0.07649161	9.6226782E-001
0.07699156	9.6224177E-001
0.0774915	9.6220648E-001
0.07799144	9.6098202E-001
0.07849139	9.6094686E-001
0.07899133	9.6092111E-001
0.07949128	9.6088630E-001
0.07999122	9.6086025E-001
0.08049116	9.5966417E-001
0.08099111	9.5962912E-001
0.08149105	9.5960319E-001
0.081991	9.5956838E-001
0.08249094	9.5954245E-001
0.08299088	9.5835161E-001
0.08349083	9.5832580E-001
0.08399078	9.5830023E-001
0.08449072	9.5826524E-001
0.08499067	9.5823920E-001
0.08549061	9.5707238E-001
0.08599056	9.5704657E-001
0.0864905	9.5702100E-001
0.08699045	9.5698625E-001
0.08749039	9.5583791E-001
0.08799033	9.5581174E-001
0.08849028	9.5577717E-001
0.08899022	9.5575142E-001
0.08949017	9.5572555E-001
0.08999011	9.5458257E-001
0.09049006	9.5455676E-001
0.09099	9.5453101E-001
0.09148994	9.5449626E-001
0.09198989	9.5339054E-001
0.09248983	9.5335597E-001
0.09298978	9.5333016E-001
0.09348972	9.5329553E-001
0.09398966	9.5219398E-001
0.09448961	9.5215935E-001
0.09498955	9.5213383E-001
0.0954895	9.5210820E-001
0.09598944	9.5100069E-001
0.09648938	9.5097476E-001
0.09698933	9.5094019E-001
0.09748928	9.5091456E-001
0.09798922	9.4983160E-001
0.09848917	9.4979757E-001
0.09898911	9.4977170E-001
0.09948906	9.4974625E-001
0.099989	9.4866234E-001
0.1004889	9.4863653E-001
0.1009889	9.4861132E-001
0.1014888	9.4857639E-001
0.1019888	9.4750839E-001
0.1024887	9.4748300E-001
0.1029887	9.4745731E-001
0.1034886	9.4742274E-001
0.1039886	9.4636095E-001
0.1044885	9.4633555E-001
0.1049884	9.4631004E-001
0.1054884	9.4627535E-001
0.1059883	9.4521123E-001
0.1064883	9.4518590E-001
0.1069882	9.4515991E-001
0.1074882	9.4410825E-001
0.1079881	9.4408268E-001
0.1084881	9.4405717E-001
0.108988	9.4402260E-001
0.1094879	9.4296652E-001
0.1099879	9.4294113E-001
0.1104878	9.4291526E-001
0.1109878	9.4288999E-001
0.1114877	9.4183683E-001
0.1119877	9.4181156E-001
0.1124876	9.4178611E-001
0.1129876	9.4074416E-001
0.1134875	9.4071871E-001
0.1139874	9.4069350E-001
0.1144874	9.4066799E-001
0.1149873	9.3961954E-001
0.1154873	9.3959397E-001
0.1159872	9.3956876E-001
0.1164872	9.3853998E-001
0.1169871	9.3851453E-001
0.1174871	9.3848890E-001
0.117987	9.3744314E-001
0.1184869	9.3741757E-001
0.1189869	9.3739229E-001
0.1194868	9.3736714E-001
0.1199868	9.3633115E-001
0.1204867	9.3630588E-001
0.1209867	9.3628049E-001
0.1214866	9.3524474E-001
0.1219866	9.3521935E-001
0.1224865	9.3519431E-001
0.1229864	9.3415791E-001
0.1234864	9.3413234E-001
0.1239863	9.3410742E-001
0.1244863	9.3306166E-001
0.1249862	9.3303615E-001
0.1254862	9.3301064E-001
0.1259861	9.3197316E-001
0.126486	9.3194747E-001
0.126986	9.3192208E-001
0.1274859	9.3089283E-001
0.1279859	9.3086749E-001
0.1284858	9.3084234E-001
0.1289858	9.2981076E-001
0.1294857	9.2978561E-001
0.1299857	9.2976004E-001
0.1304856	9.2871743E-001
0.1309856	9.2870134E-001
0.1314855	9.2867589E-001
0.1319854	9.2762983E-001
0.1324854	9.2760444E-001
0.1329853	9.2757928E-001
0.1334853	9.2653072E-001
0.1339852	9.2650545E-001
0.1344852	9.2647982E-001
0.1349851	9.2543864E-001
0.1354851	9.2541325E-001
0.135985	9.2538756E-001
0.1364849	9.2434162E-001
0.1369849	9.2431647E-001
0.1374848	9.2429119E-001
0.1379848	9.2323160E-001
0.1384847	9.2321563E-001
0.1389847	9.2319041E-001
0.1394846	9.2212701E-001
0.1399845	9.2211115E-001
0.1404845	9.2208564E-001
0.1409844	9.2101842E-001
0.1414844	9.2100245E-001
0.1419843	9.1993952E-001
0.1424843	9.1991401E-001
0.1429842	9.1988862E-001
0.1434842	9.1881007E-001
0.1439841	9.1878438E-001
0.1444841	9.1876817E-001
0.144984	9.1769528E-001
0.1454839	9.1766983E-001
0.1459839	9.1764480E-001
0.1464838	9.1657591E-001
0.1469838	9.1655034E-001
0.1474837	9.1546690E-001
0.1479837	9.1545057E-001
0.1484836	9.1542512E-001
0.1489836	9.1433287E-001
0.1494835	9.1430718E-001
0.1499834	9.1428179E-001
0.1504834	9.1319507E-001
0.1509833	9.1316932E-001
0.1514833	9.1206372E-001
0.1519832	9.1204786E-001
0.1524832	9.1202217E-001
0.1529831	9.1090995E-001
0.153483	9.1089398E-001
0.153983	9.0977436E-001
0.1544829	9.0974832E-001
0.1549829	9.0973252E-001
0.1554828	9.0860504E-001
0.1559828	9.0858918E-001
0.1564827	9.0746713E-001
0.1569827	9.0745068E-001
0.1574826	9.0742528E-001
0.1579826	9.0629154E-001
0.1584825	9.0626585E-001
0.1589824	9.0511173E-001
0.1594824	9.0509510E-001
0.1599823	9.0506870E-001
0.1604823	9.0392840E-001
0.1609822	9.0390199E-001
0.1614822	9.0274340E-001
0.1619821	9.0272647E-001
0.1624821	9.0271050E-001
0.162982	9.0152836E-001
0.1634819	9.0151191E-001
0.1639819	9.0032053E-001
0.1644818	9.0030432E-001
0.1649818	8.9911264E-001
0.1654817	8.9909577E-001
0.1659817	8.9906931E-001
0.1664816	8.9786714E-001
0.1669815	8.9785063E-001
0.1674815	8.9663726E-001
0.1679814	8.9662063E-001
0.1684814	8.9539725E-001
0.1689813	8.9538026E-001
0.1694813	8.9536351E-001
0.1699812	8.9415187E-001
0.1704812	8.9413494E-001
0.1709811	8.9287364E-001
0.1714811	8.9285731E-001
0.171981	8.9159381E-001
0.1724809	8.9157683E-001
0.1729809	8.9155984E-001
0.1734808	8.9032257E-001
0.1739808	8.9030623E-001
0.1744807	8.8901687E-001
0.1749807	8.8899970E-001
0.1754806	8.8770789E-001
0.1759806	8.8769078E-001
0.1764805	8.8638419E-001
0.1769804	8.8636690E-001
0.1774804	8.8634962E-001
0.1779803	8.8503987E-001
0.1784803	8.8502240E-001
0.1789802	8.8368720E-001
0.1794802	8.8368022E-001
0.1799801	8.8235694E-001
0.18048	8.8233870E-001
0.18098	8.8096833E-001
0.1814799	8.8095057E-001
0.1819799	8.7957406E-001
0.1824798	8.7955654E-001
0.1829798	8.7819612E-001
0.1834797	8.7817740E-001
0.1839797	8.7817055E-001
0.1844796	8.7676102E-001
0.1849796	8.7674284E-001
0.1854795	8.7532657E-001
0.1859794	8.7530762E-001
0.1864794	8.7388414E-001
0.1869793	8.7386596E-001
