theta_deg	R
0.001	9.9992120E-001
0.002	9.9985623E-001
0.003	9.9979138E-001
0.004	9.9971700E-001
0.005	9.9965197E-001
0.006	9.9957794E-001
0.007	9.9951285E-001
0.008	9.9943870E-001
0.009	9.9937356E-001
0.01	9.9929941E-001
0.011	9.9923432E-001
0.012	9.9915999E-001
0.013	9.9909514E-001
0.014	9.9094844E-001
0.015	9.9087530E-001
0.016	9.9081171E-001
0.017	9.9074799E-001
0.018	9.9067485E-001
0.019	9.9061084E-001
0.02	9.9053788E-001
0.021	9.9047422E-001
0.022	9.9040133E-001
0.023	9.9033731E-001
0.024	9.9026436E-001
0.025	9.8683500E-001
0.026	9.8676270E-001
0.027	9.8669910E-001
0.028	9.8663580E-001
0.029	9.8656338E-001
0.03	9.8650002E-001
0.031	9.8642761E-001
0.032	9.8375624E-001
0.033	9.8369330E-001
0.034	9.8362106E-001
0.035	9.8355818E-001
0.036	9.8349524E-001
0.037	9.8342288E-001
0.038	9.8113900E-001
0.039	9.8107618E-001
0.04	9.8101360E-001
0.041	9.8094153E-001
0.042	9.7890109E-001
0.043	9.7883862E-001
0.044	9.7877592E-001
0.045	9.7870451E-001
0.046	9.7864187E-001
0.047	9.7677135E-001
0.048	9.7670913E-001
0.049	9.7664672E-001
0.05	9.7658461E-001
0.051	9.7484112E-001
0.052	9.7477889E-001
0.053	9.7471696E-001
0.054	9.7464567E-001
0.055	9.7300982E-001
0.056	9.7294766E-001
0.057	9.7288591E-001
0.058	9.7132891E-001
0.059	9.7125828E-001
0.06	9.7119606E-001
0.061	9.6970391E-001
0.062	9.6964240E-001
0.063	9.6958077E-001
0.064	9.6951926E-001
0.065	9.6807653E-001
0.066	9.6801496E-001
0.067	9.6795374E-001
0.068	9.6656173E-001
0.069	9.6650022E-001
0.07	9.6515161E-001
0.071	9.6509063E-001
0.072	9.6502000E-001
0.073	9.6371031E-001
0.074	9.6364939E-001
0.075	9.6358824E-001
0.076	9.6230292E-001
0.077	9.6224177E-001
0.078	9.6098202E-001
0.079	9.6092111E-001
0.08	9.6086025E-001
0.081	9.5962912E-001
0.082	9.5956838E-001
0.083	9.5835161E-001
0.084	9.5829082E-001
0.085	9.5823920E-001
0.086	9.5704651E-001
0.087	9.5698625E-001
0.088	9.5581174E-001
0.089	9.5575142E-001
0.09	9.5458257E-001
0.091	9.5453101E-001
0.092	9.5338124E-001
0.093	9.5333016E-001
0.094	9.5219398E-001
0.095	9.5213383E-001
0.096	9.5100069E-001
0.097	9.5094019E-001
0.098	9.4982284E-001
0.099	9.4977170E-001
0.1	9.4866234E-001
0.101	9.4861132E-001
0.102	9.4750875E-001
0.103	9.4744837E-001
0.104	9.4636095E-001
0.105	9.4631004E-001
0.106	9.4521093E-001
0.107	9.4516021E-001
0.108	9.4408268E-001
0.109	9.4402260E-001
0.11	9.4294113E-001
0.111	9.4288999E-001
0.112	9.4181156E-001
0.113	9.4074416E-001
0.114	9.4069350E-001
0.115	9.3961954E-001
0.116	9.3956876E-001
0.117	9.3851453E-001
0.118	9.3744314E-001
0.119	9.3739277E-001
0.12	9.3633133E-001
0.121	9.3628049E-001
0.122	9.3521935E-001
0.123	9.3415791E-001
0.124	9.3410742E-001
0.125	9.3303615E-001
0.126	9.3197358E-001
0.127	9.3192267E-001
0.128	9.3086749E-001
0.129	9.2981076E-001
0.13	9.2976022E-001
0.131	9.2870134E-001
0.132	9.2762053E-001
0.133	9.2757928E-001
0.134	9.2650545E-001
0.135	9.2543864E-001
0.136	9.2538756E-001
0.137	9.2431641E-001
0.138	9.2323160E-001
0.139	9.2319041E-001
0.14	9.2210209E-001
0.141	9.2101824E-001
0.142	9.1993070E-001
0.143	9.1988862E-001
0.144	9.1878438E-001
0.145	9.1769594E-001
0.146	9.1764480E-001
0.147	9.1655034E-001
0.148	9.1545105E-001
