theta_deg	R
0.001	9.9992120E-001
0.002	9.9985617E-001
0.003	9.9979138E-001
0.004	9.9971700E-001
0.005	9.9965197E-001
0.006	9.9957794E-001
0.007	9.9951273E-001
0.008	9.9943870E-001
0.009	9.9937356E-001
0.01	9.9929941E-001
0.011	9.9923432E-001
0.012	9.9915999E-001
0.013	9.9909520E-001
0.014	9.9094820E-001
0.015	9.9087512E-001
0.016	9.9081153E-001
0.017	9.9074769E-001
0.018	9.9067473E-001
0.019	9.9061066E-001
0.02	9.9053788E-001
0.021	9.9047393E-001
0.022	9.9040115E-001
0.023	9.9033713E-001
0.024	9.9026418E-001
0.025	9.8683470E-001
0.026	9.8676240E-001
0.027	9.8669899E-001
0.028	9.8663563E-001
0.029	9.8656309E-001
0.03	9.8649991E-001
0.031	9.8642731E-001
0.032	9.8375589E-001
0.033	9.8369300E-001
0.034	9.8362082E-001
0.035	9.8355788E-001
0.036	9.8349482E-001
0.037	9.8342264E-001
0.038	9.8113871E-001
0.039	9.8107576E-001
0.04	9.8101318E-001
0.041	9.8094130E-001
0.042	9.7890067E-001
0.043	9.7883809E-001
0.044	9.7877550E-001
0.045	9.7870398E-001
0.046	9.7864151E-001
0.047	9.7677100E-001
0.048	9.7670877E-001
0.049	9.7664630E-001
0.05	9.7658414E-001
0.051	9.7484052E-001
0.052	9.7477841E-001
0.053	9.7471642E-001
0.054	9.7464514E-001
0.055	9.7300929E-001
0.056	9.7294730E-001
0.057	9.7288531E-001
0.058	9.7132838E-001
0.059	9.7125757E-001
0.06	9.7119546E-001
0.061	9.6970332E-001
0.062	9.6964180E-001
0.063	9.6958017E-001
0.064	9.6951860E-001
0.065	9.6807599E-001
0.066	9.6801448E-001
0.067	9.6795321E-001
0.068	9.6656120E-001
0.069	9.6649975E-001
0.07	9.6515095E-001
0.071	9.6508992E-001
0.072	9.6501935E-001
0.073	9.6370959E-001
0.074	9.6364868E-001
0.075	9.6358740E-001
0.076	9.6230221E-001
0.077	9.6224117E-001
0.078	9.6098131E-001
0.079	9.6092045E-001
0.08	9.6085948E-001
0.081	9.5962834E-001
0.082	9.5956755E-001
0.083	9.5835090E-001
0.084	9.5829016E-001
0.085	9.5823842E-001
0.086	9.5704585E-001
0.087	9.5698553E-001
0.088	9.5581096E-001
0.089	9.5575070E-001
0.09	9.5458174E-001
0.091	9.5453018E-001
0.092	9.5338041E-001
0.093	9.5332932E-001
0.094	9.5219314E-001
0.095	9.5213282E-001
0.096	9.5099962E-001
0.097	9.5093924E-001
0.098	9.4982207E-001
0.099	9.4977081E-001
0.1	9.4866151E-001
0.101	9.4861037E-001
0.102	9.4750786E-001
0.103	9.4744766E-001
0.104	9.4636005E-001
0.105	9.4630933E-001
0.106	9.4520998E-001
0.107	9.4515920E-001
0.108	9.4408178E-001
0.109	9.4402170E-001
0.11	9.4294012E-001
0.111	9.4288921E-001
0.112	9.4181049E-001
0.113	9.4074309E-001
0.114	9.4069254E-001
0.115	9.3961847E-001
0.116	9.3956786E-001
0.117	9.3851346E-001
0.118	9.3744206E-001
0.119	9.3739158E-001
0.12	9.3633032E-001
0.121	9.3627942E-001
0.122	9.3521839E-001
0.123	9.3415678E-001
0.124	9.3410623E-001
0.125	9.3303490E-001
0.126	9.3197227E-001
0.127	9.3192148E-001
